codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion
13010,Alhambra,Ciudad Real,Castilla-La Mancha,Alhambra,3,2,989,579.83,1.71
29007,Alhaurín de la Torre,Málaga,Andalucía,Alhaurín de la Torre,1,2,41868,82.7,506.26
29008,Alhaurín el Grande,Málaga,Andalucía,Alhaurín el Grande,1,2,26095,73.1,356.98
18014,Alhendín,Granada,Andalucía,Alhendín,1,1,9674,50.56,191.34
19018,Alhóndiga,Guadalajara,Castilla-La Mancha,Alhóndiga,0,1,157,19.26,8.15
10017,Alía,Cáceres,Extremadura,Alía,0,3,783,599.51,1.31
44017,Aliaga,Teruel,Aragón,Aliaga,2,1,333,193.08,1.72
16014,Aliaguilla,Cuenca,Castilla-La Mancha,Aliaguilla,2,2,644,105.91,6.08
03014,Alicante/Alacant,Alicante,Comunidad Valenciana,Alicante/Alacant,1,3,337304,202.32,1667.18
04012,Alicún,Almería,Andalucía,Alicún,1,2,204,5.87,34.73
18015,Alicún de Ortega,Granada,Andalucía,Alicún de Ortega,1,1,468,22.83,20.5
24003,Alija del Infantado,León,Castilla y León,Alija del Infantado,2,1,594,52.31,11.36
25017,Alins,Lleida,Cataluña,Alins,2,1,279,185.03,1.51
43010,Alió,Tarragona,Cataluña,Alió,1,2,478,7.28,65.66
19019,Alique,Guadalajara,Castilla-La Mancha,Alique,0,1,15,10.92,1.37
10018,Aliseda,Cáceres,Extremadura,Aliseda,0,3,1751,80.51,21.75
42016,Aliud,Soria,Castilla y León,Aliud,3,1,22,17.65,1.25
21002,Aljaraque,Huelva,Andalucía,Aljaraque,1,0,21706,33.82,641.74
06009,Aljucén,Badajoz,Extremadura,Aljucén,3,0,250,19.07,13.11
20006,Alkiza,Gipuzkoa,País Vasco,Alkiza,1,2,362,11.93,30.34
33001,Allande,Asturias,Principado de Asturias,Allande,1,1,1620,339.37,4.77
32001,Allariz,Ourense,Galicia,Allariz,2,2,6314,85.96,73.45
44021,Allepuz,Teruel,Aragón,Allepuz,2,1,128,67.26,1.9
33002,Aller,Asturias,Principado de Asturias,Aller,1,1,10346,376.32,27.49
31011,Allín/Allin,Navarra,Comunidad Foral de Navarra,Allín/Allin,2,2,884,41.85,21.12
31012,Allo,Navarra,Comunidad Foral de Navarra,Allo,2,2,925,37.03,24.98
44022,Alloza,Teruel,Aragón,Alloza,2,1,577,81.6,7.07
44023,Allueva,Teruel,Aragón,Allueva,2,1,22,18.65,1.18
25019,Almacelles,Lleida,Cataluña,Almacelles,2,1,6875,48.93,140.51
29009,Almáchar,Málaga,Andalucía,Almáchar,1,2,1843,14.4,127.99
13011,Almadén,Ciudad Real,Castilla-La Mancha,Almadén,3,2,5105,239.64,21.3
41009,Almadén de la Plata,Sevilla,Andalucía,Almadén de la Plata,2,0,1331,255.78,5.2
13012,Almadenejos,Ciudad Real,Castilla-La Mancha,Almadenejos,3,2,398,102.88,3.87
19020,Almadrones,Guadalajara,Castilla-La Mancha,Almadrones,0,1,55,21.03,2.62
13013,Almagro,Ciudad Real,Castilla-La Mancha,Almagro,3,2,8896,249.95,35.59
42017,Almajano,Soria,Castilla y León,Almajano,3,1,188,9.9,18.99
42018,Almaluez,Soria,Castilla y León,Almaluez,3,1,124,159.11,0.78
02009,Almansa,Albacete,Castilla-La Mancha,Almansa,2,2,24388,531.82,45.86
24004,Almanza,León,Castilla y León,Almanza,2,1,596,141.99,4.2
10019,Almaraz,Cáceres,Extremadura,Almaraz,0,3,1700,33.91,50.13
49007,Almaraz de Duero,Zamora,Castilla y León,Almaraz de Duero,3,2,407,45.61,8.92
16015,Almarcha (La),Cuenca,Castilla-La Mancha,La Almarcha,2,2,414,64.36,6.43
29010,Almargen,Málaga,Andalucía,Almargen,1,2,1944,34.37,56.56
42019,Almarza,Soria,Castilla y León,Almarza,3,1,640,101.13,6.33
26012,Almarza de Cameros,La Rioja,La Rioja,Almarza de Cameros,2,2,36,28.11,1.28
46032,Almàssera,Valencia,Comunidad Valenciana,Almàssera,1,0,7433,2.69,2763.2
12009,Almassora,Castellón,Comunidad Valenciana,Almassora,1,2,26878,32.97,815.23
25020,Almatret,Lleida,Cataluña,Almatret,2,1,310,56.5,5.49
42020,Almazán,Soria,Castilla y León,Almazán,3,1,5411,166.53,32.49
42021,Almazul,Soria,Castilla y León,Almazul,3,1,65,67.86,0.96
12010,Almedíjar,Castellón,Comunidad Valenciana,Almedíjar,1,2,254,20.9,12.15
13014,Almedina,Ciudad Real,Castilla-La Mancha,Almedina,3,2,497,55.9,8.89
14004,Almedinilla,Córdoba,Andalucía,Almedinilla,2,2,2352,55.52,42.36
18016,Almegíjar,Granada,Andalucía,Almegíjar,1,1,330,29.42,11.22
49008,Almeida de Sayago,Zamora,Castilla y León,Almeida de Sayago,3,2,423,76.37,5.54
25021,Almenar,Lleida,Cataluña,Almenar,2,1,3365,66.52,50.59
42022,Almenar de Soria,Soria,Castilla y León,Almenar de Soria,3,1,233,105.99,2.2
12011,Almenara,Castellón,Comunidad Valenciana,Almenara,1,2,6254,27.63,226.38
47008,Almenara de Adaja,Valladolid,Castilla y León,Almenara de Adaja,3,0,23,17.16,1.34
37027,Almenara de Tormes,Salamanca,Castilla y León,Almenara de Tormes,0,2,289,19.29,14.98
37028,Almendra,Salamanca,Castilla y León,Almendra,0,2,140,39.07,3.58
06010,Almendral,Badajoz,Extremadura,Almendral,3,0,1223,67.5,18.12
45011,Almendral de la Cañada,Toledo,Castilla-La Mancha,Almendral de la Cañada,0,2,327,33.61,9.73
06011,Almendralejo,Badajoz,Extremadura,Almendralejo,3,0,33741,164.25,205.42
21003,Almendro (El),Huelva,Andalucía,El Almendro,1,0,835,170.24,4.9
16016,Almendros,Cuenca,Castilla-La Mancha,Almendros,2,2,234,63.11,3.71
41010,Almensilla,Sevilla,Andalucía,Almensilla,2,0,6287,14.08,446.52
04013,Almería,Almería,Andalucía,Almería,1,2,200753,295.72,678.86
46033,Almiserà,Valencia,Comunidad Valenciana,Almiserà,1,0,264,7.44,35.48
50021,Almochuel,Zaragoza,Aragón,Almochuel,2,1,24,32.0,0.75
04014,Almócita,Almería,Andalucía,Almócita,1,2,197,30.83,6.39
13015,Almodóvar del Campo,Ciudad Real,Castilla-La Mancha,Almodóvar del Campo,3,2,5947,1208.25,4.92
16017,Almodóvar del Pinar,Cuenca,Castilla-La Mancha,Almodóvar del Pinar,2,2,383,95.03,4.03
14005,Almodóvar del Río,Córdoba,Andalucía,Almodóvar del Río,2,2,8036,172.53,46.58
29011,Almogía,Málaga,Andalucía,Almogía,1,2,3859,162.89,23.69
19021,Almoguera,Guadalajara,Castilla-La Mancha,Almoguera,0,1,1307,119.42,10.94
44018,Almohaja,Teruel,Aragón,Almohaja,2,1,14,25.55,0.55
10020,Almoharín,Cáceres,Extremadura,Almoharín,0,3,1796,93.45,19.22
46034,Almoines,Valencia,Comunidad Valenciana,Almoines,1,0,2528,2.12,1193.47
50022,Almolda (La),Zaragoza,Aragón,La Almolda,2,1,555,131.33,4.23
50023,Almonacid de la Cuba,Zaragoza,Aragón,Almonacid de la Cuba,2,1,234,55.22,4.24
50024,Almonacid de la Sierra,Zaragoza,Aragón,Almonacid de la Sierra,2,1,771,53.94,14.29
45012,Almonacid de Toledo,Toledo,Castilla-La Mancha,Almonacid de Toledo,0,2,843,95.58,8.82
19022,Almonacid de Zorita,Guadalajara,Castilla-La Mancha,Almonacid de Zorita,0,1,694,44.9,15.46
16018,Almonacid del Marquesado,Cuenca,Castilla-La Mancha,Almonacid del Marquesado,2,2,440,47.15,9.33
21004,Almonaster la Real,Huelva,Andalucía,Almonaster la Real,1,0,1786,321.29,5.56
21005,Almonte,Huelva,Andalucía,Almonte,1,0,24577,859.2,28.6
03015,Almoradí,Alicante,Comunidad Valenciana,Almoradí,1,3,21404,42.7,501.26
45013,Almorox,Toledo,Castilla-La Mancha,Almorox,0,2,2318,64.77,35.79
43011,Almoster,Tarragona,Cataluña,Almoster,1,2,1322,6.04,218.87
03016,Almudaina,Alicante,Comunidad Valenciana,Almudaina,1,3,117,8.82,13.27
22021,Almudévar,Huesca,Aragón,Almudévar,2,1,2412,201.49,11.97
50025,Almunia de Doña Godina (La),Zaragoza,Aragón,La Almunia de Doña Godina,2,1,7983,56.7,140.79
22022,Almunia de San Juan,Huesca,Aragón,Almunia de San Juan,2,1,689,35.66,19.32
22023,Almuniente,Huesca,Aragón,Almuniente,2,1,454,37.56,12.09
18017,Almuñécar,Granada,Andalucía,Almuñécar,1,1,25890,83.36,310.58
13016,Almuradiel,Ciudad Real,Castilla-La Mancha,Almuradiel,3,2,750,66.16,11.34
46035,Almussafes,Valencia,Comunidad Valenciana,Almussafes,1,0,8984,10.76,834.76
44019,Alobras,Teruel,Aragón,Alobras,2,1,65,30.72,2.12
19023,Alocén,Guadalajara,Castilla-La Mancha,Alocén,0,1,161,17.88,9.0
48912,Alonsotegi,Bizkaia,País Vasco,Alonsotegi,1,2,2944,20.22,145.6
29012,Álora,Málaga,Andalucía,Álora,1,2,13336,169.62,78.62
25022,Alòs de Balaguer,Lleida,Cataluña,Alòs de Balaguer,2,1,122,69.08,1.77
21006,Alosno,Huelva,Andalucía,Alosno,1,0,3929,191.07,20.56
19024,Alovera,Guadalajara,Castilla-La Mancha,Alovera,0,1,13051,13.8,945.72
29013,Alozaina,Málaga,Andalucía,Alozaina,1,2,2090,33.85,61.74
17006,Alp,Girona,Cataluña,Alp,1,1,1645,44.06,37.34
29014,Alpandeire,Málaga,Andalucía,Alpandeire,1,2,261,31.24,8.35
42023,Alpanseque,Soria,Castilla y León,Alpanseque,3,1,54,54.62,0.99
50026,Alpartir,Zaragoza,Aragón,Alpartir,2,1,604,32.29,18.71
28010,Alpedrete,Madrid,Comunidad de Madrid,Alpedrete,3,2,14959,12.64,1183.66
08004,Alpens,Barcelona,Cataluña,Alpens,1,2,269,13.7,19.64
44020,Alpeñés,Teruel,Aragón,Alpeñés,2,1,20,28.62,0.7
02010,Alpera,Albacete,Castilla-La Mancha,Alpera,2,2,2285,178.47,12.8
25023,Alpicat,Lleida,Cataluña,Alpicat,2,1,6274,15.36,408.46
46036,Alpuente,Valencia,Comunidad Valenciana,Alpuente,1,0,659,138.33,4.76
18904,Alpujarra de la Sierra,Granada,Andalucía,Alpujarra de la Sierra,1,1,952,68.53,13.89
03017,Alqueria d'Asnar (L'),Alicante,Comunidad Valenciana,L' Alqueria d'Asnar,1,3,498,1.08,459.54
