municipio,provincia,municipio_nombre_humano,lat,lon,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
Valdelacasa de Tajo,Cáceres,Valdelacasa de Tajo,39.726541,-5.281909,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdemorales,Cáceres,Valdemorales,39.20588,-6.06622,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Valdeobispo,Cáceres,Valdeobispo,40.083129,-6.247516,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Valencia de Alcántara,Cáceres,Valencia de Alcántara,39.409938,-7.245231,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Valverde de la Vera,Cáceres,Valverde de la Vera,40.12268,-5.49541,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Valverde del Fresno,Cáceres,Valverde del Fresno,40.220446,-6.879086,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vegaviana,Cáceres,Vegaviana,40.040401,-6.717876,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Viandar de la Vera,Cáceres,Viandar de la Vera,40.12191,-5.53593,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Villa del Campo,Cáceres,Villa del Campo,40.141599,-6.42824,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Villa del Rey,Cáceres,Villa del Rey,39.65956,-6.82122,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Villamesías,Cáceres,Villamesías,39.24568,-5.87307,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Villamiel,Cáceres,Villamiel,40.15915,-6.797406,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villanueva de la Sierra,Cáceres,Villanueva de la Sierra,40.202464,-6.406564,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Villanueva de la Vera,Cáceres,Villanueva de la Vera,40.130278,-5.461944,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Villar de Plasencia,Cáceres,Villar de Plasencia,40.13773,-6.0279,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Villar del Pedroso,Cáceres,Villar del Pedroso,39.706283,-5.195219,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villasbuenas de Gata,Cáceres,Villasbuenas de Gata,40.17879,-6.62641,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zarza de Granadilla,Cáceres,Zarza de Granadilla,40.235789,-6.047918,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Zarza de Montánchez,Cáceres,Zarza de Montánchez,39.25713,-6.032631,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
Zarza la Mayor,Cáceres,Zarza la Mayor,39.876359,-6.861231,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Zorita,Cáceres,Zorita,39.285188,-5.699297,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,36.461701,-5.725044,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Alcalá del Valle,Cádiz,Alcalá del Valle,36.90478,-5.171373,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Algar,Cádiz,Algar,36.656425,-5.65638,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Algeciras,Cádiz,Algeciras,36.127604,-5.44932,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Algodonales,Cádiz,Algodonales,36.881571,-5.404209,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Arcos de la Frontera,Cádiz,Arcos de la Frontera,36.754698,-5.815401,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Barbate,Cádiz,Barbate,36.191218,-5.923583,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Barrios (Los),Cádiz,Los Barrios,36.184277,-5.489849,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Benalup-Casas Viejas,Cádiz,Benalup-Casas Viejas,36.345558,-5.815958,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
Benaocaz,Cádiz,Benaocaz,36.723103,-5.480761,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bornos,Cádiz,Bornos,36.817922,-5.742991,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Bosque (El),Cádiz,El Bosque,36.758655,-5.505452,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cádiz,Cádiz,Cádiz,36.518753,-6.279529,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Castellar de la Frontera,Cádiz,Castellar de la Frontera,36.287078,-5.418971,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0
Chiclana de la Frontera,Cádiz,Chiclana de la Frontera,36.420992,-6.148244,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Chipiona,Cádiz,Chipiona,36.732842,-6.434289,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
Conil de la Frontera,Cádiz,Conil de la Frontera,36.281793,-6.091236,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Espera,Cádiz,Espera,36.871896,-5.805104,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
Gastor (El),Cádiz,El Gastor,36.855079,-5.323397,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Grazalema,Cádiz,Grazalema,36.758488,-5.368351,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Jerez de la Frontera,Cádiz,Jerez de la Frontera,36.687916,-6.126648,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Jimena de la Frontera,Cádiz,Jimena de la Frontera,36.431657,-5.448813,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
Línea de la Concepción (La),Cádiz,La Línea de la Concepción,36.166485,-5.349048,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0
Medina Sidonia,Cádiz,Medina Sidonia,36.466056,-5.930786,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Olvera,Cádiz,Olvera,36.934527,-5.259403,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Paterna de Rivera,Cádiz,Paterna de Rivera,36.523235,-5.864429,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prado del Rey,Cádiz,Prado del Rey,36.787994,-5.556229,0,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0
Puerto de Santa María (El),Cádiz,El Puerto de Santa María,36.595032,-6.234054,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Puerto Real,Cádiz,Puerto Real,36.532168,-6.191562,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Puerto Serrano,Cádiz,Puerto Serrano,36.518753,-6.279529,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Rota,Cádiz,Rota,36.635105,-6.353697,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
San Fernando,Cádiz,San Fernando,36.461347,-6.203417,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
San José del Valle,Cádiz,San José del Valle,36.606232,-5.799889,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
San Martín del Tesorillo,Cádiz,San Martín del Tesorillo,36.341276,-5.32157,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
San Roque,Cádiz,San Roque,36.210953,-5.385595,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Sanlúcar de Barrameda,Cádiz,Sanlúcar de Barrameda,36.778636,-6.348714,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Setenil de las Bodegas,Cádiz,Setenil de las Bodegas,36.862102,-5.181659,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
Tarifa,Cádiz,Tarifa,36.014082,-5.604413,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Torre Alháquime,Cádiz,Torre Alháquime,36.91588,-5.23381,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0
Trebujena,Cádiz,Trebujena,36.869243,-6.176292,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Ubrique,Cádiz,Ubrique,36.677008,-5.445459,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vejer de la Frontera,Cádiz,Vejer de la Frontera,36.251431,-5.968254,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Villaluenga del Rosario,Cádiz,Villaluenga del Rosario,36.69644,-5.38601,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Villamartín,Cádiz,Villamartín,36.859722,-5.644071,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Zahara,Cádiz,Zahara,36.839145,-5.391021,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aín,Castellón,Aín,39.892802,-0.348672,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albocàsser,Castellón,Albocàsser,40.356897,0.023953,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Alcalà de Xivert,Castellón,Alcalà de Xivert,40.3051,0.225807,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0
Alcora (L'),Castellón,L' Alcora,40.06667,-0.2,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Alcudia de Veo,Castellón,Alcudia de Veo,39.91667,-0.35,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alfondeguilla,Castellón,Alfondeguilla,39.83333,-0.26667,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Algimia de Almonacid,Castellón,Algimia de Almonacid,39.91667,-0.43333,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Almassora,Castellón,Almassora,39.947883,-0.064248,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Almedíjar,Castellón,Almedíjar,39.86667,-0.4,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almenara,Castellón,Almenara,39.753129,-0.224747,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
Alqueries (les)/Alquerías del Niño Perdido,Castellón,Les Alqueries/Alquerías del Niño Perdido,39.895098,-0.108965,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Altura,Castellón,Altura,39.850324,-0.513293,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Arañuel,Castellón,Arañuel,40.06667,-0.48333,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Ares del Maestrat,Castellón,Ares del Maestrat,40.45675,-0.13267,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Argelita,Castellón,Argelita,40.05,-0.35,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Artana,Castellón,Artana,39.891289,-0.257265,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Atzeneta del Maestrat,Castellón,Atzeneta del Maestrat,40.216194,-0.170998,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Ayódar,Castellón,Ayódar,40.0,-0.36667,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Azuébar,Castellón,Azuébar,39.83333,-0.36667,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Barracas,Castellón,Barracas,40.01667,-0.68333,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Bejís,Castellón,Bejís,39.9,-0.7,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Benafer,Castellón,Benafer,39.93333,-0.56667,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Benafigos,Castellón,Benafigos,40.27641,-0.20772,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Benassal,Castellón,Benassal,40.379425,-0.142387,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Benicarló,Castellón,Benicarló,40.420695,0.423162,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Benicasim/Benicàssim,Castellón,Benicasim/Benicàssim,40.050798,0.062834,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benlloc,Castellón,Benlloc,40.210593,0.026723,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
Betxí,Castellón,Betxí,39.927581,-0.199285,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Borriana/Burriana,Castellón,Borriana/Burriana,39.888399,-0.085748,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
Borriol,Castellón,Borriol,40.041183,-0.070734,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Cabanes,Castellón,Cabanes,40.155395,0.043446,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Càlig,Castellón,Càlig,40.461524,0.35459,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Canet lo Roig,Castellón,Canet lo Roig,40.55142,0.24308,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Castell de Cabres,Castellón,Castell de Cabres,40.669302,0.034428,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castellfort,Castellón,Castellfort,40.50208,-0.19133,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castellnovo,Castellón,Castellnovo,39.862522,-0.457363,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Castellón de la Plana,Castellón,Castellón de la Plana,39.987142,-0.037787,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Castillo de Villamalefa,Castellón,Castillo de Villamalefa,40.13333,-0.38333,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Catí,Castellón,Catí,40.47156,0.02275,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Caudiel,Castellón,Caudiel,39.95,-0.56667,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cervera del Maestre,Castellón,Cervera del Maestre,40.45366,0.27659,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0
Chilches/Xilxes,Castellón,Chilches/Xilxes,39.782299,-0.187765,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
Chodos/Xodos,Castellón,Chodos/Xodos,40.24517,-0.28795,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Chóvar,Castellón,Chóvar,39.85,-0.31667,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinctorres,Castellón,Cinctorres,40.58333,-0.21667,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cirat,Castellón,Cirat,40.05,-0.45,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Cortes de Arenoso,Castellón,Cortes de Arenoso,40.18812,-0.54195,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Costur,Castellón,Costur,40.11971,-0.17385,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Coves de Vinromà (les),Castellón,Les Coves de Vinromà,40.30912,0.118132,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Culla,Castellón,Culla,40.3365,-0.16569,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Eslida,Castellón,Eslida,39.88333,-0.3,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Espadilla,Castellón,Espadilla,40.03333,-0.35,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Fanzara,Castellón,Fanzara,40.01667,-0.31667,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Figueroles,Castellón,Figueroles,40.11667,-0.23333,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Forcall,Castellón,Forcall,40.64542,-0.19992,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Fuente la Reina,Castellón,Fuente la Reina,40.04921,0.020554,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Fuentes de Ayódar,Castellón,Fuentes de Ayódar,40.03333,-0.41667,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gaibiel,Castellón,Gaibiel,39.93333,-0.48333,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Geldo,Castellón,Geldo,39.83333,-0.46667,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Herbers,Castellón,Herbers,40.721,-0.00441,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Higueras,Castellón,Higueras,39.98333,-0.5,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Jana (la),Castellón,La Jana,40.500091,0.23571,0,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Jérica,Castellón,Jérica,39.913351,-0.571448,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Llosa (la),Castellón,La Llosa,39.76667,-0.2,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Llucena/Lucena del Cid,Castellón,Llucena/Lucena del Cid,40.138191,-0.279983,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0
Ludiente,Castellón,Ludiente,40.08333,-0.36667,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mata de Morella (la),Castellón,La Mata de Morella,40.608223,-0.27819,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Matet,Castellón,Matet,39.93333,-0.46667,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Moncofa,Castellón,Moncofa,39.808477,-0.145696,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Montán,Castellón,Montán,40.03333,-0.55,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Montanejos,Castellón,Montanejos,40.06667,-0.51667,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Morella,Castellón,Morella,40.619721,-0.101421,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Navajas,Castellón,Navajas,39.87561,-0.507389,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Nules,Castellón,Nules,39.853511,-0.159416,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Olocau del Rey,Castellón,Olocau del Rey,40.63775,-0.34041,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Onda,Castellón,Onda,39.967667,-0.238401,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Oropesa del Mar/Orpesa,Castellón,Oropesa del Mar/Orpesa,40.088257,0.141674,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Palanques,Castellón,Palanques,40.718,-0.17941,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Pavías,Castellón,Pavías,39.96667,-0.48333,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Peníscola/Peñíscola,Castellón,Peníscola/Peñíscola,40.363805,0.392361,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pina de Montalgrao,Castellón,Pina de Montalgrao,40.01667,-0.65,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pobla de Benifassà (la),Castellón,La Pobla de Benifassà,40.65629,0.15793,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Pobla Tornesa (la),Castellón,La Pobla Tornesa,40.109561,-0.008239,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Portell de Morella,Castellón,Portell de Morella,40.53267,-0.26249,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Puebla de Arenoso,Castellón,Puebla de Arenoso,40.1,-0.58333,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Ribesalbes,Castellón,Ribesalbes,40.021367,-0.277889,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Rossell,Castellón,Rossell,40.61784,0.220729,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Sacañet,Castellón,Sacañet,39.86667,-0.71667,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Salzadella (la),Castellón,La Salzadella,40.41792,0.17509,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
San Rafael del Río,Castellón,San Rafael del Río,40.5935,0.33932,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Sant Joan de Moró,Castellón,Sant Joan de Moró,40.059513,-0.136464,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Sant Jordi/San Jorge,Castellón,Sant Jordi/San Jorge,40.50982,0.33208,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
Sant Mateu,Castellón,Sant Mateu,40.464639,0.180213,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Santa Magdalena de Pulpis,Castellón,Santa Magdalena de Pulpis,40.35625,0.30258,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Segorbe,Castellón,Segorbe,39.850485,-0.487022,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
Serratella (la),Castellón,La Serratella,40.31284,0.0315,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Sierra Engarcerán,Castellón,Sierra Engarcerán,40.26929,-0.01892,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Soneja,Castellón,Soneja,39.810029,-0.428728,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Sot de Ferrer,Castellón,Sot de Ferrer,39.8,-0.4,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Sueras/Suera,Castellón,Sueras/Suera,39.953903,-0.352778,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tales,Castellón,Tales,39.94844,-0.30719,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Teresa,Castellón,Teresa,39.890392,-0.677825,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Tírig,Castellón,Tírig,40.42316,0.07792,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Todolella,Castellón,Todolella,40.64675,-0.24675,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Toga,Castellón,Toga,40.05,-0.36667,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Torás,Castellón,Torás,39.919208,-0.684699,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Toro (El),Castellón,El Toro,39.98333,-0.75,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Torralba del Pinar,Castellón,Torralba del Pinar,39.98333,-0.43333,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Torre d'En Besora (la),Castellón,La Torre d'En Besora,40.32649,-0.07949,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Torre d'en Doménec (la),Castellón,La Torre d'en Doménec,40.267426,0.074319,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Torreblanca,Castellón,Torreblanca,40.21956,0.196572,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Torrechiva,Castellón,Torrechiva,40.05,-0.4,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0
Traiguera,Castellón,Traiguera,40.524145,0.289751,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Useras/Useres (les),Castellón,Les Useras/Useres,40.15765,-0.16522,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Vall d'Alba,Castellón,Vall d'Alba,40.175908,-0.035251,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vall de Almonacid,Castellón,Vall de Almonacid,39.9,-0.45,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vall d'Uixó (la),Castellón,La Vall d'Uixó,39.824012,-0.233628,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Vallat,Castellón,Vallat,40.0362,-0.33666,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Vallibona,Castellón,Vallibona,40.603,0.04642,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Vilafamés,Castellón,Vilafamés,40.116555,-0.050943,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Vilafranca/Villafranca del Cid,Castellón,Vilafranca/Villafranca del Cid,40.43069,-0.253634,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Vilanova d'Alcolea,Castellón,Vilanova d'Alcolea,40.23183,0.07409,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Vilar de Canes,Castellón,Vilar de Canes,40.35817,-0.0655,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vila-real,Castellón,Vila-real,39.9383,-0.10087,0,1,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Vilavella (la),Castellón,La Vilavella,39.859557,-0.18363,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Villahermosa del Río,Castellón,Villahermosa del Río,40.20268,-0.4199,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Villamalur,Castellón,Villamalur,39.96667,-0.4,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Villanueva de Viver,Castellón,Villanueva de Viver,40.05,-0.65,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villores,Castellón,Villores,40.67478,-0.20023,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Vinaròs,Castellón,Vinaròs,40.479527,0.478995,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Vistabella del Maestrat,Castellón,Vistabella del Maestrat,40.29616,-0.29435,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
