municipio,provincia,municipio_nombre_humano,lat,lon,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
Urkabustaiz,Álava,Urkabustaiz,42.972748,-2.920274,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,42.84777,-3.09883,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga,42.54788,-2.66552,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz,42.854747,-2.676179,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Yécora/Iekora,Álava,Yécora/Iekora,42.5681,-2.47038,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Zalduondo,Álava,Zalduondo,42.884831,-2.349995,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0
Zambrana,Álava,Zambrana,42.66102,-2.87909,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Zigoitia,Álava,Zigoitia,42.97258,-2.72226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zuia,Álava,Zuia,42.98404,-2.830075,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Abengibre,Albacete,Abengibre,39.209727,-1.541551,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Alatoz,Albacete,Alatoz,39.09495,-1.36098,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Albacete,Albacete,Albacete,38.995097,-1.86197,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Albatana,Albacete,Albatana,38.571977,-1.522897,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alborea,Albacete,Alborea,39.278861,-1.394938,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Alcadozo,Albacete,Alcadozo,38.648845,-1.979948,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Alcalá del Júcar,Albacete,Alcalá del Júcar,39.2,-1.43333,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Alcaraz,Albacete,Alcaraz,38.697248,-2.531032,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Almansa,Albacete,Almansa,38.869442,-1.104684,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Alpera,Albacete,Alpera,38.95838,-1.231399,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
Ayna,Albacete,Ayna,38.55,-2.08333,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Balazote,Albacete,Balazote,38.885548,-2.154767,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Ballestero (El),Albacete,El Ballestero,38.84179,-2.45608,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
