municipio,provincia,codigo_INE,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g
Albaladejo,Ciudad Real,13004,100.0,0.0,100.0,100.0
Albaladejo del Cuende,Cuenca,16004,31.0,0.0,100.0,99.0
Albalat de la Ribera,Valencia,46008,99.0,78.0,100.0,100.0
Albalat dels Sorells,Valencia,46009,99.0,98.0,100.0,100.0
Albalat dels Tarongers,Valencia,46010,90.0,24.0,100.0,100.0
Albalate de Cinca,Huesca,22007,75.0,75.0,100.0,100.0
Albalate de las Nogueras,Cuenca,16005,100.0,0.0,100.0,100.0
Albalate de Zorita,Guadalajara,19006,100.0,0.0,100.0,100.0
Albalate del Arzobispo,Teruel,44008,100.0,100.0,100.0,100.0
Albalatillo,Huesca,22008,95.0,65.0,100.0,99.0
Albanchez,Almería,4004,33.69,5.69,91.38,95.0
Albanchez de Mágina,Jaén,23001,93.5,0.0,100.0,100.0
Albanyà,Girona,17003,0.0,0.0,79.8,59.9
Albares,Guadalajara,19007,100.0,0.0,100.0,99.0
Albarracín,Teruel,44009,23.5,23.5,99.75,95.62
Albarreal de Tajo,Toledo,45003,99.5,0.0,100.0,100.0
Albatana,Albacete,2004,100.0,98.0,99.0,100.0
Albatàrrec,Lleida,25007,100.0,96.0,100.0,100.0
Albatera,Alicante,3005,100.0,89.0,100.0,100.0
Albelda,Huesca,22009,95.0,71.0,100.0,100.0
Albelda de Iregua,La Rioja,26005,100.0,69.0,100.0,100.0
Albendea,Cuenca,16006,100.0,0.0,100.0,100.0
Albendiego,Guadalajara,19008,100.0,0.0,100.0,100.0
Albentosa,Teruel,44010,19.0,0.0,100.0,99.2
Alberca (La),Salamanca,37010,66.67,0.0,100.0,100.0
Alberca de Záncara (La),Cuenca,16007,100.0,100.0,100.0,100.0
Alberguería de Argañán (La),Salamanca,37011,0.0,0.0,100.0,99.0
Alberic,Valencia,46011,100.0,100.0,100.0,100.0
Alberite,La Rioja,26006,100.0,100.0,100.0,100.0
Alberite de San Juan,Zaragoza,50010,100.0,0.0,100.0,100.0
Albero Alto,Huesca,22011,77.0,77.0,100.0,100.0
Albero Bajo,Huesca,22012,100.0,100.0,100.0,88.0
Alberuela de Tubo,Huesca,22013,95.0,0.0,100.0,99.5
Albesa,Lleida,25008,50.0,30.0,99.5,99.0
Albeta,Zaragoza,50011,98.0,0.0,100.0,100.0
Albi (L'),Lleida,25009,97.0,0.0,100.0,100.0
Albillos,Burgos,9009,100.0,0.0,100.0,100.0
Albinyana,Tarragona,43002,89.57,63.14,100.0,100.0
Albiol (L'),Tarragona,43003,83.5,0.0,99.5,98.5
Albiztur,Gipuzkoa,20004,83.0,83.0,100.0,94.0
Albocàsser,Castellón,12003,16.67,16.67,97.33,98.67
Alboloduy,Almería,4005,50.0,50.0,100.0,100.0
Albolote,Granada,18003,95.0,69.0,100.0,100.0
Albondón,Granada,18004,20.0,2.8,99.2,61.2
Albons,Girona,17004,96.0,0.0,100.0,100.0
Alborache,Valencia,46012,94.0,94.0,100.0,100.0
Alboraia/Alboraya,Valencia,46013,94.0,94.0,100.0,100.0
Alborea,Albacete,2005,100.0,100.0,100.0,100.0
Alborge,Zaragoza,50012,95.0,0.0,100.0,100.0
Albornos,Ávila,5005,100.0,0.0,100.0,100.0
Albox,Almería,4006,87.44,24.78,99.67,99.78
Albudeite,Murcia,30004,98.0,94.0,100.0,100.0
Albuera (La),Badajoz,6005,99.0,6.0,100.0,100.0
Albuixech,Valencia,46014,100.0,100.0,100.0,100.0
Albuñán,Granada,18005,100.0,100.0,100.0,100.0
Albuñol,Granada,18006,62.17,44.33,97.17,98.0
Albuñuelas,Granada,18007,98.5,50.0,100.0,100.0
Alburquerque,Badajoz,6006,18.6,18.6,84.6,93.4
Alcabón,Toledo,45004,97.0,10.0,100.0,100.0
Alcadozo,Albacete,2006,14.0,0.0,94.43,79.14
Alcaine,Teruel,44011,0.0,0.0,100.0,42.0
Alcalá de Ebro,Zaragoza,50013,95.0,0.0,100.0,100.0
Alcalá de Guadaíra,Sevilla,41004,80.2,76.8,100.0,100.0
Alcalá de Gurrea,Huesca,22014,95.0,0.0,99.0,96.0
Alcalá de Henares,Madrid,28005,31.0,11.11,99.44,99.56
Alcalá de la Selva,Teruel,44012,47.5,42.0,100.0,100.0
Alcalá de la Vega,Cuenca,16008,0.0,0.0,100.0,99.0
Alcalá de los Gazules,Cádiz,11001,52.0,52.0,100.0,100.0
Alcalá de Moncayo,Zaragoza,50014,0.0,0.0,99.0,99.0
Alcalà de Xivert,Castellón,12004,98.25,65.0,100.0,100.0
Alcalá del Júcar,Albacete,2007,72.14,28.57,97.71,96.57
Alcalá del Obispo,Huesca,22015,95.0,95.0,93.75,90.0
Alcalá del Río,Sevilla,41005,97.5,95.0,100.0,99.75
Alcalá del Valle,Cádiz,11002,100.0,100.0,100.0,100.0
Alcalá la Real,Jaén,23002,73.13,30.67,98.33,97.13
Alcalalí,Alicante,3006,99.5,99.5,100.0,100.0
Alcampell,Huesca,22016,98.0,95.0,100.0,100.0
Alcanadre,La Rioja,26007,100.0,0.0,100.0,100.0
Alcanar,Tarragona,43004,51.75,20.0,100.0,100.0
Alcanó,Lleida,25010,0.0,0.0,100.0,70.0
Alcántara,Cáceres,10008,73.0,0.0,100.0,100.0
Alcantarilla,Murcia,30005,94.0,94.0,100.0,100.0
Alcàntera de Xúquer,Valencia,46016,100.0,100.0,100.0,100.0
Alcantud,Cuenca,16009,100.0,0.0,100.0,100.0
Alcañices,Zamora,49003,43.5,0.0,97.25,82.25
Alcañiz,Teruel,44013,98.33,24.33,100.0,100.0
Alcañizo,Toledo,45005,22.0,0.0,100.0,100.0
Alcaracejos,Córdoba,14003,100.0,100.0,100.0,100.0
Alcaraz,Albacete,2008,37.57,0.0,100.0,84.86
Alcarràs,Lleida,25011,35.4,35.4,97.8,99.0
Alcàsser,Valencia,46015,90.0,90.0,100.0,100.0
Alcaucín,Málaga,29002,87.38,6.75,100.0,100.0
Alcaudete,Jaén,23003,98.75,75.0,100.0,99.75
Alcaudete de la Jara,Toledo,45006,100.0,45.0,100.0,99.0
Alcázar de San Juan,Ciudad Real,13005,60.33,31.67,100.0,99.67
Alcázar del Rey,Cuenca,16010,74.0,0.0,100.0,100.0
Alcazarén,Valladolid,47005,100.0,100.0,100.0,100.0
Alcázares (Los),Murcia,30902,100.0,15.25,100.0,100.0
Alcoba,Ciudad Real,13006,23.5,0.0,98.5,99.0
Alcobendas,Madrid,28006,96.0,96.0,100.0,100.0
Alcocer,Guadalajara,19009,100.0,0.0,99.0,100.0
Alcocer de Planes,Alicante,3007,99.0,52.0,100.0,100.0
Alcocero de Mola,Burgos,9010,0.0,0.0,100.0,100.0
Alcohujate,Cuenca,16011,100.0,0.0,99.0,99.0
Alcolea,Almería,4007,92.33,29.0,86.0,100.0
Alcolea de Calatrava,Ciudad Real,13007,100.0,39.0,100.0,100.0
Alcolea de Cinca,Huesca,22017,95.0,74.0,100.0,100.0
Alcolea de las Peñas,Guadalajara,19010,0.0,0.0,100.0,99.0
Alcolea de Tajo,Toledo,45007,64.25,0.0,97.0,87.25
Alcolea del Pinar,Guadalajara,19011,100.0,0.0,100.0,99.8
Alcolea del Río,Sevilla,41006,100.0,100.0,100.0,100.0
Alcoleja,Alicante,3008,100.0,100.0,100.0,99.0
Alcoletge,Lleida,25012,99.0,53.0,100.0,100.0
Alcollarín,Cáceres,10009,10.0,0.0,100.0,100.0
Alconaba,Soria,42006,100.0,0.0,100.0,100.0
Alconada,Salamanca,37012,86.5,0.0,100.0,100.0
Alconada de Maderuelo,Segovia,40005,0.0,0.0,100.0,99.5
Alconchel,Badajoz,6007,98.0,0.0,100.0,100.0
Alconchel de Ariza,Zaragoza,50015,95.0,0.0,100.0,100.0
Alconchel de la Estrella,Cuenca,16012,0.0,0.0,100.0,100.0
Alconera,Badajoz,6008,62.0,0.0,100.0,100.0
Alcóntar,Almería,4008,37.12,2.38,99.75,92.25
Alcora (L'),Castellón,12005,92.0,46.25,100.0,96.5
Alcorcón,Madrid,28007,41.0,26.12,99.88,99.88
Alcorisa,Teruel,44014,100.0,99.0,100.0,100.0
Alcoroches,Guadalajara,19013,0.0,0.0,100.0,37.0
Alcover,Tarragona,43005,62.1,7.4,100.0,100.0
Alcoy/Alcoi,Alicante,3009,100.0,100.0,100.0,100.0
Alcubierre,Huesca,22018,95.0,0.0,100.0,100.0
Alcubilla de Avellaneda,Soria,42007,0.0,0.0,100.0,43.67
Alcubilla de las Peñas,Soria,42008,0.0,0.0,100.0,90.0
Alcubilla de Nogales,Zamora,49004,100.0,0.0,77.0,63.0
Alcubillas,Ciudad Real,13008,0.0,0.0,100.0,100.0
Alcublas,Valencia,46018,100.0,100.0,99.0,99.0
Alcúdia,Illes Balears,7003,78.33,78.33,100.0,100.0
Alcúdia (L'),Valencia,46019,76.33,28.33,100.0,100.0
Alcúdia de Crespins (L'),Valencia,46020,100.0,100.0,100.0,100.0
Alcudia de Monteagud,Almería,4009,88.0,0.0,100.0,100.0
Alcudia de Veo,Castellón,12006,0.0,0.0,100.0,100.0
Alcuéscar,Cáceres,10010,100.0,90.0,100.0,100.0
Aldaia,Valencia,46021,97.0,97.0,100.0,100.0
Aldea (L'),Tarragona,43904,100.0,100.0,100.0,100.0
Aldea de San Miguel,Valladolid,47006,100.0,100.0,100.0,100.0
Aldea de San Nicolás (La),Las Palmas,35020,84.82,55.94,99.24,99.53
Aldea del Cano,Cáceres,10012,33.0,0.0,100.0,100.0
Aldea del Fresno,Madrid,28008,53.43,11.14,100.0,100.0
Aldea del Obispo,Salamanca,37015,7.5,0.0,100.0,99.0
Aldea del Obispo (La),Cáceres,10013,78.0,0.0,100.0,100.0
Aldea del Rey,Ciudad Real,13009,100.0,100.0,100.0,100.0
Aldea en Cabo,Toledo,45008,0.0,0.0,100.0,99.0
Aldea Real,Segovia,40012,100.0,0.0,100.0,100.0
Aldeacentenera,Cáceres,10011,51.0,0.0,100.0,100.0
Aldeacipreste,Salamanca,37013,100.0,0.0,100.0,100.0
Aldeadávila de la Ribera,Salamanca,37014,64.0,0.0,100.0,99.0
Aldealafuente,Soria,42009,0.0,0.0,100.0,100.0
Aldealcorvo,Segovia,40006,100.0,0.0,100.0,100.0
Aldealengua,Salamanca,37016,98.0,0.0,100.0,100.0
Aldealengua de Pedraza,Segovia,40007,54.75,0.0,100.0,100.0
Aldealengua de Santa María,Segovia,40008,0.0,0.0,100.0,99.0
Aldealices,Soria,42010,94.0,0.0,100.0,100.0
Aldealpozo,Soria,42011,100.0,0.0,100.0,100.0
Aldealseñor,Soria,42012,96.0,0.0,100.0,100.0
Aldeamayor de San Martín,Valladolid,47007,90.0,90.0,100.0,100.0
Aldeanueva de Barbarroya,Toledo,45009,100.0,0.0,96.0,99.0
Aldeanueva de Ebro,La Rioja,26008,100.0,96.0,100.0,100.0
Aldeanueva de Figueroa,Salamanca,37017,24.5,0.0,70.75,56.25
Aldeanueva de Guadalajara,Guadalajara,19015,100.0,0.0,99.0,100.0
Aldeanueva de la Serrezuela,Segovia,40009,0.0,0.0,100.0,100.0
Aldeanueva de la Sierra,Salamanca,37018,70.0,0.0,99.0,100.0
Aldeanueva de la Vera,Cáceres,10014,100.0,71.0,100.0,100.0
