codigo_ine,municipio,provincia,municipio_nombre_humano,num_colegios,num_universidades
37001,Abusejo,Salamanca,Abusejo,0,0
28001,Acebeda (La),Madrid,La Acebeda,0,0
24001,Acebedo,León,Acebedo,0,0
10003,Acebo,Cáceres,Acebo,1,0
16002,Acebrón (El),Cuenca,El Acebrón,0,0
6001,Acedera,Badajoz,Acedera,2,0
10004,Acehúche,Cáceres,Acehúche,1,0
10005,Aceituna,Cáceres,Aceituna,0,0
50002,Acered,Zaragoza,Acered,0,0
6002,Aceuchal,Badajoz,Aceuchal,2,0
22003,Adahuesca,Huesca,Adahuesca,2,0
47001,Adalia,Valladolid,Adalia,0,0
14001,Adamuz,Córdoba,Adamuz,5,0
5001,Adanero,Ávila,Adanero,0,0
38001,Adeje,Santa Cruz de Tenerife,Adeje,12,0
46001,Ademuz,Valencia,Ademuz,4,0
31007,Adiós,Navarra,Adiós,0,0
19003,Adobes,Guadalajara,Adobes,0,0
46002,Ador,Valencia,Ador,3,0
4003,Adra,Almería,Adra,30,0
5002,Adrada (La),Ávila,La Adrada,3,0
9003,Adrada de Haza,Burgos,Adrada de Haza,0,0
40002,Adrada de Pirón,Segovia,Adrada de Pirón,0,0
42003,Adradas,Soria,Adradas,0,0
40003,Adrados,Segovia,Adrados,0,0
20002,Aduna,Gipuzkoa,Aduna,1,0
35001,Agaete,Las Palmas,Agaete,5,0
37002,Agallas,Salamanca,Agallas,0,0
25002,Àger,Lleida,Àger,1,0
36020,Agolada,Pontevedra,Agolada,1,0
50003,Agón,Zaragoza,Agón,0,0
26002,Agoncillo,La Rioja,Agoncillo,2,0
3002,Agost,Alicante,Agost,6,0
25003,Agramunt,Lleida,Agramunt,5,0
42004,Ágreda,Soria,Ágreda,4,0
3003,Agres,Alicante,Agres,0,0
18001,Agrón,Granada,Agrón,0,0
41001,Aguadulce,Sevilla,Aguadulce,0,0
50004,Aguarón,Zaragoza,Aguarón,1,0
9006,Aguas Cándidas,Burgos,Aguas Cándidas,0,0
47002,Aguasal,Valladolid,Aguasal,0,0
44003,Aguatón,Teruel,Aguatón,0,0
44004,Aguaviva,Teruel,Aguaviva,1,0
13002,Agudo,Ciudad Real,Agudo,2,0
22004,Agüero,Huesca,Agüero,0,0
40004,Aguilafuente,Segovia,Aguilafuente,1,0
9007,Aguilar de Bureba,Burgos,Aguilar de Bureba,0,0
34004,Aguilar de Campoo,Palencia,Aguilar de Campoo,6,0
47003,Aguilar de Campos,Valladolid,Aguilar de Campos,0,0
31008,Aguilar de Codés,Navarra,Aguilar de Codés,0,0
14002,Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,10,0
8002,Aguilar de Segarra,Barcelona,Aguilar de Segarra,0,0
44005,Aguilar del Alfambra,Teruel,Aguilar del Alfambra,0,0
26003,Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama,0,0
30003,Águilas,Murcia,Águilas,20,0
50005,Aguilón,Zaragoza,Aguilón,0,0
35002,Agüimes,Las Palmas,Agüimes,8,0
17001,Agullana,Girona,Agullana,2,0
46004,Agullent,Valencia,Agullent,4,0
38002,Agulo,Santa Cruz de Tenerife,Agulo,2,0
1051,Agurain/Salvatierra,Álava,Agurain/Salvatierra,6,0
10006,Ahigal,Cáceres,Ahigal,1,0
37003,Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,0,0
37004,Ahigal de Villarino,Salamanca,Ahigal de Villarino,0,0
6003,Ahillones,Badajoz,Ahillones,1,0
20016,Aia,Gipuzkoa,Aia,0,0
31009,Aibar/Oibar,Navarra,Aibar/Oibar,1,0
46042,Aielo de Malferit,Valencia,Aielo de Malferit,5,0
