municipio,provincia,codigo_ine,num_centros_salud,municipio_nombre_humano
Alameda,Málaga,29001,1,Alameda
Alameda de Gardón (La),Salamanca,37005,1,La Alameda de Gardón
Alameda de la Sagra,Toledo,45002,1,Alameda de la Sagra
Alameda del Valle,Madrid,28003,1,Alameda del Valle
Alamedilla,Granada,18002,1,Alamedilla
Alamedilla (La),Salamanca,37006,1,La Alamedilla
Alamillo,Ciudad Real,13003,1,Alamillo
Alaminos,Guadalajara,19004,1,Alaminos
Álamo (El),Madrid,28004,1,El Álamo
Alamús (Els),Lleida,25004,1,Els Alamús
Alange,Badajoz,6004,1,Alange
Alanís,Sevilla,41002,1,Alanís
Alaquàs,Valencia,46005,1,Alaquàs
Alar del Rey,Palencia,34005,3,Alar del Rey
Alaraz,Salamanca,37007,1,Alaraz
Alarba,Zaragoza,50009,1,Alarba
Alarcón,Cuenca,16003,1,Alarcón
Alarilla,Guadalajara,19005,1,Alarilla
Alaró,Illes Balears,7001,1,Alaró
Alàs i Cerc,Lleida,25005,1,Alàs i Cerc
Alatoz,Albacete,2002,1,Alatoz
Alba,Teruel,44007,1,Alba
Alba de Cerrato,Palencia,34006,1,Alba de Cerrato
Alba de Tormes,Salamanca,37008,2,Alba de Tormes
Alba de Yeltes,Salamanca,37009,1,Alba de Yeltes
Albacete,Albacete,2003,15,Albacete
Albagés (L'),Lleida,25006,1,L' Albagés
Albaida,Valencia,46006,1,Albaida
Albaida del Aljarafe,Sevilla,41003,1,Albaida del Aljarafe
Albal,Valencia,46007,1,Albal
Albalá,Cáceres,10007,1,Albalá
Albaladejo,Ciudad Real,13004,1,Albaladejo
Albaladejo del Cuende,Cuenca,16004,1,Albaladejo del Cuende
Albalat de la Ribera,Valencia,46008,1,Albalat de la Ribera
Albalat dels Sorells,Valencia,46009,1,Albalat dels Sorells
Albalat dels Tarongers,Valencia,46010,1,Albalat dels Tarongers
Albalate de Cinca,Huesca,22007,1,Albalate de Cinca
Albalate de las Nogueras,Cuenca,16005,1,Albalate de las Nogueras
Albalate de Zorita,Guadalajara,19006,1,Albalate de Zorita
Albalate del Arzobispo,Teruel,44008,1,Albalate del Arzobispo
Albalatillo,Huesca,22008,1,Albalatillo
Albanchez,Almería,4004,1,Albanchez
Albanchez de Mágina,Jaén,23001,1,Albanchez de Mágina
Albanyà,Girona,17003,1,Albanyà
Albares,Guadalajara,19007,1,Albares
Albarracín,Teruel,44009,1,Albarracín
Albarreal de Tajo,Toledo,45003,1,Albarreal de Tajo
Albatana,Albacete,2004,1,Albatana
Albatàrrec,Lleida,25007,1,Albatàrrec
Albatera,Alicante,3005,1,Albatera
Albelda,Huesca,22009,1,Albelda
Albelda de Iregua,La Rioja,26005,1,Albelda de Iregua
Albendea,Cuenca,16006,1,Albendea
Albendiego,Guadalajara,19008,1,Albendiego
Albentosa,Teruel,44010,5,Albentosa
Alberca (La),Salamanca,37010,1,La Alberca
Alberca de Záncara (La),Cuenca,16007,1,La Alberca de Záncara
Alberguería de Argañán (La),Salamanca,37011,1,La Alberguería de Argañán
Alberic,Valencia,46011,1,Alberic
Alberite,La Rioja,26006,1,Alberite
Alberite de San Juan,Zaragoza,50010,1,Alberite de San Juan
Albero Alto,Huesca,22011,1,Albero Alto
Albero Bajo,Huesca,22012,1,Albero Bajo
Alberuela de Tubo,Huesca,22013,2,Alberuela de Tubo
Albesa,Lleida,25008,1,Albesa
Albeta,Zaragoza,50011,1,Albeta
Albi (L'),Lleida,25009,1,L' Albi
Albillos,Burgos,9009,1,Albillos
Albinyana,Tarragona,43002,2,Albinyana
Albiol (L'),Tarragona,43003,0,L' Albiol
Albiztur,Gipuzkoa,20004,1,Albiztur
Albocàsser,Castellón,12003,1,Albocàsser
Alboloduy,Almería,4005,1,Alboloduy
Albolote,Granada,18003,2,Albolote
Albondón,Granada,18004,1,Albondón
Albons,Girona,17004,1,Albons
Alborache,Valencia,46012,1,Alborache
Alboraia/Alboraya,Valencia,46013,4,Alboraia/Alboraya
Alborea,Albacete,2005,1,Alborea
Alborge,Zaragoza,50012,1,Alborge
Albornos,Ávila,5005,1,Albornos
Albox,Almería,4006,4,Albox
Albudeite,Murcia,30004,1,Albudeite
Albuera (La),Badajoz,6005,1,La Albuera
Albuixech,Valencia,46014,1,Albuixech
Albuñán,Granada,18005,1,Albuñán
Albuñol,Granada,18006,4,Albuñol
Albuñuelas,Granada,18007,1,Albuñuelas
Alburquerque,Badajoz,6006,1,Alburquerque
Alcabón,Toledo,45004,1,Alcabón
Alcadozo,Albacete,2006,1,Alcadozo
Alcaine,Teruel,44011,1,Alcaine
Alcalá de Ebro,Zaragoza,50013,1,Alcalá de Ebro
Alcalá de Guadaíra,Sevilla,41004,3,Alcalá de Guadaíra
Alcalá de Gurrea,Huesca,22014,2,Alcalá de Gurrea
Alcalá de Henares,Madrid,28005,10,Alcalá de Henares
Alcalá de la Selva,Teruel,44012,1,Alcalá de la Selva
Alcalá de la Vega,Cuenca,16008,2,Alcalá de la Vega
Alcalá de los Gazules,Cádiz,11001,1,Alcalá de los Gazules
Alcalá de Moncayo,Zaragoza,50014,1,Alcalá de Moncayo
Alcalà de Xivert,Castellón,12004,3,Alcalà de Xivert
Alcalá del Júcar,Albacete,2007,5,Alcalá del Júcar
Alcalá del Obispo,Huesca,22015,3,Alcalá del Obispo
Alcalá del Río,Sevilla,41005,4,Alcalá del Río
Alcalá del Valle,Cádiz,11002,1,Alcalá del Valle
Alcalá la Real,Jaén,23002,12,Alcalá la Real
Alcalalí,Alicante,3006,2,Alcalalí
Alcampell,Huesca,22016,1,Alcampell
Alcanadre,La Rioja,26007,1,Alcanadre
Alcanar,Tarragona,43004,1,Alcanar
Alcanó,Lleida,25010,1,Alcanó
Alcántara,Cáceres,10008,2,Alcántara
Alcantarilla,Murcia,30005,2,Alcantarilla
Alcàntera de Xúquer,Valencia,46016,1,Alcàntera de Xúquer
Alcantud,Cuenca,16009,1,Alcantud
Alcañices,Zamora,49003,4,Alcañices
Alcañiz,Teruel,44013,3,Alcañiz
Alcañizo,Toledo,45005,1,Alcañizo
Alcaracejos,Córdoba,14003,1,Alcaracejos
Alcaraz,Albacete,2008,2,Alcaraz
Alcarràs,Lleida,25011,1,Alcarràs
Alcàsser,Valencia,46015,1,Alcàsser
Alcaucín,Málaga,29002,1,Alcaucín
Alcaudete,Jaén,23003,4,Alcaudete
Alcaudete de la Jara,Toledo,45006,1,Alcaudete de la Jara
Alcázar de San Juan,Ciudad Real,13005,3,Alcázar de San Juan
Alcázar del Rey,Cuenca,16010,1,Alcázar del Rey
Alcazarén,Valladolid,47005,1,Alcazarén
Alcázares (Los),Murcia,30902,2,Los Alcázares
Alcoba,Ciudad Real,13006,2,Alcoba
Alcobendas,Madrid,28006,5,Alcobendas
Alcocer,Guadalajara,19009,1,Alcocer
Alcocer de Planes,Alicante,3007,1,Alcocer de Planes
Alcocero de Mola,Burgos,9010,1,Alcocero de Mola
Alcohujate,Cuenca,16011,1,Alcohujate
Alcolea,Almería,4007,2,Alcolea
Alcolea de Calatrava,Ciudad Real,13007,1,Alcolea de Calatrava
Alcolea de Cinca,Huesca,22017,1,Alcolea de Cinca
Alcolea de las Peñas,Guadalajara,19010,1,Alcolea de las Peñas
Alcolea de Tajo,Toledo,45007,2,Alcolea de Tajo
Alcolea del Pinar,Guadalajara,19011,5,Alcolea del Pinar
Alcolea del Río,Sevilla,41006,1,Alcolea del Río
Alcoleja,Alicante,3008,1,Alcoleja
Alcoletge,Lleida,25012,1,Alcoletge
Alcollarín,Cáceres,10009,1,Alcollarín
Alconaba,Soria,42006,4,Alconaba
Alconada,Salamanca,37012,1,Alconada
Alconada de Maderuelo,Segovia,40005,1,Alconada de Maderuelo
Alconchel,Badajoz,6007,1,Alconchel
Alconchel de Ariza,Zaragoza,50015,1,Alconchel de Ariza
Alconchel de la Estrella,Cuenca,16012,1,Alconchel de la Estrella
Alconera,Badajoz,6008,1,Alconera
Alcóntar,Almería,4008,2,Alcóntar
Alcora (l'),Castellón,12005,2,L' Alcora
Alcorcón,Madrid,28007,7,Alcorcón
Alcorisa,Teruel,44014,1,Alcorisa
Alcoroches,Guadalajara,19013,1,Alcoroches
Alcover,Tarragona,43005,1,Alcover
Alcoy/Alcoi,Alicante,3009,5,Alcoy/Alcoi
Alcubierre,Huesca,22018,1,Alcubierre
Alcubilla de Avellaneda,Soria,42007,3,Alcubilla de Avellaneda
Alcubilla de las Peñas,Soria,42008,3,Alcubilla de las Peñas
Alcubilla de Nogales,Zamora,49004,1,Alcubilla de Nogales
Alcubillas,Ciudad Real,13008,1,Alcubillas
Alcublas,Valencia,46018,1,Alcublas
Alcúdia,Illes Balears,7003,2,Alcúdia
Alcúdia (l'),Valencia,46019,1,L' Alcúdia
Alcúdia de Crespins (l'),Valencia,46020,1,L' Alcúdia de Crespins
Alcudia de Monteagud,Almería,4009,1,Alcudia de Monteagud
Alcudia de Veo,Castellón,12006,2,Alcudia de Veo
Alcuéscar,Cáceres,10010,1,Alcuéscar
Aldaia,Valencia,46021,2,Aldaia
Aldea (L'),Tarragona,43904,1,L' Aldea
Aldea de San Miguel,Valladolid,47006,1,Aldea de San Miguel
