municipio,provincia,municipio_nombre_humano,lat,lon,elevation
Agurain/Salvatierra,Álava,Agurain/Salvatierra,42.847308,-2.392287,593
Alegría-Dulantzi,Álava,Alegría-Dulantzi,42.841339,-2.51244,566
Amurrio,Álava,Amurrio,43.052099,-3.001084,222
Añana,Álava,Añana,42.80199,-2.98636,573
Aramaio,Álava,Aramaio,43.039,-2.60173,821
Armiñón,Álava,Armiñón,42.72313,-2.87172,464
Arraia-Maeztu,Álava,Arraia-Maeztu,42.74284,-2.44683,644
Arratzua-Ubarrundia,Álava,Arratzua-Ubarrundia,42.889187,-2.639355,515
Artziniega,Álava,Artziniega,43.120812,-3.127981,189
Asparrena,Álava,Asparrena,42.889667,-2.316775,608
Ayala/Aiara,Álava,Ayala/Aiara,43.069205,-3.024081,222
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,42.52997,-2.67924,433
Barrundia,Álava,Barrundia,42.91377,-2.5071,560
Berantevilla,Álava,Berantevilla,42.68254,-2.85832,474
Bernedo,Álava,Bernedo,42.62663,-2.49784,724
Campezo/Kanpezu,Álava,Campezo/Kanpezu,42.69412,-2.36442,714
Elburgo/Burgelu,Álava,Elburgo/Burgelu,42.84972,-2.54513,542
Elciego,Álava,Elciego,42.515216,-2.619526,463
Elvillar/Bilar,Álava,Elvillar/Bilar,42.56994,-2.54502,592
Erriberabeitia,Álava,Erriberabeitia,42.910532,-2.754306,680
Erriberagoitia/Ribera Alta,Álava,Erriberagoitia/Ribera Alta,42.910532,-2.754306,680
Harana/Valle de Arana,Álava,Harana/Valle de Arana,42.910532,-2.754306,680
Iruña Oka/Iruña de Oca,Álava,Iruña Oka/Iruña de Oca,42.82931,-2.81194,600
Iruraiz-Gauna,Álava,Iruraiz-Gauna,42.82001,-2.49002,614
Kripan,Álava,Kripan,42.59113,-2.51656,682
Kuartango,Álava,Kuartango,42.895743,-2.933869,783
Labastida/Bastida,Álava,Labastida/Bastida,42.588749,-2.796281,527
Lagrán,Álava,Lagrán,42.62625,-2.58385,750
Laguardia,Álava,Laguardia,42.553699,-2.584773,638
Lanciego/Lantziego,Álava,Lanciego/Lantziego,42.56248,-2.51343,538
Lantarón,Álava,Lantarón,42.728169,-3.004472,465
Lapuebla de Labarca,Álava,Lapuebla de Labarca,42.49454,-2.5734,441
Laudio/Llodio,Álava,Laudio/Llodio,43.142083,-2.959191,123
Legutio,Álava,Legutio,42.979847,-2.642626,568
Leza,Álava,Leza,42.56552,-2.63324,570
Moreda de Álava/Moreda Araba,Álava,Moreda de Álava/Moreda Araba,42.52571,-2.40828,454
Navaridas,Álava,Navaridas,42.54566,-2.6265,496
Okondo,Álava,Okondo,43.179363,-3.00113,404
Oyón-Oion,Álava,Oyón-Oion,42.505159,-2.435766,435
Peñacerrada-Urizaharra,Álava,Peñacerrada-Urizaharra,42.64356,-2.70796,756
Samaniego,Álava,Samaniego,42.56854,-2.67974,568
San Millán/Donemiliaga,Álava,San Millán/Donemiliaga,42.92552,-2.42733,622
Urkabustaiz,Álava,Urkabustaiz,42.972748,-2.920274,698
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,42.84777,-3.09883,552
Villabuena de Álava/Eskuernaga,Álava,Villabuena de Álava/Eskuernaga,42.54788,-2.66552,482
Vitoria-Gasteiz,Álava,Vitoria-Gasteiz,42.854747,-2.676179,516
Yécora/Iekora,Álava,Yécora/Iekora,42.5681,-2.47038,682
Zalduondo,Álava,Zalduondo,42.884831,-2.349995,606
Zambrana,Álava,Zambrana,42.66102,-2.87909,460
Zigoitia,Álava,Zigoitia,42.97258,-2.72226,640
Zuia,Álava,Zuia,42.98404,-2.830075,650
Abengibre,Albacete,Abengibre,39.209727,-1.541551,647
Alatoz,Albacete,Alatoz,39.09495,-1.36098,856
Albacete,Albacete,Albacete,38.995097,-1.86197,687
Albatana,Albacete,Albatana,38.571977,-1.522897,586
Alborea,Albacete,Alborea,39.278861,-1.394938,706
Alcadozo,Albacete,Alcadozo,38.648845,-1.979948,928
Alcalá del Júcar,Albacete,Alcalá del Júcar,39.2,-1.43333,681
Alcaraz,Albacete,Alcaraz,38.697248,-2.531032,952
Almansa,Albacete,Almansa,38.869442,-1.104684,707
Alpera,Albacete,Alpera,38.95838,-1.231399,856
Ayna,Albacete,Ayna,38.55,-2.08333,669
Balazote,Albacete,Balazote,38.885548,-2.154767,790
Ballestero (El),Albacete,El Ballestero,38.84179,-2.45608,1030
Balsa de Ves,Albacete,Balsa de Ves,39.26667,-1.2,733
Barrax,Albacete,Barrax,39.045505,-2.2014,729
Bienservida,Albacete,Bienservida,38.51716,-2.61087,891
Bogarra,Albacete,Bogarra,38.58139,-2.2129,872
Bonete,Albacete,Bonete,38.871511,-1.348672,898
Bonillo (El),Albacete,El Bonillo,38.950366,-2.539122,1066
Carcelén,Albacete,Carcelén,39.10202,-1.30879,929
Casas de Juan Núñez,Albacete,Casas de Juan Núñez,39.101931,-1.558941,709
Casas de Lázaro,Albacete,Casas de Lázaro,38.77056,-2.24044,945
Casas de Ves,Albacete,Casas de Ves,39.25847,-1.333317,706
Casas-Ibáñez,Albacete,Casas-Ibáñez,39.286062,-1.472436,711
Caudete,Albacete,Caudete,38.704119,-0.982596,538
Cenizate,Albacete,Cenizate,39.302534,-1.662663,715
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,38.920442,-1.724524,906
Corral-Rubio,Albacete,Corral-Rubio,38.83462,-1.46034,873
Cotillas,Albacete,Cotillas,38.43115,-2.5055,928
Elche de la Sierra,Albacete,Elche de la Sierra,38.450066,-2.048251,647
Férez,Albacete,Férez,38.35,-2.0,666
Fuensanta,Albacete,Fuensanta,39.23333,-2.06667,715
Fuente-Álamo,Albacete,Fuente-Álamo,38.692302,-1.431733,821
Fuentealbilla,Albacete,Fuentealbilla,39.268081,-1.550586,666
Gineta (La),Albacete,La Gineta,39.113108,-1.995466,689
Golosalvo,Albacete,Golosalvo,39.23333,-1.63333,715
Hellín,Albacete,Hellín,38.511341,-1.700442,559
Herrera (La),Albacete,La Herrera,38.61931,-1.78428,727
Higueruela,Albacete,Higueruela,38.962437,-1.442711,1012
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,38.9579,-1.55679,936
Jorquera,Albacete,Jorquera,39.16667,-1.51667,659
Letur,Albacete,Letur,38.36626,-2.10206,738
Lezuza,Albacete,Lezuza,38.949114,-2.355022,917
Liétor,Albacete,Liétor,38.542124,-1.954139,673
Madrigueras,Albacete,Madrigueras,39.236245,-1.801448,693
Mahora,Albacete,Mahora,39.212436,-1.725506,667
Masegoso,Albacete,Masegoso,38.716894,-2.319049,1134
Minaya,Albacete,Minaya,39.269856,-2.321385,728
Molinicos,Albacete,Molinicos,38.46717,-2.23939,848
Montalvos,Albacete,Montalvos,39.16667,-2.01667,706
Montealegre del Castillo,Albacete,Montealegre del Castillo,38.788701,-1.326689,808
Motilleja,Albacete,Motilleja,39.179532,-1.791175,682
Munera,Albacete,Munera,39.040675,-2.481521,933
Navas de Jorquera,Albacete,Navas de Jorquera,39.28333,-1.71667,705
Nerpio,Albacete,Nerpio,38.1475,-2.30202,1088
Ontur,Albacete,Ontur,38.614717,-1.496775,664
Ossa de Montiel,Albacete,Ossa de Montiel,38.964586,-2.745895,914
Paterna del Madera,Albacete,Paterna del Madera,38.59751,-2.34421,1115
Peñas de San Pedro,Albacete,Peñas de San Pedro,38.725749,-2.000757,1007
Peñascosa,Albacete,Peñascosa,38.67215,-2.40991,1170
Pétrola,Albacete,Pétrola,38.82628,-1.55662,873
Povedilla,Albacete,Povedilla,38.70022,-2.60212,869
Pozo Cañada,Albacete,Pozo Cañada,38.800099,-1.731457,810
Pozohondo,Albacete,Pozohondo,38.719396,-1.910827,869
Pozo-Lorente,Albacete,Pozo-Lorente,39.076172,-1.506999,774
Pozuelo,Albacete,Pozuelo,38.80989,-2.10101,851
Recueja (La),Albacete,La Recueja,39.18333,-1.48333,539
Riópar,Albacete,Riópar,38.498214,-2.417356,969
Robledo,Albacete,Robledo,38.772166,-2.429938,983
Roda (La),Albacete,La Roda,39.205464,-2.159211,708
Salobre,Albacete,Salobre,38.59297,-2.55038,915
San Pedro,Albacete,San Pedro,38.826557,-2.186231,844
Socovos,Albacete,Socovos,38.333014,-1.985622,739
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,39.263047,-1.913329,715
Tobarra,Albacete,Tobarra,38.592141,-1.690738,640
Valdeganga,Albacete,Valdeganga,39.134507,-1.677173,667
Vianos,Albacete,Vianos,38.63316,-2.50045,1118
Villa de Ves,Albacete,Villa de Ves,39.2,-1.23333,666
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,39.296005,-2.062247,692
Villamalea,Albacete,Villamalea,39.361525,-1.59769,742
Villapalacios,Albacete,Villapalacios,38.578937,-2.632598,821
Villarrobledo,Albacete,Villarrobledo,39.267868,-2.601427,729
Villatoya,Albacete,Villatoya,39.319141,-1.331182,518
Villavaliente,Albacete,Villavaliente,39.12646,-1.45712,728
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,38.45525,-2.51782,799
Viveros,Albacete,Viveros,38.771487,-2.57414,1005
Yeste,Albacete,Yeste,38.367359,-2.319032,914
Agost,Alicante,Agost,38.435937,-0.638589,312
Agres,Alicante,Agres,38.78333,-0.51667,674
Aigües,Alicante,Aigües,38.501351,-0.364025,333
Albatera,Alicante,Albatera,38.180289,-0.872395,26
Alcalalí,Alicante,Alcalalí,38.754724,-0.043421,278
Alcocer de Planes,Alicante,Alcocer de Planes,38.79501,-0.40244,357
Alcoleja,Alicante,Alcoleja,38.66992,-0.32382,789
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,38.701616,-0.476523,540
Alfafara,Alicante,Alfafara,38.77339,-0.55551,582
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,38.566318,-0.104676,63
Algorfa,Alicante,Algorfa,38.084582,-0.796363,27
Algueña,Alicante,Algueña,38.339218,-1.002629,535
Alicante/Alacant,Alicante,Alicante/Alacant,38.360892,-0.486281,56
Almoradí,Alicante,Almoradí,38.110237,-0.792414,20
Almudaina,Alicante,Almudaina,38.75999,-0.35149,592
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar,38.360892,-0.486281,56
Altea,Alicante,Altea,38.596675,-0.055608,50
Aspe,Alicante,Aspe,38.343766,-0.766951,247
Atzúbia (l'),Alicante,L' Atzúbia,38.338892,-0.509477,31
Balones,Alicante,Balones,38.73726,-0.34324,665
Banyeres de Mariola,Alicante,Banyeres de Mariola,38.715255,-0.660488,761
Benasau,Alicante,Benasau,38.69047,-0.34278,706
Beneixama,Alicante,Beneixama,38.701806,-0.765858,598
Benejúzar,Alicante,Benejúzar,38.076894,-0.838707,32
Benferri,Alicante,Benferri,38.144565,-0.963573,52
Beniarbeig,Alicante,Beniarbeig,38.822288,-0.006177,51
Beniardá,Alicante,Beniardá,38.68433,-0.21629,463
Beniarrés,Alicante,Beniarrés,38.820507,-0.378199,392
Benidoleig,Alicante,Benidoleig,38.7919,-0.03162,111
Benidorm,Alicante,Benidorm,38.542305,-0.127103,34
Benifallim,Alicante,Benifallim,38.66259,-0.39994,734
Benifato,Alicante,Benifato,38.67395,-0.2292,658
Benigembla,Alicante,Benigembla,38.75494,-0.10903,317
Benijófar,Alicante,Benijófar,38.062653,-0.745904,18
Benilloba,Alicante,Benilloba,38.70012,-0.38998,529
Benillup,Alicante,Benillup,38.75398,-0.37991,541
Benimantell,Alicante,Benimantell,38.67709,-0.21057,531
Benimarfull,Alicante,Benimarfull,38.7759,-0.39079,419
Benimassot,Alicante,Benimassot,38.75,-0.28333,771
Benimeli,Alicante,Benimeli,38.82362,-0.04221,106
Benissa,Alicante,Benissa,38.715345,0.051209,264
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell,38.724094,0.150938,143
Biar,Alicante,Biar,38.62662,-0.7623,706
Bigastro,Alicante,Bigastro,38.06162,-0.894344,42
Bolulla,Alicante,Bolulla,38.67529,-0.11184,216
Busot,Alicante,Busot,38.464904,-0.432603,204
Callosa de Segura,Alicante,Callosa de Segura,38.126098,-0.875694,22
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,38.64888,-0.123885,218
Calp,Alicante,Calp,38.658408,0.05646,34
Campello (el),Alicante,El Campello,38.428712,-0.400416,32
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra,38.70001,-0.79462,598
Cañada,Alicante,Cañada,38.39711,-0.5831,158
Castalla,Alicante,Castalla,38.599887,-0.667946,652
Castell de Castells,Alicante,Castell de Castells,38.735695,-0.187075,827
Castell de Guadalest (el),Alicante,El Castell de Guadalest,38.6768,-0.19908,557
Catral,Alicante,Catral,38.16056,-0.802149,10
Cocentaina,Alicante,Cocentaina,38.754923,-0.441782,452
Confrides,Alicante,Confrides,38.68451,-0.2689,780
Cox,Alicante,Cox,38.141697,-0.887969,18
Crevillent,Alicante,Crevillent,38.247745,-0.814187,134
Daya Nueva,Alicante,Daya Nueva,38.113322,-0.761471,11
Daya Vieja,Alicante,Daya Vieja,38.1048,-0.73804,7
Dénia,Alicante,Dénia,38.840863,0.103315,13
Dolores,Alicante,Dolores,38.139232,-0.769951,11
Elche/Elx,Alicante,Elche/Elx,38.262084,-0.700594,76
Elda,Alicante,Elda,38.47616,-0.795528,401
Facheca,Alicante,Facheca,38.735,-0.26766,770
Famorca,Alicante,Famorca,38.73101,-0.24726,715
Finestrat,Alicante,Finestrat,38.5671,-0.212203,270
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves,38.308625,-0.851245,361
Formentera del Segura,Alicante,Formentera del Segura,38.084955,-0.745611,11
Gaianes,Alicante,Gaianes,38.8164,-0.40881,437
Gata de Gorgos,Alicante,Gata de Gorgos,38.774048,0.083486,85
Gorga,Alicante,Gorga,38.71896,-0.35589,560
Granja de Rocamora,Alicante,Granja de Rocamora,38.15353,-0.892395,17
Guardamar del Segura,Alicante,Guardamar del Segura,38.090032,-0.658152,46
Hondón de los Frailes,Alicante,Hondón de los Frailes,38.273571,-0.926858,414
Ibi,Alicante,Ibi,38.618356,-0.580273,706
Jacarilla,Alicante,Jacarilla,38.060975,-0.867996,26
Jávea/Xàbia,Alicante,Jávea/Xàbia,38.785694,0.150464,60
Jijona/Xixona,Alicante,Jijona/Xixona,38.532651,-0.506731,421
Llíber,Alicante,Llíber,38.74272,-0.006,180
Lorcha/Orxa (l'),Alicante,L' Lorcha/Orxa,38.360892,-0.486281,56
Millena,Alicante,Millena,38.73082,-0.36274,638
Monforte del Cid,Alicante,Monforte del Cid,38.379799,-0.722666,222
Monóvar/Monòver,Alicante,Monóvar/Monòver,38.436388,-0.840944,395
Montesinos (Los),Alicante,Los Montesinos,38.027433,-0.745376,23
Murla,Alicante,Murla,38.76037,-0.08208,283
Muro de Alcoy,Alicante,Muro de Alcoy,38.780312,-0.440017,412
Mutxamel,Alicante,Mutxamel,38.407895,-0.448889,68
Novelda,Alicante,Novelda,38.385706,-0.768862,249
Nucia (la),Alicante,La Nucia,38.599959,-0.132423,266
Ondara,Alicante,Ondara,38.824783,0.020541,42
Onil,Alicante,Onil,38.628054,-0.675278,693
Orba,Alicante,Orba,38.780068,-0.058304,159
Orihuela,Alicante,Orihuela,38.082111,-0.946934,28
Orxeta,Alicante,Orxeta,38.56397,-0.26299,195
Parcent,Alicante,Parcent,38.7457,-0.064354,285
Pedreguer,Alicante,Pedreguer,38.793927,0.035132,83
Pego,Alicante,Pego,38.841697,-0.115876,70
Penàguila,Alicante,Penàguila,38.68,-0.35845,686
Petrer,Alicante,Petrer,38.484322,-0.779674,437
Pilar de la Horadada,Alicante,Pilar de la Horadada,37.862662,-0.788448,27
Pinós (el)/Pinoso,Alicante,El Pinós/Pinoso,38.400231,-1.043137,570
Planes,Alicante,Planes,38.788175,-0.327363,500
Poblets (els),Alicante,Els Poblets,38.85381,0.02103,11
Polop,Alicante,Polop,38.620263,-0.133733,231
Quatretondeta,Alicante,Quatretondeta,38.72415,-0.31669,631
Rafal,Alicante,Rafal,38.103409,-0.848648,17
Ràfol d'Almúnia (el),Alicante,El Ràfol d'Almúnia,38.8212,-0.05171,89
Redován,Alicante,Redován,38.113556,-0.906116,29
Relleu,Alicante,Relleu,38.588602,-0.310327,456
Rojales,Alicante,Rojales,38.084971,-0.711904,13
Romana (la),Alicante,La Romana,38.36667,-0.9,431
Sagra,Alicante,Sagra,38.817249,-0.068787,218
Salinas,Alicante,Salinas,38.520186,-0.911996,490
San Fulgencio,Alicante,San Fulgencio,38.11362,-0.717969,10
San Isidro,Alicante,San Isidro,38.172481,-0.839029,9
San Miguel de Salinas,Alicante,San Miguel de Salinas,37.97764,-0.789116,82
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,38.360892,-0.486281,56
Sanet y Negrals,Alicante,Sanet y Negrals,38.81967,-0.03406,89
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant,38.400609,-0.434204,45
Santa Pola,Alicante,Santa Pola,38.194063,-0.554262,18
Sax,Alicante,Sax,38.534929,-0.820677,476
Sella,Alicante,Sella,38.808107,0.053144,107
Senija,Alicante,Senija,38.72804,0.04176,235
Tàrbena,Alicante,Tàrbena,38.69413,-0.10141,534
Teulada,Alicante,Teulada,38.729169,0.10546,194
Tibi,Alicante,Tibi,38.53353,-0.576694,551
Tollos,Alicante,Tollos,38.75629,-0.27466,789
Tormos,Alicante,Tormos,38.80143,-0.0716,124
Torremanzanas/Torre de les Maçanes (la),Alicante,La Torremanzanas/Torre de les Maçanes,38.604168,-0.415178,765
Torrevieja,Alicante,Torrevieja,37.985608,-0.673845,24
Vall d'Alcalà (la),Alicante,La Vall d'Alcalà,38.79477,-0.25138,647
Vall de Gallinera,Alicante,Vall de Gallinera,38.82313,-0.2417,322
Vall de Laguar (la),Alicante,La Vall de Laguar,38.781025,-0.124025,223
Vall d'Ebo (la),Alicante,La Vall d'Ebo,38.80561,-0.1589,404
Verger (el),Alicante,El Verger,38.856576,0.013177,11
Villajoyosa/Vila Joiosa (la),Alicante,La Villajoyosa/Vila Joiosa,38.508793,-0.231359,36
Villena,Alicante,Villena,38.634512,-0.864459,527
Xaló,Alicante,Xaló,38.739807,-0.01167,200
Abla,Almería,Abla,37.141895,-2.778084,874
Abrucena,Almería,Abrucena,37.133457,-2.796909,954
Adra,Almería,Adra,36.748564,-3.017817,16
Albanchez,Almería,Albanchez,37.28361,-2.18229,491
Alboloduy,Almería,Alboloduy,37.03346,-2.62164,383
Albox,Almería,Albox,37.390608,-2.14149,440
Alcolea,Almería,Alcolea,36.97458,-2.9615,744
Alcóntar,Almería,Alcóntar,37.257894,-2.606439,1588
Alcudia de Monteagud,Almería,Alcudia de Monteagud,37.23529,-2.2665,1037
Alhabia,Almería,Alhabia,36.99003,-2.58655,302
Alhama de Almería,Almería,Alhama de Almería,36.957334,-2.568298,513
Alicún,Almería,Alicún,36.9658,-2.60212,435
Almería,Almería,Almería,36.844845,-2.456009,31
Almócita,Almería,Almócita,37.00262,-2.79051,841
Alsodux,Almería,Alsodux,37.00246,-2.59476,317
Antas,Almería,Antas,37.251074,-1.912721,109
Arboleas,Almería,Arboleas,37.351749,-2.07427,286
Armuña de Almanzora,Almería,Armuña de Almanzora,37.3503,-2.4115,605
Bacares,Almería,Bacares,37.25984,-2.45308,1235
Balanegra,Almería,Balanegra,36.748857,-2.913608,5
Bayárcal,Almería,Bayárcal,37.03073,-2.99606,1229
Bayarque,Almería,Bayarque,37.33062,-2.4361,809
Bédar,Almería,Bédar,37.19389,-1.98166,394
Beires,Almería,Beires,37.01237,-2.79134,908
Benahadux,Almería,Benahadux,36.927292,-2.460343,132
Benitagla,Almería,Benitagla,37.23138,-2.23935,960
Benizalón,Almería,Benizalón,37.21213,-2.2418,938
Bentarique,Almería,Bentarique,36.98823,-2.61991,326
Berja,Almería,Berja,36.844738,-2.94636,335
Canjáyar,Almería,Canjáyar,37.00985,-2.740139,616
Cantoria,Almería,Cantoria,37.351722,-2.193388,380
Carboneras,Almería,Carboneras,36.999559,-1.893074,10
Castro de Filabres,Almería,Castro de Filabres,37.18484,-2.44024,962
Chercos,Almería,Chercos,37.2545,-2.26657,886
Chirivel,Almería,Chirivel,37.596309,-2.271043,1058
Cóbdar,Almería,Cóbdar,37.26166,-2.21098,629
Cuevas del Almanzora,Almería,Cuevas del Almanzora,37.295319,-1.877738,81
Dalías,Almería,Dalías,36.820318,-2.87108,407
Ejido (El),Almería,El Ejido,36.773918,-2.814736,85
Enix,Almería,Enix,36.87732,-2.6018,712
Felix,Almería,Felix,36.86911,-2.65845,836
Fines,Almería,Fines,37.363771,-2.267433,458
Fiñana,Almería,Fiñana,37.169512,-2.839102,927
Fondón,Almería,Fondón,36.9802,-2.85957,847
Gádor,Almería,Gádor,36.952951,-2.491341,161
Gallardos (Los),Almería,Los Gallardos,37.168106,-1.940568,115
Garrucha,Almería,Garrucha,37.182789,-1.820321,-3
Gérgal,Almería,Gérgal,37.11886,-2.54012,771
Huécija,Almería,Huécija,36.96804,-2.6094,416
Huércal de Almería,Almería,Huércal de Almería,36.880862,-2.441678,88
Huércal-Overa,Almería,Huércal-Overa,37.395639,-1.945354,285
Íllar,Almería,Íllar,36.98562,-2.63871,413
Instinción,Almería,Instinción,36.99344,-2.66046,440
Laroya,Almería,Laroya,37.29771,-2.33419,976
Láujar de Andarax,Almería,Láujar de Andarax,36.99416,-2.893955,936
Líjar,Almería,Líjar,37.29492,-2.21937,586
Lubrín,Almería,Lubrín,37.21538,-2.06678,520
Lucainena de las Torres,Almería,Lucainena de las Torres,37.04038,-2.20095,553
Lúcar,Almería,Lúcar,37.40035,-2.42496,895
Macael,Almería,Macael,37.335906,-2.290791,565
María,Almería,María,37.710788,-2.164725,1197
Mojácar,Almería,Mojácar,37.120291,-1.837481,23
Mojonera (La),Almería,La Mojonera,36.752832,-2.681988,41
Nacimiento,Almería,Nacimiento,37.10615,-2.64846,590
Níjar,Almería,Níjar,36.964012,-2.207395,330
Ohanes,Almería,Ohanes,37.03861,-2.74524,987
Olula de Castro,Almería,Olula de Castro,37.17475,-2.4743,973
Olula del Río,Almería,Olula del Río,37.353887,-2.29565,469
Oria,Almería,Oria,37.48397,-2.295461,1043
Padules,Almería,Padules,36.977131,-2.764865,883
Partaloa,Almería,Partaloa,37.40764,-2.22526,553
Paterna del Río,Almería,Paterna del Río,37.02222,-2.95343,1203
Pechina,Almería,Pechina,37.34612,-2.57895,893
Pulpí,Almería,Pulpí,37.41134,-1.746038,193
Purchena,Almería,Purchena,37.34761,-2.361655,555
Rágol,Almería,Rágol,36.99523,-2.68178,423
Rioja,Almería,Rioja,36.943298,-2.462973,126
Roquetas de Mar,Almería,Roquetas de Mar,36.766784,-2.610328,3
Santa Cruz de Marchena,Almería,Santa Cruz de Marchena,37.01736,-2.60337,337
Santa Fe de Mondújar,Almería,Santa Fe de Mondújar,36.97479,-2.53126,230
Senés,Almería,Senés,37.20367,-2.34631,979
Serón,Almería,Serón,37.343094,-2.510717,850
Sierro,Almería,Sierro,37.32237,-2.39844,754
Somontín,Almería,Somontín,37.39176,-2.38828,837
Sorbas,Almería,Sorbas,37.098392,-2.123837,409
Suflí,Almería,Suflí,37.33866,-2.38817,632
Tabernas,Almería,Tabernas,37.052305,-2.392007,436
Taberno,Almería,Taberno,37.4688,-2.07736,716
Tahal,Almería,Tahal,37.22797,-2.2847,1005
Terque,Almería,Terque,36.98393,-2.59679,292
Tíjola,Almería,Tíjola,37.34643,-2.433715,679
Tres Villas (Las),Almería,Las Tres Villas,37.158261,-2.715906,853
Turre,Almería,Turre,37.152363,-1.894506,51
Turrillas,Almería,Turrillas,37.02948,-2.26607,826
Uleila del Campo,Almería,Uleila del Campo,37.1846,-2.20491,613
Urrácal,Almería,Urrácal,37.3974,-2.36485,742
Velefique,Almería,Velefique,37.19407,-2.40155,920
Vélez-Blanco,Almería,Vélez-Blanco,37.692512,-2.095392,1053
Vélez-Rubio,Almería,Vélez-Rubio,37.647982,-2.075089,837
Vera,Almería,Vera,37.246352,-1.868843,107
Viator,Almería,Viator,36.882156,-2.417627,87
Vícar,Almería,Vícar,36.80006,-2.647875,107
Zurgena,Almería,Zurgena,37.34218,-2.03985,245
Adanero,Ávila,Adanero,40.94487,-4.60561,908
Adrada (La),Ávila,La Adrada,40.30084,-4.635961,628
Albornos,Ávila,Albornos,40.83795,-4.88129,910
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,40.38189,-5.42142,1156
Aldeaseca,Ávila,Aldeaseca,41.04912,-4.81707,860
Aldehuela (La),Ávila,La Aldehuela,40.41092,-5.40983,1081
Amavida,Ávila,Amavida,40.57371,-5.06541,1183
Arenal (El),Ávila,El Arenal,40.265205,-5.086847,897
Arenas de San Pedro,Ávila,Arenas de San Pedro,40.211957,-5.085076,537
Arevalillo,Ávila,Arevalillo,40.588392,-5.371343,1149
Arévalo,Ávila,Arévalo,41.062326,-4.720047,828
Aveinte,Ávila,Aveinte,40.78227,-4.83649,996
Avellaneda,Ávila,Avellaneda,40.38909,-5.38811,1347
Ávila,Ávila,Ávila,40.646709,-4.701896,1065
Barco de Ávila (El),Ávila,El Barco de Ávila,40.357166,-5.521441,1024
Barraco (El),Ávila,El Barraco,40.477362,-4.645228,1028
Barromán,Ávila,Barromán,41.06536,-4.93066,795
Becedas,Ávila,Becedas,40.40369,-5.63577,1109
Becedillas,Ávila,Becedillas,40.53821,-5.32561,1073
Bercial de Zapardiel,Ávila,Bercial de Zapardiel,41.04675,-4.9691,807
Berlanas (Las),Ávila,Las Berlanas,40.800813,-4.76019,948
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel,40.9757,-4.94468,865
Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona,40.69436,-4.59474,1091
Blascomillán,Ávila,Blascomillán,40.80146,-5.08703,951
Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras,41.12368,-4.98983,784
Blascosancho,Ávila,Blascosancho,40.87744,-4.63743,905
Bohodón (El),Ávila,El Bohodón,40.91612,-4.73,884
Bohoyo,Ávila,Bohoyo,40.31584,-5.44294,1147
Bonilla de la Sierra,Ávila,Bonilla de la Sierra,40.53063,-5.26452,1080
Brabos,Ávila,Brabos,40.77846,-4.93934,983
Bularros,Ávila,Bularros,40.72808,-4.82914,1158
Burgohondo,Ávila,Burgohondo,40.414016,-4.785867,842
Cabezas de Alambre,Ávila,Cabezas de Alambre,40.94218,-4.84184,896
Cabezas del Pozo,Ávila,Cabezas del Pozo,41.00139,-4.95454,845
Cabezas del Villar,Ávila,Cabezas del Villar,40.715103,-5.210077,1047
Cabizuela,Ávila,Cabizuela,40.9009,-4.80212,887
Canales,Ávila,Canales,40.667503,-4.663682,1180
Candeleda,Ávila,Candeleda,40.154493,-5.241504,432
Cantiveros,Ávila,Cantiveros,40.95216,-4.95455,877
Cardeñosa,Ávila,Cardeñosa,40.7424,-4.74579,1107
Carrera (La),Ávila,La Carrera,40.45594,-5.42654,1016
Casas del Puerto,Ávila,Casas del Puerto,40.531848,-5.180026,1223
Casasola,Ávila,Casasola,40.665588,-4.820289,1305
Casavieja,Ávila,Casavieja,40.280552,-4.765836,546
Casillas,Ávila,Casillas,40.3261,-4.57182,1061
Castellanos de Zapardiel,Ávila,Castellanos de Zapardiel,41.0845,-4.90984,787
Cebreros,Ávila,Cebreros,40.45523,-4.463885,764
Cepeda la Mora,Ávila,Cepeda la Mora,40.4578,-5.04833,1498
Chamartín,Ávila,Chamartín,40.70267,-4.95769,1188
Cillán,Ávila,Cillán,40.70675,-4.98135,1191
