municipio,provincia,municipio_nombre_humano,lat,lon,kms_capital_provincia
Fuente-Álamo,Albacete,Fuente-Álamo,38.692302,-1.431733,65.45639700000001
Fuentealbilla,Albacete,Fuentealbilla,39.268081,-1.550586,45.192902000000004
Gineta (La),Albacete,La Gineta,39.113108,-1.995466,19.960517
Golosalvo,Albacete,Golosalvo,39.23333,-1.63333,37.218337
Hellín,Albacete,Hellín,38.511341,-1.700442,64.554714
Herrera (La),Albacete,La Herrera,38.61931,-1.78428,64.490926
Higueruela,Albacete,Higueruela,38.962437,-1.442711,46.002408
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,38.9579,-1.55679,33.254934
Jorquera,Albacete,Jorquera,39.16667,-1.51667,39.278717
Letur,Albacete,Letur,38.36626,-2.10206,114.368084
Lezuza,Albacete,Lezuza,38.949114,-2.355022,50.035364
Liétor,Albacete,Liétor,38.542124,-1.954139,88.904924
Madrigueras,Albacete,Madrigueras,39.236245,-1.801448,35.607784
Mahora,Albacete,Mahora,39.212436,-1.725506,28.675328
Masegoso,Albacete,Masegoso,38.716894,-2.319049,70.59989999999999
Minaya,Albacete,Minaya,39.269856,-2.321385,54.785845
Molinicos,Albacete,Molinicos,38.46717,-2.23939,119.616191
Montalvos,Albacete,Montalvos,39.16667,-2.01667,29.738688
Montealegre del Castillo,Albacete,Montealegre del Castillo,38.788701,-1.326689,60.754276
Motilleja,Albacete,Motilleja,39.179532,-1.791175,25.996073
Munera,Albacete,Munera,39.040675,-2.481521,56.600962
Navas de Jorquera,Albacete,Navas de Jorquera,39.28333,-1.71667,37.258532
Nerpio,Albacete,Nerpio,38.1475,-2.30202,185.218769
Ontur,Albacete,Ontur,38.614717,-1.496775,69.611688
Ossa de Montiel,Albacete,Ossa de Montiel,38.964586,-2.745895,82.046345
Paterna del Madera,Albacete,Paterna del Madera,38.59751,-2.34421,111.184563
Peñas de San Pedro,Albacete,Peñas de San Pedro,38.725749,-2.000757,33.952423
Peñascosa,Albacete,Peñascosa,38.67215,-2.40991,84.223913
Pétrola,Albacete,Pétrola,38.82628,-1.55662,35.036026
Povedilla,Albacete,Povedilla,38.70022,-2.60212,89.99697400000001
Pozo Cañada,Albacete,Pozo Cañada,38.800099,-1.731457,28.343476
Pozohondo,Albacete,Pozohondo,38.719396,-1.910827,46.026
Pozo-Lorente,Albacete,Pozo-Lorente,39.076172,-1.506999,35.715429
Pozuelo,Albacete,Pozuelo,38.80989,-2.10101,43.967442000000005
Recueja (La),Albacete,La Recueja,39.18333,-1.48333,47.936276
Riópar,Albacete,Riópar,38.498214,-2.417356,116.683166
Robledo,Albacete,Robledo,38.772166,-2.429938,70.535912
Roda (La),Albacete,La Roda,39.205464,-2.159211,40.493313
Salobre,Albacete,Salobre,38.59297,-2.55038,94.817561
San Pedro,Albacete,San Pedro,38.826557,-2.186231,37.937074
Socovos,Albacete,Socovos,38.333014,-1.985622,103.52237
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,39.263047,-1.913329,39.643184
Tobarra,Albacete,Tobarra,38.592141,-1.690738,54.617163999999995
Valdeganga,Albacete,Valdeganga,39.134507,-1.677173,28.519869999999997
Vianos,Albacete,Vianos,38.63316,-2.50045,88.971719
Villa de Ves,Albacete,Villa de Ves,39.2,-1.23333,69.743765
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,39.296005,-2.062247,52.70493
Villamalea,Albacete,Villamalea,39.361525,-1.59769,52.174663
Villapalacios,Albacete,Villapalacios,38.578937,-2.632598,97.98597
Villarrobledo,Albacete,Villarrobledo,39.267868,-2.601427,88.100352
Villatoya,Albacete,Villatoya,39.319141,-1.331182,71.006262
Villavaliente,Albacete,Villavaliente,39.12646,-1.45712,40.883475
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,38.45525,-2.51782,125.419197
Viveros,Albacete,Viveros,38.771487,-2.57414,77.75264800000001
Yeste,Albacete,Yeste,38.367359,-2.319032,133.026006
