municipio,provincia,municipio_nombre_humano,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia
Higueruela,Albacete,Higueruela,58.07,12.41,50.86,532
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,58.07,12.41,50.86,532
Jorquera,Albacete,Jorquera,58.07,12.41,50.86,532
Letur,Albacete,Letur,58.07,12.41,50.86,532
Lezuza,Albacete,Lezuza,58.07,12.41,50.86,532
Liétor,Albacete,Liétor,58.07,12.41,50.86,532
Madrigueras,Albacete,Madrigueras,58.07,12.41,50.86,532
Mahora,Albacete,Mahora,58.07,12.41,50.86,532
Masegoso,Albacete,Masegoso,58.07,12.41,50.86,532
Minaya,Albacete,Minaya,58.07,12.41,50.86,532
Molinicos,Albacete,Molinicos,58.07,12.41,50.86,532
Montalvos,Albacete,Montalvos,58.07,12.41,50.86,532
Montealegre del Castillo,Albacete,Montealegre del Castillo,58.07,12.41,50.86,532
Motilleja,Albacete,Motilleja,58.07,12.41,50.86,532
Munera,Albacete,Munera,58.07,12.41,50.86,532
Navas de Jorquera,Albacete,Navas de Jorquera,58.07,12.41,50.86,532
Nerpio,Albacete,Nerpio,58.07,12.41,50.86,532
Ontur,Albacete,Ontur,58.07,12.41,50.86,532
Ossa de Montiel,Albacete,Ossa de Montiel,58.07,12.41,50.86,532
Paterna del Madera,Albacete,Paterna del Madera,58.07,12.41,50.86,532
Peñas de San Pedro,Albacete,Peñas de San Pedro,58.07,12.41,50.86,532
Peñascosa,Albacete,Peñascosa,58.07,12.41,50.86,532
Pétrola,Albacete,Pétrola,58.07,12.41,50.86,532
Povedilla,Albacete,Povedilla,58.07,12.41,50.86,532
Pozo Cañada,Albacete,Pozo Cañada,58.07,12.41,50.86,532
Pozohondo,Albacete,Pozohondo,58.07,12.41,50.86,532
Pozo-Lorente,Albacete,Pozo-Lorente,58.07,12.41,50.86,532
Pozuelo,Albacete,Pozuelo,58.07,12.41,50.86,532
Recueja (La),Albacete,La Recueja,58.07,12.41,50.86,532
Riópar,Albacete,Riópar,58.07,12.41,50.86,532
Robledo,Albacete,Robledo,58.07,12.41,50.86,532
Roda (La),Albacete,La Roda,58.07,12.41,50.86,532
Salobre,Albacete,Salobre,58.07,12.41,50.86,532
San Pedro,Albacete,San Pedro,58.07,12.41,50.86,532
Socovos,Albacete,Socovos,58.07,12.41,50.86,532
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,58.07,12.41,50.86,532
Tobarra,Albacete,Tobarra,58.07,12.41,50.86,532
Valdeganga,Albacete,Valdeganga,58.07,12.41,50.86,532
Vianos,Albacete,Vianos,58.07,12.41,50.86,532
Villa de Ves,Albacete,Villa de Ves,58.07,12.41,50.86,532
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,58.07,12.41,50.86,532
Villamalea,Albacete,Villamalea,58.07,12.41,50.86,532
Villapalacios,Albacete,Villapalacios,58.07,12.41,50.86,532
Villarrobledo,Albacete,Villarrobledo,58.07,12.41,50.86,532
Villatoya,Albacete,Villatoya,58.07,12.41,50.86,532
Villavaliente,Albacete,Villavaliente,58.07,12.41,50.86,532
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,58.07,12.41,50.86,532
Viveros,Albacete,Viveros,58.07,12.41,50.86,532
Yeste,Albacete,Yeste,58.07,12.41,50.86,532
Agost,Alicante,Agost,57.08,14.13,49.01,1773
Agres,Alicante,Agres,57.08,14.13,49.01,1773
Aigües,Alicante,Aigües,57.08,14.13,49.01,1773
Albatera,Alicante,Albatera,57.08,14.13,49.01,1773
Alcalalí,Alicante,Alcalalí,57.08,14.13,49.01,1773
Alcocer de Planes,Alicante,Alcocer de Planes,57.08,14.13,49.01,1773
Alcoleja,Alicante,Alcoleja,57.08,14.13,49.01,1773
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,57.08,14.13,49.01,1773
Alfafara,Alicante,Alfafara,57.08,14.13,49.01,1773
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,57.08,14.13,49.01,1773
Algorfa,Alicante,Algorfa,57.08,14.13,49.01,1773
Algueña,Alicante,Algueña,57.08,14.13,49.01,1773
Alicante/Alacant,Alicante,Alicante/Alacant,57.08,14.13,49.01,1773
Almoradí,Alicante,Almoradí,57.08,14.13,49.01,1773
Almudaina,Alicante,Almudaina,57.08,14.13,49.01,1773
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar,57.08,14.13,49.01,1773
Altea,Alicante,Altea,57.08,14.13,49.01,1773
Aspe,Alicante,Aspe,57.08,14.13,49.01,1773
Atzúbia (l'),Alicante,L' Atzúbia,57.08,14.13,49.01,1773
Balones,Alicante,Balones,57.08,14.13,49.01,1773
Banyeres de Mariola,Alicante,Banyeres de Mariola,57.08,14.13,49.01,1773
Benasau,Alicante,Benasau,57.08,14.13,49.01,1773
Beneixama,Alicante,Beneixama,57.08,14.13,49.01,1773
Benejúzar,Alicante,Benejúzar,57.08,14.13,49.01,1773
Benferri,Alicante,Benferri,57.08,14.13,49.01,1773
Beniarbeig,Alicante,Beniarbeig,57.08,14.13,49.01,1773
Beniardá,Alicante,Beniardá,57.08,14.13,49.01,1773
Beniarrés,Alicante,Beniarrés,57.08,14.13,49.01,1773
Benidoleig,Alicante,Benidoleig,57.08,14.13,49.01,1773
Benidorm,Alicante,Benidorm,57.08,14.13,49.01,1773
Benifallim,Alicante,Benifallim,57.08,14.13,49.01,1773
Benifato,Alicante,Benifato,57.08,14.13,49.01,1773
Benigembla,Alicante,Benigembla,57.08,14.13,49.01,1773
Benijófar,Alicante,Benijófar,57.08,14.13,49.01,1773
Benilloba,Alicante,Benilloba,57.08,14.13,49.01,1773
Benillup,Alicante,Benillup,57.08,14.13,49.01,1773
Benimantell,Alicante,Benimantell,57.08,14.13,49.01,1773
Benimarfull,Alicante,Benimarfull,57.08,14.13,49.01,1773
Benimassot,Alicante,Benimassot,57.08,14.13,49.01,1773
Benimeli,Alicante,Benimeli,57.08,14.13,49.01,1773
Benissa,Alicante,Benissa,57.08,14.13,49.01,1773
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell,57.08,14.13,49.01,1773
Biar,Alicante,Biar,57.08,14.13,49.01,1773
Bigastro,Alicante,Bigastro,57.08,14.13,49.01,1773
Bolulla,Alicante,Bolulla,57.08,14.13,49.01,1773
Busot,Alicante,Busot,57.08,14.13,49.01,1773
Callosa de Segura,Alicante,Callosa de Segura,57.08,14.13,49.01,1773
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,57.08,14.13,49.01,1773
Calp,Alicante,Calp,57.08,14.13,49.01,1773
Campello (el),Alicante,El Campello,57.08,14.13,49.01,1773
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra,57.08,14.13,49.01,1773
Cañada,Alicante,Cañada,57.08,14.13,49.01,1773
Castalla,Alicante,Castalla,57.08,14.13,49.01,1773
Castell de Castells,Alicante,Castell de Castells,57.08,14.13,49.01,1773
Castell de Guadalest (el),Alicante,El Castell de Guadalest,57.08,14.13,49.01,1773
Catral,Alicante,Catral,57.08,14.13,49.01,1773
Cocentaina,Alicante,Cocentaina,57.08,14.13,49.01,1773
Confrides,Alicante,Confrides,57.08,14.13,49.01,1773
Cox,Alicante,Cox,57.08,14.13,49.01,1773
Crevillent,Alicante,Crevillent,57.08,14.13,49.01,1773
Daya Nueva,Alicante,Daya Nueva,57.08,14.13,49.01,1773
Daya Vieja,Alicante,Daya Vieja,57.08,14.13,49.01,1773
Dénia,Alicante,Dénia,57.08,14.13,49.01,1773
Dolores,Alicante,Dolores,57.08,14.13,49.01,1773
Elche/Elx,Alicante,Elche/Elx,57.08,14.13,49.01,1773
Elda,Alicante,Elda,57.08,14.13,49.01,1773
Facheca,Alicante,Facheca,57.08,14.13,49.01,1773
Famorca,Alicante,Famorca,57.08,14.13,49.01,1773
Finestrat,Alicante,Finestrat,57.08,14.13,49.01,1773
Fondó de les Neus (el)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves,57.08,14.13,49.01,1773
Formentera del Segura,Alicante,Formentera del Segura,57.08,14.13,49.01,1773
Gaianes,Alicante,Gaianes,57.08,14.13,49.01,1773
Gata de Gorgos,Alicante,Gata de Gorgos,57.08,14.13,49.01,1773
Gorga,Alicante,Gorga,57.08,14.13,49.01,1773
Granja de Rocamora,Alicante,Granja de Rocamora,57.08,14.13,49.01,1773
Guardamar del Segura,Alicante,Guardamar del Segura,57.08,14.13,49.01,1773
Hondón de los Frailes,Alicante,Hondón de los Frailes,57.08,14.13,49.01,1773
Ibi,Alicante,Ibi,57.08,14.13,49.01,1773
Jacarilla,Alicante,Jacarilla,57.08,14.13,49.01,1773
Jávea/Xàbia,Alicante,Jávea/Xàbia,57.08,14.13,49.01,1773
Jijona/Xixona,Alicante,Jijona/Xixona,57.08,14.13,49.01,1773
Llíber,Alicante,Llíber,57.08,14.13,49.01,1773
Lorcha/Orxa (l'),Alicante,L' Lorcha/Orxa,57.08,14.13,49.01,1773
Millena,Alicante,Millena,57.08,14.13,49.01,1773
Monforte del Cid,Alicante,Monforte del Cid,57.08,14.13,49.01,1773
Monóvar/Monòver,Alicante,Monóvar/Monòver,57.08,14.13,49.01,1773
Montesinos (Los),Alicante,Los Montesinos,57.08,14.13,49.01,1773
Murla,Alicante,Murla,57.08,14.13,49.01,1773
Muro de Alcoy,Alicante,Muro de Alcoy,57.08,14.13,49.01,1773
Mutxamel,Alicante,Mutxamel,57.08,14.13,49.01,1773
Novelda,Alicante,Novelda,57.08,14.13,49.01,1773
Nucia (la),Alicante,La Nucia,57.08,14.13,49.01,1773
Ondara,Alicante,Ondara,57.08,14.13,49.01,1773
Onil,Alicante,Onil,57.08,14.13,49.01,1773
Orba,Alicante,Orba,57.08,14.13,49.01,1773
Orihuela,Alicante,Orihuela,57.08,14.13,49.01,1773
Orxeta,Alicante,Orxeta,57.08,14.13,49.01,1773
Parcent,Alicante,Parcent,57.08,14.13,49.01,1773
Pedreguer,Alicante,Pedreguer,57.08,14.13,49.01,1773
Pego,Alicante,Pego,57.08,14.13,49.01,1773
Penàguila,Alicante,Penàguila,57.08,14.13,49.01,1773
Petrer,Alicante,Petrer,57.08,14.13,49.01,1773
Pilar de la Horadada,Alicante,Pilar de la Horadada,57.08,14.13,49.01,1773
Pinós (el)/Pinoso,Alicante,El Pinós/Pinoso,57.08,14.13,49.01,1773
Planes,Alicante,Planes,57.08,14.13,49.01,1773
Poblets (els),Alicante,Els Poblets,57.08,14.13,49.01,1773
Polop,Alicante,Polop,57.08,14.13,49.01,1773
Quatretondeta,Alicante,Quatretondeta,57.08,14.13,49.01,1773
Rafal,Alicante,Rafal,57.08,14.13,49.01,1773
Ràfol d'Almúnia (el),Alicante,El Ràfol d'Almúnia,57.08,14.13,49.01,1773
Redován,Alicante,Redován,57.08,14.13,49.01,1773
Relleu,Alicante,Relleu,57.08,14.13,49.01,1773
Rojales,Alicante,Rojales,57.08,14.13,49.01,1773
Romana (la),Alicante,La Romana,57.08,14.13,49.01,1773
Sagra,Alicante,Sagra,57.08,14.13,49.01,1773
Salinas,Alicante,Salinas,57.08,14.13,49.01,1773
San Fulgencio,Alicante,San Fulgencio,57.08,14.13,49.01,1773
San Isidro,Alicante,San Isidro,57.08,14.13,49.01,1773
San Miguel de Salinas,Alicante,San Miguel de Salinas,57.08,14.13,49.01,1773
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,57.08,14.13,49.01,1773
Sanet y Negrals,Alicante,Sanet y Negrals,57.08,14.13,49.01,1773
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant,57.08,14.13,49.01,1773
Santa Pola,Alicante,Santa Pola,57.08,14.13,49.01,1773
Sax,Alicante,Sax,57.08,14.13,49.01,1773
Sella,Alicante,Sella,57.08,14.13,49.01,1773
Senija,Alicante,Senija,57.08,14.13,49.01,1773
Tàrbena,Alicante,Tàrbena,57.08,14.13,49.01,1773
Teulada,Alicante,Teulada,57.08,14.13,49.01,1773
Tibi,Alicante,Tibi,57.08,14.13,49.01,1773
Tollos,Alicante,Tollos,57.08,14.13,49.01,1773
Tormos,Alicante,Tormos,57.08,14.13,49.01,1773
Torremanzanas/Torre de les Maçanes (la),Alicante,La Torremanzanas/Torre de les Maçanes,57.08,14.13,49.01,1773
Torrevieja,Alicante,Torrevieja,57.08,14.13,49.01,1773
Vall d'Alcalà (la),Alicante,La Vall d'Alcalà,57.08,14.13,49.01,1773
Vall de Gallinera,Alicante,Vall de Gallinera,57.08,14.13,49.01,1773
Vall de Laguar (la),Alicante,La Vall de Laguar,57.08,14.13,49.01,1773
Vall d'Ebo (la),Alicante,La Vall d'Ebo,57.08,14.13,49.01,1773
Verger (el),Alicante,El Verger,57.08,14.13,49.01,1773
Villajoyosa/Vila Joiosa (la),Alicante,La Villajoyosa/Vila Joiosa,57.08,14.13,49.01,1773
Villena,Alicante,Villena,57.08,14.13,49.01,1773
Xaló,Alicante,Xaló,57.08,14.13,49.01,1773
Abla,Almería,Abla,61.31,15.39,51.87,655
Abrucena,Almería,Abrucena,61.31,15.39,51.87,655
Adra,Almería,Adra,61.31,15.39,51.87,655
Albanchez,Almería,Albanchez,61.31,15.39,51.87,655
Alboloduy,Almería,Alboloduy,61.31,15.39,51.87,655
Albox,Almería,Albox,61.31,15.39,51.87,655
Alcolea,Almería,Alcolea,61.31,15.39,51.87,655
Alcóntar,Almería,Alcóntar,61.31,15.39,51.87,655
Alcudia de Monteagud,Almería,Alcudia de Monteagud,61.31,15.39,51.87,655
Alhabia,Almería,Alhabia,61.31,15.39,51.87,655
Alhama de Almería,Almería,Alhama de Almería,61.31,15.39,51.87,655
Alicún,Almería,Alicún,61.31,15.39,51.87,655
Almería,Almería,Almería,61.31,15.39,51.87,655
Almócita,Almería,Almócita,61.31,15.39,51.87,655
Alsodux,Almería,Alsodux,61.31,15.39,51.87,655
Antas,Almería,Antas,61.31,15.39,51.87,655
Arboleas,Almería,Arboleas,61.31,15.39,51.87,655
Armuña de Almanzora,Almería,Armuña de Almanzora,61.31,15.39,51.87,655
Bacares,Almería,Bacares,61.31,15.39,51.87,655
Balanegra,Almería,Balanegra,61.31,15.39,51.87,655
Bayárcal,Almería,Bayárcal,61.31,15.39,51.87,655
Bayarque,Almería,Bayarque,61.31,15.39,51.87,655
Bédar,Almería,Bédar,61.31,15.39,51.87,655
Beires,Almería,Beires,61.31,15.39,51.87,655
Benahadux,Almería,Benahadux,61.31,15.39,51.87,655
Benitagla,Almería,Benitagla,61.31,15.39,51.87,655
Benizalón,Almería,Benizalón,61.31,15.39,51.87,655
Bentarique,Almería,Bentarique,61.31,15.39,51.87,655
Berja,Almería,Berja,61.31,15.39,51.87,655
Canjáyar,Almería,Canjáyar,61.31,15.39,51.87,655
Cantoria,Almería,Cantoria,61.31,15.39,51.87,655
Carboneras,Almería,Carboneras,61.31,15.39,51.87,655
Castro de Filabres,Almería,Castro de Filabres,61.31,15.39,51.87,655
Chercos,Almería,Chercos,61.31,15.39,51.87,655
Chirivel,Almería,Chirivel,61.31,15.39,51.87,655
Cóbdar,Almería,Cóbdar,61.31,15.39,51.87,655
Cuevas del Almanzora,Almería,Cuevas del Almanzora,61.31,15.39,51.87,655
Dalías,Almería,Dalías,61.31,15.39,51.87,655
Ejido (El),Almería,El Ejido,61.31,15.39,51.87,655
Enix,Almería,Enix,61.31,15.39,51.87,655
Felix,Almería,Felix,61.31,15.39,51.87,655
Fines,Almería,Fines,61.31,15.39,51.87,655
Fiñana,Almería,Fiñana,61.31,15.39,51.87,655
Fondón,Almería,Fondón,61.31,15.39,51.87,655
Gádor,Almería,Gádor,61.31,15.39,51.87,655
Gallardos (Los),Almería,Los Gallardos,61.31,15.39,51.87,655
Garrucha,Almería,Garrucha,61.31,15.39,51.87,655
Gérgal,Almería,Gérgal,61.31,15.39,51.87,655
Huécija,Almería,Huécija,61.31,15.39,51.87,655
Huércal de Almería,Almería,Huércal de Almería,61.31,15.39,51.87,655
Huércal-Overa,Almería,Huércal-Overa,61.31,15.39,51.87,655
Íllar,Almería,Íllar,61.31,15.39,51.87,655
Instinción,Almería,Instinción,61.31,15.39,51.87,655
Laroya,Almería,Laroya,61.31,15.39,51.87,655
Láujar de Andarax,Almería,Láujar de Andarax,61.31,15.39,51.87,655
Líjar,Almería,Líjar,61.31,15.39,51.87,655
Lubrín,Almería,Lubrín,61.31,15.39,51.87,655
Lucainena de las Torres,Almería,Lucainena de las Torres,61.31,15.39,51.87,655
Lúcar,Almería,Lúcar,61.31,15.39,51.87,655
Macael,Almería,Macael,61.31,15.39,51.87,655
María,Almería,María,61.31,15.39,51.87,655
Mojácar,Almería,Mojácar,61.31,15.39,51.87,655
Mojonera (La),Almería,La Mojonera,61.31,15.39,51.87,655
Nacimiento,Almería,Nacimiento,61.31,15.39,51.87,655
Níjar,Almería,Níjar,61.31,15.39,51.87,655
Ohanes,Almería,Ohanes,61.31,15.39,51.87,655
Olula de Castro,Almería,Olula de Castro,61.31,15.39,51.87,655
Olula del Río,Almería,Olula del Río,61.31,15.39,51.87,655
Oria,Almería,Oria,61.31,15.39,51.87,655
Padules,Almería,Padules,61.31,15.39,51.87,655
Partaloa,Almería,Partaloa,61.31,15.39,51.87,655
Paterna del Río,Almería,Paterna del Río,61.31,15.39,51.87,655
Pechina,Almería,Pechina,61.31,15.39,51.87,655
Pulpí,Almería,Pulpí,61.31,15.39,51.87,655
Purchena,Almería,Purchena,61.31,15.39,51.87,655
Rágol,Almería,Rágol,61.31,15.39,51.87,655
Rioja,Almería,Rioja,61.31,15.39,51.87,655
Roquetas de Mar,Almería,Roquetas de Mar,61.31,15.39,51.87,655
Santa Cruz de Marchena,Almería,Santa Cruz de Marchena,61.31,15.39,51.87,655
Santa Fe de Mondújar,Almería,Santa Fe de Mondújar,61.31,15.39,51.87,655
Senés,Almería,Senés,61.31,15.39,51.87,655
Serón,Almería,Serón,61.31,15.39,51.87,655
Sierro,Almería,Sierro,61.31,15.39,51.87,655
Somontín,Almería,Somontín,61.31,15.39,51.87,655
Sorbas,Almería,Sorbas,61.31,15.39,51.87,655
Suflí,Almería,Suflí,61.31,15.39,51.87,655
Tabernas,Almería,Tabernas,61.31,15.39,51.87,655
Taberno,Almería,Taberno,61.31,15.39,51.87,655
Tahal,Almería,Tahal,61.31,15.39,51.87,655
Terque,Almería,Terque,61.31,15.39,51.87,655
Tíjola,Almería,Tíjola,61.31,15.39,51.87,655
Tres Villas (Las),Almería,Las Tres Villas,61.31,15.39,51.87,655
Turre,Almería,Turre,61.31,15.39,51.87,655
Turrillas,Almería,Turrillas,61.31,15.39,51.87,655
Uleila del Campo,Almería,Uleila del Campo,61.31,15.39,51.87,655
Urrácal,Almería,Urrácal,61.31,15.39,51.87,655
Velefique,Almería,Velefique,61.31,15.39,51.87,655
Vélez-Blanco,Almería,Vélez-Blanco,61.31,15.39,51.87,655
Vélez-Rubio,Almería,Vélez-Rubio,61.31,15.39,51.87,655
Vera,Almería,Vera,61.31,15.39,51.87,655
Viator,Almería,Viator,61.31,15.39,51.87,655
Vícar,Almería,Vícar,61.31,15.39,51.87,655
Zurgena,Almería,Zurgena,61.31,15.39,51.87,655
Adanero,Ávila,Adanero,52.78,14.86,44.94,374
Adrada (La),Ávila,La Adrada,52.78,14.86,44.94,374
Albornos,Ávila,Albornos,52.78,14.86,44.94,374
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,52.78,14.86,44.94,374
Aldeaseca,Ávila,Aldeaseca,52.78,14.86,44.94,374
Aldehuela (La),Ávila,La Aldehuela,52.78,14.86,44.94,374
Amavida,Ávila,Amavida,52.78,14.86,44.94,374
Arenal (El),Ávila,El Arenal,52.78,14.86,44.94,374
Arenas de San Pedro,Ávila,Arenas de San Pedro,52.78,14.86,44.94,374
Arevalillo,Ávila,Arevalillo,52.78,14.86,44.94,374
Arévalo,Ávila,Arévalo,52.78,14.86,44.94,374
Aveinte,Ávila,Aveinte,52.78,14.86,44.94,374
Avellaneda,Ávila,Avellaneda,52.78,14.86,44.94,374
Ávila,Ávila,Ávila,52.78,14.86,44.94,374
Barco de Ávila (El),Ávila,El Barco de Ávila,52.78,14.86,44.94,374
Barraco (El),Ávila,El Barraco,52.78,14.86,44.94,374
Barromán,Ávila,Barromán,52.78,14.86,44.94,374
Becedas,Ávila,Becedas,52.78,14.86,44.94,374
Becedillas,Ávila,Becedillas,52.78,14.86,44.94,374
Bercial de Zapardiel,Ávila,Bercial de Zapardiel,52.78,14.86,44.94,374
Berlanas (Las),Ávila,Las Berlanas,52.78,14.86,44.94,374
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel,52.78,14.86,44.94,374
Berrocalejo de Aragona,Ávila,Berrocalejo de Aragona,52.78,14.86,44.94,374
Blascomillán,Ávila,Blascomillán,52.78,14.86,44.94,374
Blasconuño de Matacabras,Ávila,Blasconuño de Matacabras,52.78,14.86,44.94,374
Blascosancho,Ávila,Blascosancho,52.78,14.86,44.94,374
Bohodón (El),Ávila,El Bohodón,52.78,14.86,44.94,374
Bohoyo,Ávila,Bohoyo,52.78,14.86,44.94,374
Bonilla de la Sierra,Ávila,Bonilla de la Sierra,52.78,14.86,44.94,374
Brabos,Ávila,Brabos,52.78,14.86,44.94,374
