municipio,provincia,municipio_nombre_humano,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia
Bornos,Cádiz,Bornos,55.05,21.7,43.1,804
Bosque (El),Cádiz,El Bosque,55.05,21.7,43.1,804
Cádiz,Cádiz,Cádiz,55.05,21.7,43.1,804
Castellar de la Frontera,Cádiz,Castellar de la Frontera,55.05,21.7,43.1,804
Chiclana de la Frontera,Cádiz,Chiclana de la Frontera,55.05,21.7,43.1,804
Chipiona,Cádiz,Chipiona,55.05,21.7,43.1,804
Conil de la Frontera,Cádiz,Conil de la Frontera,55.05,21.7,43.1,804
Espera,Cádiz,Espera,55.05,21.7,43.1,804
Gastor (El),Cádiz,El Gastor,55.05,21.7,43.1,804
Grazalema,Cádiz,Grazalema,55.05,21.7,43.1,804
Jerez de la Frontera,Cádiz,Jerez de la Frontera,55.05,21.7,43.1,804
Jimena de la Frontera,Cádiz,Jimena de la Frontera,55.05,21.7,43.1,804
Línea de la Concepción (La),Cádiz,La Línea de la Concepción,55.05,21.7,43.1,804
Medina Sidonia,Cádiz,Medina Sidonia,55.05,21.7,43.1,804
Olvera,Cádiz,Olvera,55.05,21.7,43.1,804
Paterna de Rivera,Cádiz,Paterna de Rivera,55.05,21.7,43.1,804
Prado del Rey,Cádiz,Prado del Rey,55.05,21.7,43.1,804
Puerto de Santa María (El),Cádiz,El Puerto de Santa María,55.05,21.7,43.1,804
Puerto Real,Cádiz,Puerto Real,55.05,21.7,43.1,804
Puerto Serrano,Cádiz,Puerto Serrano,55.05,21.7,43.1,804
Rota,Cádiz,Rota,55.05,21.7,43.1,804
San Fernando,Cádiz,San Fernando,55.05,21.7,43.1,804
San José del Valle,Cádiz,San José del Valle,55.05,21.7,43.1,804
San Martín del Tesorillo,Cádiz,San Martín del Tesorillo,55.05,21.7,43.1,804
San Roque,Cádiz,San Roque,55.05,21.7,43.1,804
Sanlúcar de Barrameda,Cádiz,Sanlúcar de Barrameda,55.05,21.7,43.1,804
Setenil de las Bodegas,Cádiz,Setenil de las Bodegas,55.05,21.7,43.1,804
Tarifa,Cádiz,Tarifa,55.05,21.7,43.1,804
Torre Alháquime,Cádiz,Torre Alháquime,55.05,21.7,43.1,804
Trebujena,Cádiz,Trebujena,55.05,21.7,43.1,804
Ubrique,Cádiz,Ubrique,55.05,21.7,43.1,804
Vejer de la Frontera,Cádiz,Vejer de la Frontera,55.05,21.7,43.1,804
Villaluenga del Rosario,Cádiz,Villaluenga del Rosario,55.05,21.7,43.1,804
Villamartín,Cádiz,Villamartín,55.05,21.7,43.1,804
Zahara,Cádiz,Zahara,55.05,21.7,43.1,804
Aín,Castellón,Aín,57.36,10.55,51.31,929
Albocàsser,Castellón,Albocàsser,57.36,10.55,51.31,929
Alcalà de Xivert,Castellón,Alcalà de Xivert,57.36,10.55,51.31,929
Alcora (l'),Castellón,L' Alcora,57.36,10.55,51.31,929
Alcudia de Veo,Castellón,Alcudia de Veo,57.36,10.55,51.31,929
Alfondeguilla,Castellón,Alfondeguilla,57.36,10.55,51.31,929
Algimia de Almonacid,Castellón,Algimia de Almonacid,57.36,10.55,51.31,929
Almassora,Castellón,Almassora,57.36,10.55,51.31,929
Almedíjar,Castellón,Almedíjar,57.36,10.55,51.31,929
Almenara,Castellón,Almenara,57.36,10.55,51.31,929
Alqueries (les)/Alquerías del Niño Perdido,Castellón,Les Alqueries/Alquerías del Niño Perdido,57.36,10.55,51.31,929
Altura,Castellón,Altura,57.36,10.55,51.31,929
Arañuel,Castellón,Arañuel,57.36,10.55,51.31,929
Ares del Maestrat,Castellón,Ares del Maestrat,57.36,10.55,51.31,929
Argelita,Castellón,Argelita,57.36,10.55,51.31,929
Artana,Castellón,Artana,57.36,10.55,51.31,929
Atzeneta del Maestrat,Castellón,Atzeneta del Maestrat,57.36,10.55,51.31,929
Ayódar,Castellón,Ayódar,57.36,10.55,51.31,929
Azuébar,Castellón,Azuébar,57.36,10.55,51.31,929
Barracas,Castellón,Barracas,57.36,10.55,51.31,929
Bejís,Castellón,Bejís,57.36,10.55,51.31,929
Benafer,Castellón,Benafer,57.36,10.55,51.31,929
Benafigos,Castellón,Benafigos,57.36,10.55,51.31,929
Benassal,Castellón,Benassal,57.36,10.55,51.31,929
Benicarló,Castellón,Benicarló,57.36,10.55,51.31,929
Benicasim/Benicàssim,Castellón,Benicasim/Benicàssim,57.36,10.55,51.31,929
Benlloc,Castellón,Benlloc,57.36,10.55,51.31,929
Betxí,Castellón,Betxí,57.36,10.55,51.31,929
Borriana/Burriana,Castellón,Borriana/Burriana,57.36,10.55,51.31,929
Borriol,Castellón,Borriol,57.36,10.55,51.31,929
Cabanes,Castellón,Cabanes,57.36,10.55,51.31,929
Càlig,Castellón,Càlig,57.36,10.55,51.31,929
Canet lo Roig,Castellón,Canet lo Roig,57.36,10.55,51.31,929
Castell de Cabres,Castellón,Castell de Cabres,57.36,10.55,51.31,929
Castellfort,Castellón,Castellfort,57.36,10.55,51.31,929
Castellnovo,Castellón,Castellnovo,57.36,10.55,51.31,929
Castellón de la Plana,Castellón,Castellón de la Plana,57.36,10.55,51.31,929
Castillo de Villamalefa,Castellón,Castillo de Villamalefa,57.36,10.55,51.31,929
Catí,Castellón,Catí,57.36,10.55,51.31,929
Caudiel,Castellón,Caudiel,57.36,10.55,51.31,929
Cervera del Maestre,Castellón,Cervera del Maestre,57.36,10.55,51.31,929
Chilches/Xilxes,Castellón,Chilches/Xilxes,57.36,10.55,51.31,929
Chodos/Xodos,Castellón,Chodos/Xodos,57.36,10.55,51.31,929
Chóvar,Castellón,Chóvar,57.36,10.55,51.31,929
Cinctorres,Castellón,Cinctorres,57.36,10.55,51.31,929
Cirat,Castellón,Cirat,57.36,10.55,51.31,929
Cortes de Arenoso,Castellón,Cortes de Arenoso,57.36,10.55,51.31,929
Costur,Castellón,Costur,57.36,10.55,51.31,929
Coves de Vinromà (les),Castellón,Les Coves de Vinromà,57.36,10.55,51.31,929
Culla,Castellón,Culla,57.36,10.55,51.31,929
Eslida,Castellón,Eslida,57.36,10.55,51.31,929
Espadilla,Castellón,Espadilla,57.36,10.55,51.31,929
Fanzara,Castellón,Fanzara,57.36,10.55,51.31,929
Figueroles,Castellón,Figueroles,57.36,10.55,51.31,929
Forcall,Castellón,Forcall,57.36,10.55,51.31,929
Fuente la Reina,Castellón,Fuente la Reina,57.36,10.55,51.31,929
Fuentes de Ayódar,Castellón,Fuentes de Ayódar,57.36,10.55,51.31,929
Gaibiel,Castellón,Gaibiel,57.36,10.55,51.31,929
Geldo,Castellón,Geldo,57.36,10.55,51.31,929
Herbers,Castellón,Herbers,57.36,10.55,51.31,929
Higueras,Castellón,Higueras,57.36,10.55,51.31,929
Jana (la),Castellón,La Jana,57.36,10.55,51.31,929
Jérica,Castellón,Jérica,57.36,10.55,51.31,929
Llosa (la),Castellón,La Llosa,57.36,10.55,51.31,929
Llucena/Lucena del Cid,Castellón,Llucena/Lucena del Cid,57.36,10.55,51.31,929
Ludiente,Castellón,Ludiente,57.36,10.55,51.31,929
Mata de Morella (la),Castellón,La Mata de Morella,57.36,10.55,51.31,929
Matet,Castellón,Matet,57.36,10.55,51.31,929
Moncofa,Castellón,Moncofa,57.36,10.55,51.31,929
Montán,Castellón,Montán,57.36,10.55,51.31,929
Montanejos,Castellón,Montanejos,57.36,10.55,51.31,929
Morella,Castellón,Morella,57.36,10.55,51.31,929
Navajas,Castellón,Navajas,57.36,10.55,51.31,929
Nules,Castellón,Nules,57.36,10.55,51.31,929
Olocau del Rey,Castellón,Olocau del Rey,57.36,10.55,51.31,929
Onda,Castellón,Onda,57.36,10.55,51.31,929
Oropesa del Mar/Orpesa,Castellón,Oropesa del Mar/Orpesa,57.36,10.55,51.31,929
Palanques,Castellón,Palanques,57.36,10.55,51.31,929
Pavías,Castellón,Pavías,57.36,10.55,51.31,929
Peníscola/Peñíscola,Castellón,Peníscola/Peñíscola,57.36,10.55,51.31,929
Pina de Montalgrao,Castellón,Pina de Montalgrao,57.36,10.55,51.31,929
Pobla de Benifassà (la),Castellón,La Pobla de Benifassà,57.36,10.55,51.31,929
Pobla Tornesa (la),Castellón,La Pobla Tornesa,57.36,10.55,51.31,929
Portell de Morella,Castellón,Portell de Morella,57.36,10.55,51.31,929
Puebla de Arenoso,Castellón,Puebla de Arenoso,57.36,10.55,51.31,929
Ribesalbes,Castellón,Ribesalbes,57.36,10.55,51.31,929
Rossell,Castellón,Rossell,57.36,10.55,51.31,929
Sacañet,Castellón,Sacañet,57.36,10.55,51.31,929
Salzadella (la),Castellón,La Salzadella,57.36,10.55,51.31,929
San Rafael del Río,Castellón,San Rafael del Río,57.36,10.55,51.31,929
Sant Joan de Moró,Castellón,Sant Joan de Moró,57.36,10.55,51.31,929
Sant Jordi/San Jorge,Castellón,Sant Jordi/San Jorge,57.36,10.55,51.31,929
Sant Mateu,Castellón,Sant Mateu,57.36,10.55,51.31,929
Santa Magdalena de Pulpis,Castellón,Santa Magdalena de Pulpis,57.36,10.55,51.31,929
Segorbe,Castellón,Segorbe,57.36,10.55,51.31,929
Serratella (la),Castellón,La Serratella,57.36,10.55,51.31,929
Sierra Engarcerán,Castellón,Sierra Engarcerán,57.36,10.55,51.31,929
Soneja,Castellón,Soneja,57.36,10.55,51.31,929
Sot de Ferrer,Castellón,Sot de Ferrer,57.36,10.55,51.31,929
Sueras/Suera,Castellón,Sueras/Suera,57.36,10.55,51.31,929
Tales,Castellón,Tales,57.36,10.55,51.31,929
Teresa,Castellón,Teresa,57.36,10.55,51.31,929
Tírig,Castellón,Tírig,57.36,10.55,51.31,929
Todolella,Castellón,Todolella,57.36,10.55,51.31,929
Toga,Castellón,Toga,57.36,10.55,51.31,929
Torás,Castellón,Torás,57.36,10.55,51.31,929
Toro (El),Castellón,El Toro,57.36,10.55,51.31,929
Torralba del Pinar,Castellón,Torralba del Pinar,57.36,10.55,51.31,929
Torre d'En Besora (la),Castellón,La Torre d'En Besora,57.36,10.55,51.31,929
Torre d'en Doménec (la),Castellón,La Torre d'en Doménec,57.36,10.55,51.31,929
Torreblanca,Castellón,Torreblanca,57.36,10.55,51.31,929
Torrechiva,Castellón,Torrechiva,57.36,10.55,51.31,929
Traiguera,Castellón,Traiguera,57.36,10.55,51.31,929
Useras/Useres (les),Castellón,Les Useras/Useres,57.36,10.55,51.31,929
Vall d'Alba,Castellón,Vall d'Alba,57.36,10.55,51.31,929
Vall de Almonacid,Castellón,Vall de Almonacid,57.36,10.55,51.31,929
Vall d'Uixó (la),Castellón,La Vall d'Uixó,57.36,10.55,51.31,929
Vallat,Castellón,Vallat,57.36,10.55,51.31,929
Vallibona,Castellón,Vallibona,57.36,10.55,51.31,929
Vilafamés,Castellón,Vilafamés,57.36,10.55,51.31,929
Vilafranca/Villafranca del Cid,Castellón,Vilafranca/Villafranca del Cid,57.36,10.55,51.31,929
Vilanova d'Alcolea,Castellón,Vilanova d'Alcolea,57.36,10.55,51.31,929
Vilar de Canes,Castellón,Vilar de Canes,57.36,10.55,51.31,929
Vila-real,Castellón,Vila-real,57.36,10.55,51.31,929
Vilavella (la),Castellón,La Vilavella,57.36,10.55,51.31,929
Villahermosa del Río,Castellón,Villahermosa del Río,57.36,10.55,51.31,929
Villamalur,Castellón,Villamalur,57.36,10.55,51.31,929
Villanueva de Viver,Castellón,Villanueva de Viver,57.36,10.55,51.31,929
Villores,Castellón,Villores,57.36,10.55,51.31,929
Vinaròs,Castellón,Vinaròs,57.36,10.55,51.31,929
Vistabella del Maestrat,Castellón,Vistabella del Maestrat,57.36,10.55,51.31,929
Viver,Castellón,Viver,57.36,10.55,51.31,929
Xert,Castellón,Xert,57.36,10.55,51.31,929
Zorita del Maestrazgo,Castellón,Zorita del Maestrazgo,57.36,10.55,51.31,929
Zucaina,Castellón,Zucaina,57.36,10.55,51.31,929
Abenójar,Ciudad Real,Abenójar,55.64,17.1,46.12,496
Agudo,Ciudad Real,Agudo,55.64,17.1,46.12,496
Alamillo,Ciudad Real,Alamillo,55.64,17.1,46.12,496
Albaladejo,Ciudad Real,Albaladejo,55.64,17.1,46.12,496
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,55.64,17.1,46.12,496
Alcoba,Ciudad Real,Alcoba,55.64,17.1,46.12,496
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,55.64,17.1,46.12,496
Alcubillas,Ciudad Real,Alcubillas,55.64,17.1,46.12,496
Aldea del Rey,Ciudad Real,Aldea del Rey,55.64,17.1,46.12,496
Alhambra,Ciudad Real,Alhambra,55.64,17.1,46.12,496
Almadén,Ciudad Real,Almadén,55.64,17.1,46.12,496
Almadenejos,Ciudad Real,Almadenejos,55.64,17.1,46.12,496
Almagro,Ciudad Real,Almagro,55.64,17.1,46.12,496
Almedina,Ciudad Real,Almedina,55.64,17.1,46.12,496
Almodóvar del Campo,Ciudad Real,Almodóvar del Campo,55.64,17.1,46.12,496
Almuradiel,Ciudad Real,Almuradiel,55.64,17.1,46.12,496
Anchuras,Ciudad Real,Anchuras,55.64,17.1,46.12,496
Arenales de San Gregorio,Ciudad Real,Arenales de San Gregorio,55.64,17.1,46.12,496
Arenas de San Juan,Ciudad Real,Arenas de San Juan,55.64,17.1,46.12,496
Argamasilla de Alba,Ciudad Real,Argamasilla de Alba,55.64,17.1,46.12,496
Argamasilla de Calatrava,Ciudad Real,Argamasilla de Calatrava,55.64,17.1,46.12,496
Arroba de los Montes,Ciudad Real,Arroba de los Montes,55.64,17.1,46.12,496
Ballesteros de Calatrava,Ciudad Real,Ballesteros de Calatrava,55.64,17.1,46.12,496
Bolaños de Calatrava,Ciudad Real,Bolaños de Calatrava,55.64,17.1,46.12,496
Brazatortas,Ciudad Real,Brazatortas,55.64,17.1,46.12,496
Cabezarados,Ciudad Real,Cabezarados,55.64,17.1,46.12,496
Cabezarrubias del Puerto,Ciudad Real,Cabezarrubias del Puerto,55.64,17.1,46.12,496
Calzada de Calatrava,Ciudad Real,Calzada de Calatrava,55.64,17.1,46.12,496
Campo de Criptana,Ciudad Real,Campo de Criptana,55.64,17.1,46.12,496
Cañada de Calatrava,Ciudad Real,Cañada de Calatrava,55.64,17.1,46.12,496
Caracuel de Calatrava,Ciudad Real,Caracuel de Calatrava,55.64,17.1,46.12,496
Carrión de Calatrava,Ciudad Real,Carrión de Calatrava,55.64,17.1,46.12,496
Carrizosa,Ciudad Real,Carrizosa,55.64,17.1,46.12,496
Castellar de Santiago,Ciudad Real,Castellar de Santiago,55.64,17.1,46.12,496
Chillón,Ciudad Real,Chillón,55.64,17.1,46.12,496
Ciudad Real,Ciudad Real,Ciudad Real,55.64,17.1,46.12,496
Corral de Calatrava,Ciudad Real,Corral de Calatrava,55.64,17.1,46.12,496
Cortijos (Los),Ciudad Real,Los Cortijos,55.64,17.1,46.12,496
Cózar,Ciudad Real,Cózar,55.64,17.1,46.12,496
Daimiel,Ciudad Real,Daimiel,55.64,17.1,46.12,496
Fernán Caballero,Ciudad Real,Fernán Caballero,55.64,17.1,46.12,496
Fontanarejo,Ciudad Real,Fontanarejo,55.64,17.1,46.12,496
Fuencaliente,Ciudad Real,Fuencaliente,55.64,17.1,46.12,496
Fuenllana,Ciudad Real,Fuenllana,55.64,17.1,46.12,496
Fuente el Fresno,Ciudad Real,Fuente el Fresno,55.64,17.1,46.12,496
Granátula de Calatrava,Ciudad Real,Granátula de Calatrava,55.64,17.1,46.12,496
Guadalmez,Ciudad Real,Guadalmez,55.64,17.1,46.12,496
Herencia,Ciudad Real,Herencia,55.64,17.1,46.12,496
Hinojosas de Calatrava,Ciudad Real,Hinojosas de Calatrava,55.64,17.1,46.12,496
Horcajo de los Montes,Ciudad Real,Horcajo de los Montes,55.64,17.1,46.12,496
Labores (Las),Ciudad Real,Las Labores,55.64,17.1,46.12,496
Llanos del Caudillo,Ciudad Real,Llanos del Caudillo,55.64,17.1,46.12,496
Luciana,Ciudad Real,Luciana,55.64,17.1,46.12,496
Malagón,Ciudad Real,Malagón,55.64,17.1,46.12,496
Manzanares,Ciudad Real,Manzanares,55.64,17.1,46.12,496
Membrilla,Ciudad Real,Membrilla,55.64,17.1,46.12,496
Mestanza,Ciudad Real,Mestanza,55.64,17.1,46.12,496
Miguelturra,Ciudad Real,Miguelturra,55.64,17.1,46.12,496
Montiel,Ciudad Real,Montiel,55.64,17.1,46.12,496
Moral de Calatrava,Ciudad Real,Moral de Calatrava,55.64,17.1,46.12,496
Navalpino,Ciudad Real,Navalpino,55.64,17.1,46.12,496
Navas de Estena,Ciudad Real,Navas de Estena,55.64,17.1,46.12,496
Pedro Muñoz,Ciudad Real,Pedro Muñoz,55.64,17.1,46.12,496
Picón,Ciudad Real,Picón,55.64,17.1,46.12,496
Piedrabuena,Ciudad Real,Piedrabuena,55.64,17.1,46.12,496
Poblete,Ciudad Real,Poblete,55.64,17.1,46.12,496
Porzuna,Ciudad Real,Porzuna,55.64,17.1,46.12,496
Pozuelo de Calatrava,Ciudad Real,Pozuelo de Calatrava,55.64,17.1,46.12,496
Pozuelos de Calatrava (Los),Ciudad Real,Los Pozuelos de Calatrava,55.64,17.1,46.12,496
Puebla de Don Rodrigo,Ciudad Real,Puebla de Don Rodrigo,55.64,17.1,46.12,496
Puebla del Príncipe,Ciudad Real,Puebla del Príncipe,55.64,17.1,46.12,496
Puerto Lápice,Ciudad Real,Puerto Lápice,55.64,17.1,46.12,496
Puertollano,Ciudad Real,Puertollano,55.64,17.1,46.12,496
Retuerta del Bullaque,Ciudad Real,Retuerta del Bullaque,55.64,17.1,46.12,496
Robledo (El),Ciudad Real,El Robledo,55.64,17.1,46.12,496
Ruidera,Ciudad Real,Ruidera,55.64,17.1,46.12,496
Saceruela,Ciudad Real,Saceruela,55.64,17.1,46.12,496
San Carlos del Valle,Ciudad Real,San Carlos del Valle,55.64,17.1,46.12,496
San Lorenzo de Calatrava,Ciudad Real,San Lorenzo de Calatrava,55.64,17.1,46.12,496
Santa Cruz de los Cáñamos,Ciudad Real,Santa Cruz de los Cáñamos,55.64,17.1,46.12,496
Santa Cruz de Mudela,Ciudad Real,Santa Cruz de Mudela,55.64,17.1,46.12,496
Socuéllamos,Ciudad Real,Socuéllamos,55.64,17.1,46.12,496
Solana del Pino,Ciudad Real,Solana del Pino,55.64,17.1,46.12,496
Solana (La),Ciudad Real,La Solana,55.64,17.1,46.12,496
Terrinches,Ciudad Real,Terrinches,55.64,17.1,46.12,496
Tomelloso,Ciudad Real,Tomelloso,55.64,17.1,46.12,496
Torralba de Calatrava,Ciudad Real,Torralba de Calatrava,55.64,17.1,46.12,496
Torre de Juan Abad,Ciudad Real,Torre de Juan Abad,55.64,17.1,46.12,496
Torrenueva,Ciudad Real,Torrenueva,55.64,17.1,46.12,496
Valdemanco del Esteras,Ciudad Real,Valdemanco del Esteras,55.64,17.1,46.12,496
Valdepeñas,Ciudad Real,Valdepeñas,55.64,17.1,46.12,496
Valenzuela de Calatrava,Ciudad Real,Valenzuela de Calatrava,55.64,17.1,46.12,496
Villahermosa,Ciudad Real,Villahermosa,55.64,17.1,46.12,496
Villamanrique,Ciudad Real,Villamanrique,55.64,17.1,46.12,496
Villamayor de Calatrava,Ciudad Real,Villamayor de Calatrava,55.64,17.1,46.12,496
Villanueva de la Fuente,Ciudad Real,Villanueva de la Fuente,55.64,17.1,46.12,496
Villanueva de los Infantes,Ciudad Real,Villanueva de los Infantes,55.64,17.1,46.12,496
Villanueva de San Carlos,Ciudad Real,Villanueva de San Carlos,55.64,17.1,46.12,496
Villar del Pozo,Ciudad Real,Villar del Pozo,55.64,17.1,46.12,496
Villarrubia de los Ojos,Ciudad Real,Villarrubia de los Ojos,55.64,17.1,46.12,496
Villarta de San Juan,Ciudad Real,Villarta de San Juan,55.64,17.1,46.12,496
Viso del Marqués,Ciudad Real,Viso del Marqués,55.64,17.1,46.12,496
Adamuz,Córdoba,Adamuz,55.02,20.67,43.64,562
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,55.02,20.67,43.64,562
Alcaracejos,Córdoba,Alcaracejos,55.02,20.67,43.64,562
Almedinilla,Córdoba,Almedinilla,55.02,20.67,43.64,562
Almodóvar del Río,Córdoba,Almodóvar del Río,55.02,20.67,43.64,562
Añora,Córdoba,Añora,55.02,20.67,43.64,562
Baena,Córdoba,Baena,55.02,20.67,43.64,562
Belalcázar,Córdoba,Belalcázar,55.02,20.67,43.64,562
Belmez,Córdoba,Belmez,55.02,20.67,43.64,562
Benamejí,Córdoba,Benamejí,55.02,20.67,43.64,562
Blázquez (Los),Córdoba,Los Blázquez,55.02,20.67,43.64,562
Bujalance,Córdoba,Bujalance,55.02,20.67,43.64,562
Cabra,Córdoba,Cabra,55.02,20.67,43.64,562
Cañete de las Torres,Córdoba,Cañete de las Torres,55.02,20.67,43.64,562
Carcabuey,Córdoba,Carcabuey,55.02,20.67,43.64,562
Cardeña,Córdoba,Cardeña,55.02,20.67,43.64,562
Carlota (La),Córdoba,La Carlota,55.02,20.67,43.64,562
Carpio (El),Córdoba,El Carpio,55.02,20.67,43.64,562
Castro del Río,Córdoba,Castro del Río,55.02,20.67,43.64,562
Conquista,Córdoba,Conquista,55.02,20.67,43.64,562
Córdoba,Córdoba,Córdoba,55.02,20.67,43.64,562
Doña Mencía,Córdoba,Doña Mencía,55.02,20.67,43.64,562
Dos Torres,Córdoba,Dos Torres,55.02,20.67,43.64,562
Encinas Reales,Córdoba,Encinas Reales,55.02,20.67,43.64,562
Espejo,Córdoba,Espejo,55.02,20.67,43.64,562
Espiel,Córdoba,Espiel,55.02,20.67,43.64,562
Fernán-Núñez,Córdoba,Fernán-Núñez,55.02,20.67,43.64,562
Fuente Carreteros,Córdoba,Fuente Carreteros,55.02,20.67,43.64,562
Fuente la Lancha,Córdoba,Fuente la Lancha,55.02,20.67,43.64,562
Fuente Obejuna,Córdoba,Fuente Obejuna,55.02,20.67,43.64,562
Fuente Palmera,Córdoba,Fuente Palmera,55.02,20.67,43.64,562
Fuente-Tójar,Córdoba,Fuente-Tójar,55.02,20.67,43.64,562
Granjuela (La),Córdoba,La Granjuela,55.02,20.67,43.64,562
Guadalcázar,Córdoba,Guadalcázar,55.02,20.67,43.64,562
Guijarrosa (La),Córdoba,La Guijarrosa,55.02,20.67,43.64,562
Guijo (El),Córdoba,El Guijo,55.02,20.67,43.64,562
Hinojosa del Duque,Córdoba,Hinojosa del Duque,55.02,20.67,43.64,562
Hornachuelos,Córdoba,Hornachuelos,55.02,20.67,43.64,562
Iznájar,Córdoba,Iznájar,55.02,20.67,43.64,562
Lucena,Córdoba,Lucena,55.02,20.67,43.64,562
Luque,Córdoba,Luque,55.02,20.67,43.64,562
Montalbán de Córdoba,Córdoba,Montalbán de Córdoba,55.02,20.67,43.64,562
Montemayor,Córdoba,Montemayor,55.02,20.67,43.64,562
Montilla,Córdoba,Montilla,55.02,20.67,43.64,562
Montoro,Córdoba,Montoro,55.02,20.67,43.64,562
Monturque,Córdoba,Monturque,55.02,20.67,43.64,562
Moriles,Córdoba,Moriles,55.02,20.67,43.64,562
Nueva Carteya,Córdoba,Nueva Carteya,55.02,20.67,43.64,562
Obejo,Córdoba,Obejo,55.02,20.67,43.64,562
Palenciana,Córdoba,Palenciana,55.02,20.67,43.64,562
Palma del Río,Córdoba,Palma del Río,55.02,20.67,43.64,562
Pedro Abad,Córdoba,Pedro Abad,55.02,20.67,43.64,562
Pedroche,Córdoba,Pedroche,55.02,20.67,43.64,562
Peñarroya-Pueblonuevo,Córdoba,Peñarroya-Pueblonuevo,55.02,20.67,43.64,562
Posadas,Córdoba,Posadas,55.02,20.67,43.64,562
Pozoblanco,Córdoba,Pozoblanco,55.02,20.67,43.64,562
Priego de Córdoba,Córdoba,Priego de Córdoba,55.02,20.67,43.64,562
Puente Genil,Córdoba,Puente Genil,55.02,20.67,43.64,562
Rambla (La),Córdoba,La Rambla,55.02,20.67,43.64,562
Rute,Córdoba,Rute,55.02,20.67,43.64,562
San Sebastián de los Ballesteros,Córdoba,San Sebastián de los Ballesteros,55.02,20.67,43.64,562
Santa Eufemia,Córdoba,Santa Eufemia,55.02,20.67,43.64,562
Santaella,Córdoba,Santaella,55.02,20.67,43.64,562
Torrecampo,Córdoba,Torrecampo,55.02,20.67,43.64,562
Valenzuela,Córdoba,Valenzuela,55.02,20.67,43.64,562
Valsequillo,Córdoba,Valsequillo,55.02,20.67,43.64,562
Victoria (La),Córdoba,La Victoria,55.02,20.67,43.64,562
Villa del Río,Córdoba,Villa del Río,55.02,20.67,43.64,562
Villafranca de Córdoba,Córdoba,Villafranca de Córdoba,55.02,20.67,43.64,562
Villaharta,Córdoba,Villaharta,55.02,20.67,43.64,562
Villanueva de Córdoba,Córdoba,Villanueva de Córdoba,55.02,20.67,43.64,562
Villanueva del Duque,Córdoba,Villanueva del Duque,55.02,20.67,43.64,562
Villanueva del Rey,Córdoba,Villanueva del Rey,55.02,20.67,43.64,562
Villaralto,Córdoba,Villaralto,55.02,20.67,43.64,562
Villaviciosa de Córdoba,Córdoba,Villaviciosa de Córdoba,55.02,20.67,43.64,562
Viso (El),Córdoba,El Viso,55.02,20.67,43.64,562
Zuheros,Córdoba,Zuheros,55.02,20.67,43.64,562
Abegondo,A Coruña,Abegondo,53.86,10.92,47.98,1466
Ames,A Coruña,Ames,53.86,10.92,47.98,1466
Aranga,A Coruña,Aranga,53.86,10.92,47.98,1466
Ares,A Coruña,Ares,53.86,10.92,47.98,1466
Arteixo,A Coruña,Arteixo,53.86,10.92,47.98,1466
Arzúa,A Coruña,Arzúa,53.86,10.92,47.98,1466
Baña (A),A Coruña,A Baña,53.86,10.92,47.98,1466
Bergondo,A Coruña,Bergondo,53.86,10.92,47.98,1466
Betanzos,A Coruña,Betanzos,53.86,10.92,47.98,1466
Boimorto,A Coruña,Boimorto,53.86,10.92,47.98,1466
Boiro,A Coruña,Boiro,53.86,10.92,47.98,1466
Boqueixón,A Coruña,Boqueixón,53.86,10.92,47.98,1466
Brión,A Coruña,Brión,53.86,10.92,47.98,1466
Cabana de Bergantiños,A Coruña,Cabana de Bergantiños,53.86,10.92,47.98,1466
Cabanas,A Coruña,Cabanas,53.86,10.92,47.98,1466
Camariñas,A Coruña,Camariñas,53.86,10.92,47.98,1466
Cambre,A Coruña,Cambre,53.86,10.92,47.98,1466
Capela (A),A Coruña,A Capela,53.86,10.92,47.98,1466
Carballo,A Coruña,Carballo,53.86,10.92,47.98,1466
Cariño,A Coruña,Cariño,53.86,10.92,47.98,1466
Carnota,A Coruña,Carnota,53.86,10.92,47.98,1466
Carral,A Coruña,Carral,53.86,10.92,47.98,1466
Cedeira,A Coruña,Cedeira,53.86,10.92,47.98,1466
Cee,A Coruña,Cee,53.86,10.92,47.98,1466
Cerceda,A Coruña,Cerceda,53.86,10.92,47.98,1466
Cerdido,A Coruña,Cerdido,53.86,10.92,47.98,1466
Coirós,A Coruña,Coirós,53.86,10.92,47.98,1466
Corcubión,A Coruña,Corcubión,53.86,10.92,47.98,1466
Coristanco,A Coruña,Coristanco,53.86,10.92,47.98,1466
Coruña (A),A Coruña,A Coruña,53.86,10.92,47.98,1466
Culleredo,A Coruña,Culleredo,53.86,10.92,47.98,1466
Curtis,A Coruña,Curtis,53.86,10.92,47.98,1466
Dodro,A Coruña,Dodro,53.86,10.92,47.98,1466
Dumbría,A Coruña,Dumbría,53.86,10.92,47.98,1466
Fene,A Coruña,Fene,53.86,10.92,47.98,1466
Ferrol,A Coruña,Ferrol,53.86,10.92,47.98,1466
Fisterra,A Coruña,Fisterra,53.86,10.92,47.98,1466
Frades,A Coruña,Frades,53.86,10.92,47.98,1466
Irixoa,A Coruña,Irixoa,53.86,10.92,47.98,1466
