municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Alagón,Zaragoza,50008,Alagón,24204
Alagón del Río,Cáceres,10903,Alagón del Río,15773
Alaior,Illes Balears,7002,Alaior,25044
Alájar,Huelva,21001,Alájar,16881
Alajeró,Santa Cruz de Tenerife,38003,Alajeró,19712
Alameda,Málaga,29001,Alameda,16645
Alameda de Gardón (La),Salamanca,37005,La Alameda de Gardón,17879
Alameda de la Sagra,Toledo,45002,Alameda de la Sagra,21884
Alameda del Valle,Madrid,28003,Alameda del Valle,25179
Alamedilla,Granada,18002,Alamedilla,16108
Alamedilla (La),Salamanca,37006,La Alamedilla,17879
Alamillo,Ciudad Real,13003,Alamillo,16766
Alaminos,Guadalajara,19004,Alaminos,20180
Álamo (El),Madrid,28004,El Álamo,23995
Alamús (Els),Lleida,25004,Els Alamús,23784
Alange,Badajoz,6004,Alange,16491
Alanís,Sevilla,41002,Alanís,15680
Alaquàs,Valencia,46005,Alaquàs,22773
Alar del Rey,Palencia,34005,Alar del Rey,19171
Alaraz,Salamanca,37007,Alaraz,17879
Alarba,Zaragoza,50009,Alarba,19366
Alarcón,Cuenca,16003,Alarcón,17337
Alarilla,Guadalajara,19005,Alarilla,20180
Alaró,Illes Balears,7001,Alaró,32601
Alàs i Cerc,Lleida,25005,Alàs i Cerc,23784
Alatoz,Albacete,2002,Alatoz,16604
Alba,Teruel,44007,Alba,18797
Alba de Cerrato,Palencia,34006,Alba de Cerrato,19171
Alba de Tormes,Salamanca,37008,Alba de Tormes,21170
Alba de Yeltes,Salamanca,37009,Alba de Yeltes,17879
Albacete,Albacete,2003,Albacete,27350
Albagés (L'),Lleida,25006,L' Albagés,23784
Albaida,Valencia,46006,Albaida,23868
Albaida del Aljarafe,Sevilla,41003,Albaida del Aljarafe,18823
Albal,Valencia,46007,Albal,23926
Albalá,Cáceres,10007,Albalá,15773
Albaladejo,Ciudad Real,13004,Albaladejo,14622
Albaladejo del Cuende,Cuenca,16004,Albaladejo del Cuende,17337
Albalat de la Ribera,Valencia,46008,Albalat de la Ribera,20051
Albalat dels Sorells,Valencia,46009,Albalat dels Sorells,26394
Albalat dels Tarongers,Valencia,46010,Albalat dels Tarongers,27202
Albalate de Cinca,Huesca,22007,Albalate de Cinca,21832
Albalate de las Nogueras,Cuenca,16005,Albalate de las Nogueras,17337
Albalate de Zorita,Guadalajara,19006,Albalate de Zorita,20180
Albalate del Arzobispo,Teruel,44008,Albalate del Arzobispo,22979
Albalatillo,Huesca,22008,Albalatillo,22933
Albanchez,Almería,4004,Albanchez,15879
Albanchez de Mágina,Jaén,23001,Albanchez de Mágina,14114
Albanyà,Girona,17003,Albanyà,31051
Albares,Guadalajara,19007,Albares,20180
Albarracín,Teruel,44009,Albarracín,21481
Albarreal de Tajo,Toledo,45003,Albarreal de Tajo,18671
Albatana,Albacete,2004,Albatana,16604
Albatàrrec,Lleida,25007,Albatàrrec,23657
Albatera,Alicante,3005,Albatera,18851
Albelda,Huesca,22009,Albelda,22933
Albelda de Iregua,La Rioja,26005,Albelda de Iregua,24868
Albendea,Cuenca,16006,Albendea,17337
Albendiego,Guadalajara,19008,Albendiego,20180
Albentosa,Teruel,44010,Albentosa,18797
Alberca (La),Salamanca,37010,La Alberca,18527
Alberca de Záncara (La),Cuenca,16007,La Alberca de Záncara,15864
Alberguería de Argañán (La),Salamanca,37011,La Alberguería de Argañán,17879
Alberic,Valencia,46011,Alberic,21420
Alberite,La Rioja,26006,Alberite,23158
Alberite de San Juan,Zaragoza,50010,Alberite de San Juan,19366
Albero Alto,Huesca,22011,Albero Alto,22933
Albero Bajo,Huesca,22012,Albero Bajo,22933
Alberuela de Tubo,Huesca,22013,Alberuela de Tubo,22933
Albesa,Lleida,25008,Albesa,23332
Albeta,Zaragoza,50011,Albeta,19366
Albi (L'),Lleida,25009,L' Albi,23784
Albillos,Burgos,9009,Albillos,22478
Albinyana,Tarragona,43002,Albinyana,23555
Albiol (L'),Tarragona,43003,L' Albiol,23434
