codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion,lat,lon,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours,kms_capital_provincia,altitud,renta_bruta_media,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
30001,Abanilla,Murcia,Región de Murcia,Abanilla,5,1,0,5,0,1,2,6116,235.62,25.96,38.206794,-1.040845,2.41,23.26,12.49,63.65,11.27,0,3.0,0.02,26.17,135.7,17.76,37.93,26.77,62.42,9.58,0,3.0,0.0,11.66,314.9,34.41,233,19464,983.06,130,4.66,2,1148,119550,9,792,59.93,12.18,52.63,1164,40.36,13.0,98.59,98.59,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0
50001,Abanto,Zaragoza,Aragón,Abanto,1,0,0,0,0,2,1,89,63.84,1.39,41.13751,-1.69818,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1,88.27,939,19366,-,-,-,0,1674,154117,9,720,59.3,8.5,54.26,1632,95.0,0.0,89.0,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,Abanto y Ciérvana-Abanto Zierbena,Bizkaia,País Vasco,Abanto y Ciérvana-Abanto Zierbena,2,0,0,0,0,1,2,9436,16.2,582.47,43.309951,-3.08805,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1,21.07,162,40847,1917.08,52,-,0,2853,269369,13,1124,56.71,9.28,51.45,1671,89.35,82.76,100.0,100.0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
30002,Abarán,Murcia,Región de Murcia,Abarán,3,2,0,7,0,1,2,13066,115.04,113.58,38.20553,-1.398906,2.41,23.26,12.49,63.65,11.27,0,3.0,0.02,26.17,135.7,17.76,37.93,26.77,62.42,9.58,0,3.0,0.0,11.66,314.9,41.73,198,29432,675.93,106,-,0,1148,119550,9,792,59.93,12.18,52.63,1164,82.67,21.33,99.78,99.11,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34001,Abarca de Campos,Palencia,Castilla y León,Abarca de Campos,1,0,0,0,0,2,2,45,11.39,3.95,42.058327,-4.84697,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,33.11,759,19171,-,-,-,0,1352,128845,7,499,55.84,10.52,49.97,442,95.0,0.0,100.0,100.0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31002,Abárzuza/Abartzuza,Navarra,Comunidad Foral de Navarra,Abárzuza/Abartzuza,1,1,0,1,0,2,2,538,23.02,23.37,42.727478,-2.02117,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,46.46,558,18439,-,-,-,0,1691,164441,10,981,58.7,8.76,53.56,1155,33.33,3.0,100.0,92.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
31003,Abaurregaina/Abaurrea Alta,Navarra,Comunidad Foral de Navarra,Abaurregaina/Abaurrea Alta,1,0,0,0,0,2,2,128,21.36,5.99,42.9,-1.2,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,63.73,1028,16542,-,-,-,0,1691,164441,10,981,58.7,8.76,53.56,1155,10.0,10.0,100.0,100.0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0
31004,Abaurrepea/Abaurrea Baja,Navarra,Comunidad Foral de Navarra,Abaurrepea/Abaurrea Baja,1,0,0,0,0,2,2,29,10.89,2.66,42.915641,-1.202067,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,61.35,998,15339,-,-,-,0,1691,164441,10,981,58.7,8.76,53.56,1155,100.0,11.0,100.0,100.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
15001,Abegondo,A Coruña,Galicia,Abegondo,1,0,0,32,0,1,3,5494,83.9,65.49,43.21667,-8.28333,1.15,18.2,9.8,81.19,12.71,0,12.0,0.16,46.29,57.5,11.34,32.72,19.48,78.74,9.94,0,12.0,0.02,37.93,131.8,30.2,110,23370,843.32,83,4.97,2,1583,156959,8,666,53.86,10.92,47.98,1466,91.88,7.86,99.98,99.98,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
42001,Abejar,Soria,Castilla y León,Abejar,1,0,0,0,0,3,1,273,23.43,11.65,41.80755,-2.78407,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6,28.97,1138,19216,-,-,-,0,1288,129163,7,604,60.4,7.32,55.98,393,84.0,0.0,100.0,100.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
44002,Abejuela,Teruel,Aragón,Abejuela,0,0,0,0,0,2,1,57,86.67,0.66,39.91039,-0.89444,1.83,23.6,11.99,63.53,13.9,0,12.0,0.02,24.38,101.7,18.69,36.22,26.49,63.54,10.55,0,3.0,0.01,15.85,189.0,80.53,1151,18797,-,-,-,0,1068,103002,6,501,57.96,9.07,52.7,425,47.5,0.0,50.0,4.5,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
25001,Abella de la Conca,Lleida,Cataluña,Abella de la Conca,0,0,0,0,0,2,1,171,77.89,2.2,42.16163,1.09228,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,98.89,943,23784,895.95,1,-,0,1159,114344,7,654,60.66,10.3,54.42,796,0.0,0.0,76.4,71.8,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
02001,Abengibre,Albacete,Castilla-La Mancha,Abengibre,1,0,0,2,0,2,2,748,30.77,24.31,39.209727,-1.541551,-4.51,18.82,7.2,72.8,16.02,0,0.9,0.02,26.72,127.3,13.04,38.14,25.87,43.43,13.07,0,12.0,0.01,4.51,388.4,46.27,647,16604,789.76,13,-,0,1300,152281,7,659,58.07,12.41,50.86,532,100.0,100.0,100.0,100.0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
13001,Abenójar,Ciudad Real,Castilla-La Mancha,Abenójar,2,1,0,1,0,3,2,1339,423.43,3.16,38.879732,-4.355776,0.11,20.87,10.01,77.64,8.86,0,12.0,0.12,31.16,144.2,15.15,41.33,28.1,43.13,8.93,0,0.9,0.0,5.47,379.4,49.36,611,16885,436.2,10,-,0,936,96893,5,461,55.64,17.1,46.12,496,33.33,0.0,97.67,75.0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
31005,Aberin,Navarra,Comunidad Foral de Navarra,Aberin,1,0,0,0,0,2,2,346,21.25,16.28,42.61868,-2.00706,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,44.6,490,20637,581.35,17,-,0,1691,164441,10,981,58.7,8.76,53.56,1155,75.0,50.0,100.0,100.0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10002,Abertura,Cáceres,Extremadura,Abertura,1,0,0,0,0,0,3,400,62.71,6.38,39.24352,-5.81394,-1.23,19.97,9.55,78.77,11.95,0,12.0,0.44,34.2,139.6,12.09,40.81,25.89,44.56,10.26,0,0.9,0.0,6.59,379.3,84.19,397,15773,727.27,1,-,0,1132,119586,6,497,54.28,17.78,44.63,452,100.0,100.0,100.0,100.0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0
49002,Abezames,Zamora,Castilla y León,Abezames,1,0,0,0,0,3,2,58,23.26,2.49,41.62642,-5.42577,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,34.97,735,16878,-,-,-,0,1151,118790,5,497,50.28,12.1,44.2,388,0.0,0.0,100.0,99.0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
16001,Abia de la Obispalía,Cuenca,Castilla-La Mancha,Abia de la Obispalía,1,0,0,0,0,2,2,57,63.05,0.9,40.01836,-2.39499,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0,29.33,1039,17337,0,0,-,0,1139,119313,8,608,56.94,10.77,50.81,329,0.0,0.0,100.0,82.0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
34003,Abia de las Torres,Palencia,Castilla y León,Abia de las Torres,1,0,0,0,0,2,2,167,27.16,6.15,42.42016,-4.42131,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8,54.17,838,19171,220.9,4,-,0,1352,128845,7,499,55.84,10.52,49.97,442,40.0,0.0,96.0,97.0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0
22001,Abiego,Huesca,Aragón,Abiego,2,1,0,0,0,2,1,271,38.19,7.1,42.12094,-0.06873,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,42.29,545,22933,480.86,9,-,0,1513,123979,8,636,57.78,10.87,51.5,526,97.5,50.0,100.0,88.5,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
22002,Abizanda,Huesca,Aragón,Abizanda,3,0,0,0,0,2,1,143,44.84,3.19,42.24236,0.19717,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,91.3,623,22933,291.67,2,-,0,1513,123979,8,636,57.78,10.87,51.5,526,77.6,46.6,99.8,83.8,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
04001,Abla,Almería,Andalucía,Abla,1,1,0,3,0,1,2,1258,45.24,27.8,37.141895,-2.778084,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1,65.51,874,15629,692.91,39,3.64,1,1168,109377,8,668,61.31,15.39,51.87,655,80.0,14.0,100.0,100.0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
19002,Ablanque,Guadalajara,Castilla-La Mancha,Ablanque,1,0,0,0,0,0,1,60,51.4,1.17,40.89818,-2.22523,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0,110.8,1037,20180,0,0,-,0,1372,146012,8,691,62.89,11.65,55.57,663,0.0,0.0,100.0,98.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
31006,Ablitas,Navarra,Comunidad Foral de Navarra,Ablitas,1,0,0,3,0,2,2,2480,77.48,32.01,41.974773,-1.640204,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1,108.69,382,16998,510.49,11,-,0,1691,164441,10,981,58.7,8.76,53.56,1155,100.0,79.0,100.0,100.0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
08001,Abrera,Barcelona,Cataluña,Abrera,3,1,0,0,0,1,2,12620,19.98,631.51,41.49669,1.900894,0.35,18.97,10.23,71.47,10.8,0,12.0,0.06,28.22,121.7,16.51,33.57,25.31,66.02,9.94,0,12.0,0.06,16.28,226.6,38.9,109,31021,1977.19,86,8.12,1,2946,272259,16,1367,61.29,9.18,55.67,11030,96.5,96.5,100.0,100.0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0
04002,Abrucena,Almería,Andalucía,Abrucena,1,0,0,1,0,1,2,1208,83.68,14.44,37.133457,-2.796909,6.57,20.76,13.76,70.53,16.45,0,0.9,0.01,21.46,120.4,18.99,37.01,26.23,68.78,13.03,0,0.3,0.0,9.21,291.1,68.95,954,15097,613.33,62,-,0,1168,109377,8,668,61.31,15.39,51.87,655,70.0,25.0,95.25,97.5,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
37001,Abusejo,Salamanca,Castilla y León,Abusejo,1,0,0,0,0,0,2,166,23.1,7.19,40.709,-6.14074,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,67.37,842,17879,350.44,6,-,0,1673,156058,9,801,55.83,10.3,50.08,538,100.0,0.0,100.0,100.0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0
28001,Acebeda (La),Madrid,Comunidad de Madrid,La Acebeda,1,0,0,0,0,3,2,55,22.06,2.49,41.086971,-3.62523,-3.63,17.89,7.29,71.71,10.87,0,3.0,0.04,28.94,122.1,13.56,38.27,26.79,35.39,9.68,0,3.0,0.02,5.98,347.5,91.96,1274,25179,882.81,3,-,0,3314,343514,16,1414,63.79,10.18,57.29,13139,76.0,0.0,100.0,56.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24001,Acebedo,León,Castilla y León,Acebedo,3,0,0,0,0,2,1,185,50.18,3.69,43.03969,-5.116,-6.82,15.19,4.06,79.42,12.02,0,3.0,0.1,35.07,96.2,5.68,34.37,20.33,56.78,9.0,0,12.0,0.03,14.24,269.8,117.28,1151,18440,615.36,4,4.0,1,1237,130467,6,586,53.21,10.62,47.56,660,100.0,0.0,100.0,98.33,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10003,Acebo,Cáceres,Extremadura,Acebo,1,0,0,1,0,0,3,560,57.0,9.82,40.2017,-6.7172,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,112.0,509,15773,478.1,12,-,0,1132,119586,6,497,54.28,17.78,44.63,452,54.0,0.0,97.0,96.0,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
16002,Acebrón (El),Cuenca,Castilla-La Mancha,El Acebrón,1,0,0,0,0,2,2,227,22.12,10.26,39.90706,-2.987499,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0,94.99,760,17337,372.39,10,-,0,1139,119313,8,608,56.94,10.77,50.81,329,100.0,0.0,100.0,100.0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
06001,Acedera,Badajoz,Extremadura,Acedera,2,0,0,2,0,3,0,820,82.33,9.96,39.08414,-5.625607,-1.23,19.97,9.55,78.77,11.95,0,12.0,0.44,34.2,139.6,12.09,40.81,25.89,44.56,10.26,0,0.9,0.0,6.59,379.3,133.03,278,15113,714.29,1,-,0,1149,126096,7,530,56.6,16.14,47.46,534,45.0,0.0,100.0,100.0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
10004,Acehúche,Cáceres,Extremadura,Acehúche,1,0,0,1,0,0,3,813,91.06,8.93,39.802203,-6.633267,-1.23,19.97,9.55,78.77,11.95,0,12.0,0.44,34.2,139.6,12.09,40.81,25.89,44.56,10.26,0,0.9,0.0,6.59,379.3,65.27,338,15773,296.8,5,-,0,1132,119586,6,497,54.28,17.78,44.63,452,97.0,0.0,99.0,99.0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
10005,Aceituna,Cáceres,Extremadura,Aceituna,1,0,0,0,0,0,3,587,40.08,14.65,40.15008,-6.33292,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0,107.09,480,15773,0,0,-,0,1132,119586,6,497,54.28,17.78,44.63,452,28.0,0.0,100.0,100.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50002,Acered,Zaragoza,Aragón,Acered,1,0,0,0,0,2,1,140,30.4,4.6,41.01667,-1.6,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1,91.92,1025,19366,149.53,5,-,0,1674,154117,9,720,59.3,8.5,54.26,1632,95.0,41.0,100.0,100.0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
06002,Aceuchal,Badajoz,Extremadura,Aceuchal,1,1,0,2,0,3,0,5467,63.08,86.67,38.645953,-6.48728,-1.23,19.97,9.55,78.77,11.95,0,12.0,0.44,34.2,139.6,12.09,40.81,25.89,44.56,10.26,0,0.9,0.0,6.59,379.3,61.25,308,16333,512.38,18,3.5,1,1149,126096,7,530,56.6,16.14,47.46,534,100.0,100.0,100.0,100.0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0
22003,Adahuesca,Huesca,Aragón,Adahuesca,1,0,0,2,0,2,1,190,52.47,3.62,42.1461,-0.00804,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,48.7,611,22933,1348.48,4,-,0,1513,123979,8,636,57.78,10.87,51.5,526,100.0,100.0,100.0,100.0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0
47001,Adalia,Valladolid,Castilla y León,Adalia,1,0,0,0,0,3,0,52,16.26,3.2,41.64894,-5.12107,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,56.16,774,19844,-,-,-,0,1497,151208,8,668,54.49,9.35,49.39,947,0.0,0.0,99.0,99.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14001,Adamuz,Córdoba,Andalucía,Adamuz,2,1,0,5,0,2,2,4141,334.98,12.36,38.027055,-4.521938,0.11,20.87,10.01,77.64,8.86,0,12.0,0.12,31.16,144.2,15.15,41.33,28.1,43.13,8.93,0,0.9,0.0,5.47,379.4,35.7,237,14475,771.76,18,-,0,1405,141657,7,645,55.02,20.67,43.64,562,100.0,100.0,100.0,100.0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
05001,Adanero,Ávila,Castilla y León,Adanero,1,0,0,0,0,0,1,196,31.42,6.24,40.94487,-4.60561,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,43.69,908,17345,611.61,6,-,0,1022,99417,6,520,52.78,14.86,44.94,374,44.0,0.0,100.0,100.0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0
38001,Adeje,Santa Cruz de Tenerife,Islas Canarias,Adeje,2,1,1,12,0,1,2,48733,105.95,459.96,28.122365,-16.731754,11.46,22.54,16.32,74.97,18.07,0,12.0,0.03,37.87,84.0,16.24,31.47,21.78,77.32,24.05,0,3.0,0.0,36.47,126.3,60.5,246,23254,3350.08,1782,16.15,80,1906,174893,10,793,57.67,17.43,47.62,972,87.62,60.5,99.75,99.0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
46001,Ademuz,Valencia,Comunidad Valenciana,Ademuz,1,1,0,4,0,1,0,1027,100.31,10.24,40.062515,-1.286151,1.83,23.6,11.99,63.53,13.9,0,12.0,0.02,24.38,101.7,18.69,36.22,26.49,63.54,10.55,0,3.0,0.01,15.85,189.0,103.24,759,17048,-,-,-,0,1445,163450,11,1042,59.18,12.36,51.87,3312,23.75,0.0,97.25,98.5,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0
