municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Agüimes,Las Palmas,Agüimes,32105,78.90,406.907477820025
Agullana,Girona,Agullana,885,27.4933,32.1896607537109
Agullent,Valencia,Agullent,2369,16.2389,145.884265559859
Agulo,Santa Cruz de Tenerife,Agulo,1099,25.00,43.96
Agurain/Salvatierra,Álava,Agurain/Salvatierra,5029,37.7699,133.148353583144
Ahigal,Cáceres,Ahigal,1393,52.0735,26.7506505228187
Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,114,27.932,4.08134039810969
Ahigal de Villarino,Salamanca,Ahigal de Villarino,24,24.1052,0.995635796425667
Ahillones,Badajoz,Ahillones,851,21.5435,39.5014737623877
Aia,Gipuzkoa,Aia,2056,55.2668,37.2013577771827
Aibar/Oibar,Navarra,Aibar/Oibar,782,47.7079,16.3914152582696
Aielo de Malferit,Valencia,Aielo de Malferit,4592,26.7392,171.732886548588
Aielo de Rugat,Valencia,Aielo de Rugat,160,7.8314,20.4305743545215
Aiguafreda,Barcelona,Aiguafreda,2556,7.9974,319.603871258159
Aiguamúrcia,Tarragona,Aiguamúrcia,960,72.77,13.1922495533874
Aiguaviva,Girona,Aiguaviva,789,13.97,56.4781675017895
Aigües,Alicante,Aigües,1049,18.4728,56.7861937551427
Aín,Castellón,Aín,135,12.290,10.9845402766477
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,2312,284.7658,8.11895248656967
Ainzón,Zaragoza,Ainzón,1067,40.4570,26.3736806980251
Aisa,Huesca,Aisa,336,80.967,4.14983882322428
Aitona,Lleida,Aitona,2493,67.15,37.1258376768429
Aizarnazabal,Gipuzkoa,Aizarnazabal,795,6.5463,121.44264699143
Ajalvir,Madrid,Ajalvir,4676,19.620,238.328236493374
Ajamil de Cameros,La Rioja,Ajamil de Cameros,67,66.1542,1.01278528045083
Ajangiz,Bizkaia,Ajangiz,483,7.13,67.741935483871
Ajofrín,Toledo,Ajofrín,2236,35.1036,63.697170660559
Alacón,Teruel,Alacón,235,47.4958,4.94780591125952
Aladrén,Zaragoza,Aladrén,58,21.0563,2.75452002488566
Alaejos,Valladolid,Alaejos,1380,102.4884,13.4649384710855
Alagón,Zaragoza,Alagón,7121,24.19,294.377842083506
Alagón del Río,Cáceres,Alagón del Río,933,14.29,65.2904128761372
Alaior,Illes Balears,Alaior,9477,109.864,86.2611956600888
Alájar,Huelva,Alájar,814,41.4594,19.6336657066914
Alajeró,Santa Cruz de Tenerife,Alajeró,2047,49.61,41.2618423704898
Alameda,Málaga,Alameda,5453,65.1140,83.7454310900882
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,67,32.2749,2.07591657913735
Alameda de la Sagra,Toledo,Alameda de la Sagra,3757,33.0,113.848484848485
Alameda del Valle,Madrid,Alameda del Valle,246,25.0056,9.83779633362127
Alamedilla,Granada,Alamedilla,564,90.713,6.21741095543086
