codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia
43001,Aiguamúrcia,Tarragona,Cataluña,Aiguamúrcia,1,2
17002,Aiguaviva,Girona,Cataluña,Aiguaviva,1,1
3004,Aigües,Alicante,Comunidad Valenciana,Aigües,1,3
12002,Aín,Castellón,Comunidad Valenciana,Aín,1,2
22907,Aínsa-Sobrarbe,Huesca,Aragón,Aínsa-Sobrarbe,2,1
50006,Ainzón,Zaragoza,Aragón,Ainzón,2,1
22006,Aisa,Huesca,Aragón,Aisa,2,1
25038,Aitona,Lleida,Cataluña,Aitona,2,1
20003,Aizarnazabal,Gipuzkoa,País Vasco,Aizarnazabal,1,2
28002,Ajalvir,Madrid,Comunidad de Madrid,Ajalvir,3,2
26004,Ajamil de Cameros,La Rioja,La Rioja,Ajamil de Cameros,2,2
48911,Ajangiz,Bizkaia,País Vasco,Ajangiz,1,2
45001,Ajofrín,Toledo,Castilla-La Mancha,Ajofrín,0,2
44006,Alacón,Teruel,Aragón,Alacón,2,1
50007,Aladrén,Zaragoza,Aragón,Aladrén,2,1
47004,Alaejos,Valladolid,Castilla y León,Alaejos,3,0
50008,Alagón,Zaragoza,Aragón,Alagón,2,1
10903,Alagón del Río,Cáceres,Extremadura,Alagón del Río,0,3
7002,Alaior,Illes Balears,Islas Baleares,Alaior,1,2
21001,Alájar,Huelva,Andalucía,Alájar,1,0
38003,Alajeró,Santa Cruz de Tenerife,Islas Canarias,Alajeró,1,2
29001,Alameda,Málaga,Andalucía,Alameda,1,2
37005,Alameda de Gardón (La),Salamanca,Castilla y León,La Alameda de Gardón,0,2
45002,Alameda de la Sagra,Toledo,Castilla-La Mancha,Alameda de la Sagra,0,2
28003,Alameda del Valle,Madrid,Comunidad de Madrid,Alameda del Valle,3,2
18002,Alamedilla,Granada,Andalucía,Alamedilla,1,1
37006,Alamedilla (La),Salamanca,Castilla y León,La Alamedilla,0,2
13003,Alamillo,Ciudad Real,Castilla-La Mancha,Alamillo,3,2
19004,Alaminos,Guadalajara,Castilla-La Mancha,Alaminos,0,1
28004,Álamo (El),Madrid,Comunidad de Madrid,El Álamo,3,2
25004,Alamús (Els),Lleida,Cataluña,Els Alamús,2,1
6004,Alange,Badajoz,Extremadura,Alange,3,0
41002,Alanís,Sevilla,Andalucía,Alanís,2,0
46005,Alaquàs,Valencia,Comunidad Valenciana,Alaquàs,1,0
34005,Alar del Rey,Palencia,Castilla y León,Alar del Rey,2,2
37007,Alaraz,Salamanca,Castilla y León,Alaraz,0,2
50009,Alarba,Zaragoza,Aragón,Alarba,2,1
16003,Alarcón,Cuenca,Castilla-La Mancha,Alarcón,2,2
19005,Alarilla,Guadalajara,Castilla-La Mancha,Alarilla,0,1
7001,Alaró,Illes Balears,Islas Baleares,Alaró,1,2
25005,Alàs i Cerc,Lleida,Cataluña,Alàs i Cerc,2,1
2002,Alatoz,Albacete,Castilla-La Mancha,Alatoz,2,2
44007,Alba,Teruel,Aragón,Alba,2,1
34006,Alba de Cerrato,Palencia,Castilla y León,Alba de Cerrato,2,2
37008,Alba de Tormes,Salamanca,Castilla y León,Alba de Tormes,0,2
37009,Alba de Yeltes,Salamanca,Castilla y León,Alba de Yeltes,0,2
2003,Albacete,Albacete,Castilla-La Mancha,Albacete,2,2
25006,Albagés (L'),Lleida,Cataluña,L' Albagés,2,1
46006,Albaida,Valencia,Comunidad Valenciana,Albaida,1,0
41003,Albaida del Aljarafe,Sevilla,Andalucía,Albaida del Aljarafe,2,0
46007,Albal,Valencia,Comunidad Valenciana,Albal,1,0
10007,Albalá,Cáceres,Extremadura,Albalá,0,3
13004,Albaladejo,Ciudad Real,Castilla-La Mancha,Albaladejo,3,2
16004,Albaladejo del Cuende,Cuenca,Castilla-La Mancha,Albaladejo del Cuende,2,2
46008,Albalat de la Ribera,Valencia,Comunidad Valenciana,Albalat de la Ribera,1,0
46009,Albalat dels Sorells,Valencia,Comunidad Valenciana,Albalat dels Sorells,1,0
46010,Albalat dels Tarongers,Valencia,Comunidad Valenciana,Albalat dels Tarongers,1,0
22007,Albalate de Cinca,Huesca,Aragón,Albalate de Cinca,2,1
16005,Albalate de las Nogueras,Cuenca,Castilla-La Mancha,Albalate de las Nogueras,2,2
19006,Albalate de Zorita,Guadalajara,Castilla-La Mancha,Albalate de Zorita,0,1
44008,Albalate del Arzobispo,Teruel,Aragón,Albalate del Arzobispo,2,1
22008,Albalatillo,Huesca,Aragón,Albalatillo,2,1
4004,Albanchez,Almería,Andalucía,Albanchez,1,2
23001,Albanchez de Mágina,Jaén,Andalucía,Albanchez de Mágina,2,2
17003,Albanyà,Girona,Cataluña,Albanyà,1,1
19007,Albares,Guadalajara,Castilla-La Mancha,Albares,0,1
44009,Albarracín,Teruel,Aragón,Albarracín,2,1
45003,Albarreal de Tajo,Toledo,Castilla-La Mancha,Albarreal de Tajo,0,2
2004,Albatana,Albacete,Castilla-La Mancha,Albatana,2,2
25007,Albatàrrec,Lleida,Cataluña,Albatàrrec,2,1
3005,Albatera,Alicante,Comunidad Valenciana,Albatera,1,3
22009,Albelda,Huesca,Aragón,Albelda,2,1
26005,Albelda de Iregua,La Rioja,La Rioja,Albelda de Iregua,2,2
16006,Albendea,Cuenca,Castilla-La Mancha,Albendea,2,2
19008,Albendiego,Guadalajara,Castilla-La Mancha,Albendiego,0,1
44010,Albentosa,Teruel,Aragón,Albentosa,2,1
37010,Alberca (La),Salamanca,Castilla y León,La Alberca,0,2
16007,Alberca de Záncara (La),Cuenca,Castilla-La Mancha,La Alberca de Záncara,2,2
37011,Alberguería de Argañán (La),Salamanca,Castilla y León,La Alberguería de Argañán,0,2
46011,Alberic,Valencia,Comunidad Valenciana,Alberic,1,0
26006,Alberite,La Rioja,La Rioja,Alberite,2,2
50010,Alberite de San Juan,Zaragoza,Aragón,Alberite de San Juan,2,1
22011,Albero Alto,Huesca,Aragón,Albero Alto,2,1
22012,Albero Bajo,Huesca,Aragón,Albero Bajo,2,1
22013,Alberuela de Tubo,Huesca,Aragón,Alberuela de Tubo,2,1
25008,Albesa,Lleida,Cataluña,Albesa,2,1
50011,Albeta,Zaragoza,Aragón,Albeta,2,1
25009,Albi (L'),Lleida,Cataluña,L' Albi,2,1
9009,Albillos,Burgos,Castilla y León,Albillos,2,2
43002,Albinyana,Tarragona,Cataluña,Albinyana,1,2
43003,Albiol (L'),Tarragona,Cataluña,L' Albiol,1,2
20004,Albiztur,Gipuzkoa,País Vasco,Albiztur,1,2
12003,Albocàsser,Castellón,Comunidad Valenciana,Albocàsser,1,2
4005,Alboloduy,Almería,Andalucía,Alboloduy,1,2
18003,Albolote,Granada,Andalucía,Albolote,1,1
18004,Albondón,Granada,Andalucía,Albondón,1,1
17004,Albons,Girona,Cataluña,Albons,1,1
46012,Alborache,Valencia,Comunidad Valenciana,Alborache,1,0
46013,Alboraia/Alboraya,Valencia,Comunidad Valenciana,Alboraia/Alboraya,1,0
2005,Alborea,Albacete,Castilla-La Mancha,Alborea,2,2
50012,Alborge,Zaragoza,Aragón,Alborge,2,1
5005,Albornos,Ávila,Castilla y León,Albornos,0,1
4006,Albox,Almería,Andalucía,Albox,1,2
30004,Albudeite,Murcia,Región de Murcia,Albudeite,1,2
6005,Albuera (La),Badajoz,Extremadura,La Albuera,3,0
46014,Albuixech,Valencia,Comunidad Valenciana,Albuixech,1,0
18005,Albuñán,Granada,Andalucía,Albuñán,1,1
18006,Albuñol,Granada,Andalucía,Albuñol,1,1
18007,Albuñuelas,Granada,Andalucía,Albuñuelas,1,1
6006,Alburquerque,Badajoz,Extremadura,Alburquerque,3,0
45004,Alcabón,Toledo,Castilla-La Mancha,Alcabón,0,2
2006,Alcadozo,Albacete,Castilla-La Mancha,Alcadozo,2,2
44011,Alcaine,Teruel,Aragón,Alcaine,2,1
50013,Alcalá de Ebro,Zaragoza,Aragón,Alcalá de Ebro,2,1
41004,Alcalá de Guadaíra,Sevilla,Andalucía,Alcalá de Guadaíra,2,0
22014,Alcalá de Gurrea,Huesca,Aragón,Alcalá de Gurrea,2,1
28005,Alcalá de Henares,Madrid,Comunidad de Madrid,Alcalá de Henares,3,2
44012,Alcalá de la Selva,Teruel,Aragón,Alcalá de la Selva,2,1
16008,Alcalá de la Vega,Cuenca,Castilla-La Mancha,Alcalá de la Vega,2,2
11001,Alcalá de los Gazules,Cádiz,Andalucía,Alcalá de los Gazules,1,0
50014,Alcalá de Moncayo,Zaragoza,Aragón,Alcalá de Moncayo,2,1
12004,Alcalà de Xivert,Castellón,Comunidad Valenciana,Alcalà de Xivert,1,2
2007,Alcalá del Júcar,Albacete,Castilla-La Mancha,Alcalá del Júcar,2,2
22015,Alcalá del Obispo,Huesca,Aragón,Alcalá del Obispo,2,1
41005,Alcalá del Río,Sevilla,Andalucía,Alcalá del Río,2,0
11002,Alcalá del Valle,Cádiz,Andalucía,Alcalá del Valle,1,0
23002,Alcalá la Real,Jaén,Andalucía,Alcalá la Real,2,2
3006,Alcalalí,Alicante,Comunidad Valenciana,Alcalalí,1,3
22016,Alcampell,Huesca,Aragón,Alcampell,2,1
26007,Alcanadre,La Rioja,La Rioja,Alcanadre,2,2
43004,Alcanar,Tarragona,Cataluña,Alcanar,1,2
25010,Alcanó,Lleida,Cataluña,Alcanó,2,1
10008,Alcántara,Cáceres,Extremadura,Alcántara,0,3
30005,Alcantarilla,Murcia,Región de Murcia,Alcantarilla,1,2
46016,Alcàntera de Xúquer,Valencia,Comunidad Valenciana,Alcàntera de Xúquer,1,0
16009,Alcantud,Cuenca,Castilla-La Mancha,Alcantud,2,2
49003,Alcañices,Zamora,Castilla y León,Alcañices,3,2
44013,Alcañiz,Teruel,Aragón,Alcañiz,2,1
45005,Alcañizo,Toledo,Castilla-La Mancha,Alcañizo,0,2
14003,Alcaracejos,Córdoba,Andalucía,Alcaracejos,2,2
2008,Alcaraz,Albacete,Castilla-La Mancha,Alcaraz,2,2
25011,Alcarràs,Lleida,Cataluña,Alcarràs,2,1
46015,Alcàsser,Valencia,Comunidad Valenciana,Alcàsser,1,0
29002,Alcaucín,Málaga,Andalucía,Alcaucín,1,2
23003,Alcaudete,Jaén,Andalucía,Alcaudete,2,2
45006,Alcaudete de la Jara,Toledo,Castilla-La Mancha,Alcaudete de la Jara,0,2
13005,Alcázar de San Juan,Ciudad Real,Castilla-La Mancha,Alcázar de San Juan,3,2
16010,Alcázar del Rey,Cuenca,Castilla-La Mancha,Alcázar del Rey,2,2
47005,Alcazarén,Valladolid,Castilla y León,Alcazarén,3,0
30902,Alcázares (Los),Murcia,Región de Murcia,Los Alcázares,1,2
13006,Alcoba,Ciudad Real,Castilla-La Mancha,Alcoba,3,2
28006,Alcobendas,Madrid,Comunidad de Madrid,Alcobendas,3,2
19009,Alcocer,Guadalajara,Castilla-La Mancha,Alcocer,0,1
3007,Alcocer de Planes,Alicante,Comunidad Valenciana,Alcocer de Planes,1,3
9010,Alcocero de Mola,Burgos,Castilla y León,Alcocero de Mola,2,2
16011,Alcohujate,Cuenca,Castilla-La Mancha,Alcohujate,2,2
4007,Alcolea,Almería,Andalucía,Alcolea,1,2
13007,Alcolea de Calatrava,Ciudad Real,Castilla-La Mancha,Alcolea de Calatrava,3,2
22017,Alcolea de Cinca,Huesca,Aragón,Alcolea de Cinca,2,1
19010,Alcolea de las Peñas,Guadalajara,Castilla-La Mancha,Alcolea de las Peñas,0,1
45007,Alcolea de Tajo,Toledo,Castilla-La Mancha,Alcolea de Tajo,0,2
19011,Alcolea del Pinar,Guadalajara,Castilla-La Mancha,Alcolea del Pinar,0,1
41006,Alcolea del Río,Sevilla,Andalucía,Alcolea del Río,2,0
3008,Alcoleja,Alicante,Comunidad Valenciana,Alcoleja,1,3
25012,Alcoletge,Lleida,Cataluña,Alcoletge,2,1
10009,Alcollarín,Cáceres,Extremadura,Alcollarín,0,3
42006,Alconaba,Soria,Castilla y León,Alconaba,3,1
37012,Alconada,Salamanca,Castilla y León,Alconada,0,2
40005,Alconada de Maderuelo,Segovia,Castilla y León,Alconada de Maderuelo,3,1
6007,Alconchel,Badajoz,Extremadura,Alconchel,3,0
50015,Alconchel de Ariza,Zaragoza,Aragón,Alconchel de Ariza,2,1
16012,Alconchel de la Estrella,Cuenca,Castilla-La Mancha,Alconchel de la Estrella,2,2
6008,Alconera,Badajoz,Extremadura,Alconera,3,0
4008,Alcóntar,Almería,Andalucía,Alcóntar,1,2
12005,Alcora (L'),Castellón,Comunidad Valenciana,L' Alcora,1,2
28007,Alcorcón,Madrid,Comunidad de Madrid,Alcorcón,3,2
44014,Alcorisa,Teruel,Aragón,Alcorisa,2,1
19013,Alcoroches,Guadalajara,Castilla-La Mancha,Alcoroches,0,1
43005,Alcover,Tarragona,Cataluña,Alcover,1,2
3009,Alcoy/Alcoi,Alicante,Comunidad Valenciana,Alcoy/Alcoi,1,3
22018,Alcubierre,Huesca,Aragón,Alcubierre,2,1
42007,Alcubilla de Avellaneda,Soria,Castilla y León,Alcubilla de Avellaneda,3,1
42008,Alcubilla de las Peñas,Soria,Castilla y León,Alcubilla de las Peñas,3,1
49004,Alcubilla de Nogales,Zamora,Castilla y León,Alcubilla de Nogales,3,2
13008,Alcubillas,Ciudad Real,Castilla-La Mancha,Alcubillas,3,2
46018,Alcublas,Valencia,Comunidad Valenciana,Alcublas,1,0
7003,Alcúdia,Illes Balears,Islas Baleares,Alcúdia,1,2
46019,Alcúdia (L'),Valencia,Comunidad Valenciana,L' Alcúdia,1,0
46020,Alcúdia de Crespins (L'),Valencia,Comunidad Valenciana,L' Alcúdia de Crespins,1,0
4009,Alcudia de Monteagud,Almería,Andalucía,Alcudia de Monteagud,1,2
12006,Alcudia de Veo,Castellón,Comunidad Valenciana,Alcudia de Veo,1,2
10010,Alcuéscar,Cáceres,Extremadura,Alcuéscar,0,3
46021,Aldaia,Valencia,Comunidad Valenciana,Aldaia,1,0
43904,Aldea (L'),Tarragona,Cataluña,L' Aldea,1,2
47006,Aldea de San Miguel,Valladolid,Castilla y León,Aldea de San Miguel,3,0
35020,Aldea de San Nicolás (La),Las Palmas,Islas Canarias,La Aldea de San Nicolás,1,2
10012,Aldea del Cano,Cáceres,Extremadura,Aldea del Cano,0,3
28008,Aldea del Fresno,Madrid,Comunidad de Madrid,Aldea del Fresno,3,2
37015,Aldea del Obispo,Salamanca,Castilla y León,Aldea del Obispo,0,2
10013,Aldea del Obispo (La),Cáceres,Extremadura,La Aldea del Obispo,0,3
13009,Aldea del Rey,Ciudad Real,Castilla-La Mancha,Aldea del Rey,3,2
45008,Aldea en Cabo,Toledo,Castilla-La Mancha,Aldea en Cabo,0,2
40012,Aldea Real,Segovia,Castilla y León,Aldea Real,3,1
10011,Aldeacentenera,Cáceres,Extremadura,Aldeacentenera,0,3
37013,Aldeacipreste,Salamanca,Castilla y León,Aldeacipreste,0,2
37014,Aldeadávila de la Ribera,Salamanca,Castilla y León,Aldeadávila de la Ribera,0,2
42009,Aldealafuente,Soria,Castilla y León,Aldealafuente,3,1
40006,Aldealcorvo,Segovia,Castilla y León,Aldealcorvo,3,1
37016,Aldealengua,Salamanca,Castilla y León,Aldealengua,0,2
40007,Aldealengua de Pedraza,Segovia,Castilla y León,Aldealengua de Pedraza,3,1
40008,Aldealengua de Santa María,Segovia,Castilla y León,Aldealengua de Santa María,3,1
42010,Aldealices,Soria,Castilla y León,Aldealices,3,1
42011,Aldealpozo,Soria,Castilla y León,Aldealpozo,3,1
42012,Aldealseñor,Soria,Castilla y León,Aldealseñor,3,1
47007,Aldeamayor de San Martín,Valladolid,Castilla y León,Aldeamayor de San Martín,3,0
45009,Aldeanueva de Barbarroya,Toledo,Castilla-La Mancha,Aldeanueva de Barbarroya,0,2
26008,Aldeanueva de Ebro,La Rioja,La Rioja,Aldeanueva de Ebro,2,2
37017,Aldeanueva de Figueroa,Salamanca,Castilla y León,Aldeanueva de Figueroa,0,2
19015,Aldeanueva de Guadalajara,Guadalajara,Castilla-La Mancha,Aldeanueva de Guadalajara,0,1
40009,Aldeanueva de la Serrezuela,Segovia,Castilla y León,Aldeanueva de la Serrezuela,3,1
37018,Aldeanueva de la Sierra,Salamanca,Castilla y León,Aldeanueva de la Sierra,0,2
10014,Aldeanueva de la Vera,Cáceres,Extremadura,Aldeanueva de la Vera,0,3
45010,Aldeanueva de San Bartolomé,Toledo,Castilla-La Mancha,Aldeanueva de San Bartolomé,0,2
5007,Aldeanueva de Santa Cruz,Ávila,Castilla y León,Aldeanueva de Santa Cruz,0,1
10015,Aldeanueva del Camino,Cáceres,Extremadura,Aldeanueva del Camino,0,3
40010,Aldeanueva del Codonal,Segovia,Castilla y León,Aldeanueva del Codonal,3,1
23004,Aldeaquemada,Jaén,Andalucía,Aldeaquemada,2,2
37019,Aldearrodrigo,Salamanca,Castilla y León,Aldearrodrigo,0,2
37020,Aldearrubia,Salamanca,Castilla y León,Aldearrubia,0,2
5008,Aldeaseca,Ávila,Castilla y León,Aldeaseca,0,1
37021,Aldeaseca de Alba,Salamanca,Castilla y León,Aldeaseca de Alba,0,2
37022,Aldeaseca de la Frontera,Salamanca,Castilla y León,Aldeaseca de la Frontera,0,2
40013,Aldeasoña,Segovia,Castilla y León,Aldeasoña,3,1
37023,Aldeatejada,Salamanca,Castilla y León,Aldeatejada,0,2
37024,Aldeavieja de Tormes,Salamanca,Castilla y León,Aldeavieja de Tormes,0,2
40014,Aldehorno,Segovia,Castilla y León,Aldehorno,3,1
5010,Aldehuela (La),Ávila,Castilla y León,La Aldehuela,0,1
10016,Aldehuela de Jerte,Cáceres,Extremadura,Aldehuela de Jerte,0,3
37025,Aldehuela de la Bóveda,Salamanca,Castilla y León,Aldehuela de la Bóveda,0,2
50016,Aldehuela de Liestos,Zaragoza,Aragón,Aldehuela de Liestos,2,1
42013,Aldehuela de Periáñez,Soria,Castilla y León,Aldehuela de Periáñez,3,1
37026,Aldehuela de Yeltes,Salamanca,Castilla y León,Aldehuela de Yeltes,0,2
40015,Aldehuela del Codonal,Segovia,Castilla y León,Aldehuela del Codonal,3,1
42014,Aldehuelas (Las),Soria,Castilla y León,Las Aldehuelas,3,1
18010,Aldeire,Granada,Andalucía,Aldeire,1,1
40016,Aldeonte,Segovia,Castilla y León,Aldeonte,3,1
43006,Aldover,Tarragona,Cataluña,Aldover,1,2
30006,Aledo,Murcia,Región de Murcia,Aledo,1,2
20005,Alegia,Gipuzkoa,País Vasco,Alegia,1,2
1001,Alegría-Dulantzi,Álava,País Vasco,Alegría-Dulantzi,2,2
43007,Aleixar (L'),Tarragona,Cataluña,L' Aleixar,1,2
8003,Alella,Barcelona,Cataluña,Alella,1,2
42015,Alentisque,Soria,Castilla y León,Alentisque,3,1
22019,Alerre,Huesca,Aragón,Alerre,2,1
26009,Alesanco,La Rioja,La Rioja,Alesanco,2,2
26010,Alesón,La Rioja,La Rioja,Alesón,2,2
18011,Alfacar,Granada,Andalucía,Alfacar,1,1
46022,Alfafar,Valencia,Comunidad Valenciana,Alfafar,1,0
3010,Alfafara,Alicante,Comunidad Valenciana,Alfafara,1,3
50017,Alfajarín,Zaragoza,Aragón,Alfajarín,2,1
44016,Alfambra,Teruel,Aragón,Alfambra,2,1
50018,Alfamén,Zaragoza,Aragón,Alfamén,2,1
22020,Alfántega,Huesca,Aragón,Alfántega,2,1
43008,Alfara de Carles,Tarragona,Cataluña,Alfara de Carles,1,2
46024,Alfara de la Baronia,Valencia,Comunidad Valenciana,Alfara de la Baronia,1,0
46025,Alfara del Patriarca,Valencia,Comunidad Valenciana,Alfara del Patriarca,1,0
49005,Alfaraz de Sayago,Zamora,Castilla y León,Alfaraz de Sayago,3,2
29003,Alfarnate,Málaga,Andalucía,Alfarnate,1,2
29004,Alfarnatejo,Málaga,Andalucía,Alfarnatejo,1,2
26011,Alfaro,La Rioja,La Rioja,Alfaro,2,2
46026,Alfarp,Valencia,Comunidad Valenciana,Alfarp,1,0
25013,Alfarràs,Lleida,Cataluña,Alfarràs,2,1
46027,Alfarrasí,Valencia,Comunidad Valenciana,Alfarrasí,1,0
3011,Alfàs del Pi (L'),Alicante,Comunidad Valenciana,L' Alfàs del Pi,1,3
46023,Alfauir,Valencia,Comunidad Valenciana,Alfauir,1,0
