municipio,provincia,municipio_nombre_humano,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia
Balboa,León,Balboa,602.22,2,-,0,1237.0,130467,6.0,586
Balconchán,Zaragoza,Balconchán,-,-,-,0,1674.0,154117,9.0,720
Baldellou,Huesca,Baldellou,0,0,-,0,1513.0,123979,8.0,636
Baleira,Lugo,Baleira,572.83,16,5.83,1,1159.0,119979,7.0,588
Balenyà,Barcelona,Balenyà,1272.22,72,-,0,2946.0,272259,16.0,1367
Baliarrain,Gipuzkoa,Baliarrain,-,-,-,0,3234.0,289436,16.0,1275
Ballestero (El),Albacete,El Ballestero,386.39,9,-,0,1300.0,152281,7.0,659
Ballesteros de Calatrava,Ciudad Real,Ballesteros de Calatrava,386.41,6,-,0,936.0,96893,5.0,461
Ballobar,Huesca,Ballobar,490.2,1,-,0,1513.0,123979,8.0,636
Balmaseda,Bizkaia,Balmaseda,2246.44,105,-,0,2853.0,269369,13.0,1124
Balones,Alicante,Balones,301.08,3,1.0,1,1663.0,176931,9.0,845
Balsa de Ves,Albacete,Balsa de Ves,309.91,9,-,0,1300.0,152281,7.0,659
Balsareny,Barcelona,Balsareny,821.69,49,5.76,2,2946.0,272259,16.0,1367
Baltanás,Palencia,Baltanás,403.05,20,-,0,1352.0,128845,7.0,499
Baltar,Ourense,Baltar,389.49,9,-,0,1434.0,156580,6.0,564
Banastás,Huesca,Banastás,1152.6,3,-,0,1513.0,123979,8.0,636
Bande,Ourense,Bande,316.74,20,-,0,1434.0,156580,6.0,564
Banyalbufar,Illes Balears,Banyalbufar,-,-,-,0,3139.0,358810,14.0,1392
Banyeres de Mariola,Alicante,Banyeres de Mariola,-,-,-,0,1663.0,176931,9.0,845
Banyeres del Penedès,Tarragona,Banyeres del Penedès,1178.01,109,6.09,1,1552.0,140182,9.0,736
Banyoles,Girona,Banyoles,2685.64,109,9.31,4,2169.0,193575,11.0,941
Baña (A),A Coruña,A Baña,768.47,11,-,0,1583.0,156959,8.0,666
Bañares,La Rioja,Bañares,533.18,16,-,0,1457.0,148105,8.0,703
Bañeza (La),León,La Bañeza,747.96,185,4.8,10,1237.0,130467,6.0,586
Bañobárez,Salamanca,Bañobárez,363.28,2,-,0,1673.0,156058,9.0,801
Bañón,Teruel,Bañón,-,-,-,0,1068.0,103002,6.0,501
Baños de Ebro/Mañueta,Álava,Baños de Ebro/Mañueta,-,-,-,0,2564.0,242404,12.0,986
Baños de la Encina,Jaén,Baños de la Encina,582.49,27,4.57,1,989.0,105216,6.0,496
Baños de Molgas,Ourense,Baños de Molgas,341.1,22,-,0,1434.0,156580,6.0,564
Baños de Montemayor,Cáceres,Baños de Montemayor,-,-,-,0,1132.0,119586,6.0,497
Baños de Río Tobía,La Rioja,Baños de Río Tobía,703.22,17,-,0,1457.0,148105,8.0,703
Baños de Rioja,La Rioja,Baños de Rioja,613.41,23,-,0,1457.0,148105,8.0,703
Baños de Tajo,Guadalajara,Baños de Tajo,0,0,-,0,1372.0,146012,8.0,691
Baños de Valdearados,Burgos,Baños de Valdearados,400.4,11,-,0,1445.0,138383,8.0,633
Bañuelos,Guadalajara,Bañuelos,72.22,1,-,0,1372.0,146012,8.0,691
Bañuelos de Bureba,Burgos,Bañuelos de Bureba,350.0,1,-,0,1445.0,138383,8.0,633
Baquerín de Campos,Palencia,Baquerín de Campos,0,0,-,0,1352.0,128845,7.0,499
Barajas de Melo,Cuenca,Barajas de Melo,686.59,59,6.36,2,1139.0,119313,8.0,608
Barakaldo,Bizkaia,Barakaldo,3323.72,1091,-,0,2853.0,269369,13.0,1124
Baralla,Lugo,Baralla,613.46,21,-,0,1159.0,119979,7.0,588
Barañáin/Barañain,Navarra,Barañáin/Barañain,1717.53,24,9.78,22,1691.0,164441,10.0,981
Baraona,Soria,Baraona,97.28,6,-,0,1288.0,129163,7.0,604
Barásoain,Navarra,Barásoain,1150.27,6,-,0,1691.0,164441,10.0,981
Barbadás,Ourense,Barbadás,1306.15,278,5.07,8,1434.0,156580,6.0,564
Barbadillo,Salamanca,Barbadillo,389.23,12,-,0,1673.0,156058,9.0,801
Barbadillo de Herreros,Burgos,Barbadillo de Herreros,660.26,2,13.0,1,1445.0,138383,8.0,633
Barbadillo del Mercado,Burgos,Barbadillo del Mercado,630.2,3,-,0,1445.0,138383,8.0,633
Barbadillo del Pez,Burgos,Barbadillo del Pez,199.0,2,-,0,1445.0,138383,8.0,633
Barbalos,Salamanca,Barbalos,0,0,-,0,1673.0,156058,9.0,801
Barbarin,Navarra,Barbarin,477.18,3,-,0,1691.0,164441,10.0,981
Barbastro,Huesca,Barbastro,933.26,102,5.52,10,1513.0,123979,8.0,636
Barbate,Cádiz,Barbate,2106.79,248,9.92,64,1593.0,158397,9.0,712
Barbens,Lleida,Barbens,348.27,7,-,0,1159.0,114344,7.0,654
Barberà de la Conca,Tarragona,Barberà de la Conca,-,-,-,0,1552.0,140182,9.0,736
Barberà del Vallès,Barcelona,Barberà del Vallès,1593.69,467,10.31,7,2946.0,272259,16.0,1367
Bárboles,Zaragoza,Bárboles,-,-,-,0,1674.0,154117,9.0,720
Barbolla,Segovia,Barbolla,-,-,-,0,1329.0,133270,9.0,790
Barbués,Huesca,Barbués,319.19,2,-,0,1513.0,123979,8.0,636
Barbuñales,Huesca,Barbuñales,347.95,2,-,0,1513.0,123979,8.0,636
Barca,Soria,Barca,-,-,-,0,1288.0,129163,7.0,604
Bárcabo,Huesca,Bárcabo,666.33,7,-,0,1513.0,123979,8.0,636
Barcarrota,Badajoz,Barcarrota,515.07,42,-,0,1149.0,126096,7.0,530
Barcelona,Barcelona,Barcelona,6772.94,17847,-,5494,2946.0,272259,16.0,1367
Bárcena de Campos,Palencia,Bárcena de Campos,257.14,1,-,0,1352.0,128845,7.0,499
Bárcena de Cicero,Cantabria,Bárcena de Cicero,1046.68,399,12.06,7,1737.0,156073,11.0,881
Bárcena de Pie de Concha,Cantabria,Bárcena de Pie de Concha,-,-,-,0,1737.0,156073,11.0,881
Barceo,Salamanca,Barceo,0,0,-,0,1673.0,156058,9.0,801
Barchín del Hoyo,Cuenca,Barchín del Hoyo,639.85,4,-,0,1139.0,119313,8.0,608
Barcial de la Loma,Valladolid,Barcial de la Loma,-,-,-,0,1497.0,151208,8.0,668
Barcial del Barco,Zamora,Barcial del Barco,-,-,-,0,1151.0,118790,5.0,497
Barcience,Toledo,Barcience,669.29,28,-,0,1023.0,103420,7.0,582
Barco de Ávila (El),Ávila,El Barco de Ávila,826.38,60,5.01,4,1022.0,99417,6.0,520
Barco de Valdeorras (O),Ourense,O Barco de Valdeorras,816.43,124,4.47,5,1434.0,156580,6.0,564
Barcones,Soria,Barcones,-,-,-,0,1288.0,129163,7.0,604
Bardallur,Zaragoza,Bardallur,-,-,-,0,1674.0,154117,9.0,720
Bareyo,Cantabria,Bareyo,1737.65,123,6.67,1,1737.0,156073,11.0,881
Bargas,Toledo,Bargas,1140.79,124,7.84,21,1023.0,103420,7.0,582
Bargota,Navarra,Bargota,721.21,6,-,0,1691.0,164441,10.0,981
Barillas,Navarra,Barillas,300.06,3,-,0,1691.0,164441,10.0,981
Barjas,León,Barjas,40.4,1,-,0,1237.0,130467,6.0,586
Barlovento,Santa Cruz de Tenerife,Barlovento,-,-,-,0,1906.0,174893,10.0,793
Baronia de Rialb (La),Lleida,La Baronia de Rialb,402.59,3,-,0,1159.0,114344,7.0,654
Barracas,Castellón,Barracas,648.21,3,-,0,1133.0,115966,8.0,653
Barrachina,Teruel,Barrachina,-,-,-,0,1068.0,103002,6.0,501
Barraco (El),Ávila,El Barraco,237.07,74,-,0,1022.0,99417,6.0,520
Barrado,Cáceres,Barrado,279.17,7,-,0,1132.0,119586,6.0,497
Barrax,Albacete,Barrax,534.82,19,-,0,1300.0,152281,7.0,659
Barreiros,Lugo,Barreiros,1123.52,210,12.17,33,1159.0,119979,7.0,588
Barrika,Bizkaia,Barrika,2316.67,43,-,0,2853.0,269369,13.0,1124
Barrio de Muñó,Burgos,Barrio de Muñó,0,0,-,0,1445.0,138383,8.0,633
Barriopedro,Guadalajara,Barriopedro,231.71,1,-,0,1372.0,146012,8.0,691
Barrios (Los),Cádiz,Los Barrios,1352.32,158,6.09,11,1593.0,158397,9.0,712
Barrios de Bureba (Los),Burgos,Los Barrios de Bureba,573.64,13,7.5,1,1445.0,138383,8.0,633
Barrios de Colina,Burgos,Barrios de Colina,1074.32,1,-,0,1445.0,138383,8.0,633
Barrios de Luna (Los),León,Los Barrios de Luna,213.92,7,-,0,1237.0,130467,6.0,586
Barro,Pontevedra,Barro,1114.43,38,3.85,2,1893.0,193302,9.0,818
Barromán,Ávila,Barromán,231.48,5,-,0,1022.0,99417,6.0,520
Barruecopardo,Salamanca,Barruecopardo,586.97,7,-,0,1673.0,156058,9.0,801
Barruelo de Santullán,Palencia,Barruelo de Santullán,413.19,56,3.14,2,1352.0,128845,7.0,499
Barruelo del Valle,Valladolid,Barruelo del Valle,-,-,-,0,1497.0,151208,8.0,668
Barrundia,Álava,Barrundia,1637.08,11,-,0,2564.0,242404,12.0,986
Barx,Valencia,Barx,-,-,-,0,1445.0,163450,11.0,1042
Barxeta,Valencia,Barxeta,-,-,-,0,1445.0,163450,11.0,1042
Basaburua,Navarra,Basaburua,1368.97,9,2.08,1,1691.0,164441,10.0,981
Basardilla,Segovia,Basardilla,-,-,6.65,2,1329.0,133270,9.0,790
Basauri,Bizkaia,Basauri,3223.6,222,-,0,2853.0,269369,13.0,1124
Bàscara,Girona,Bàscara,841.67,24,8.97,1,2169.0,193575,11.0,941
Basconcillos del Tozo,Burgos,Basconcillos del Tozo,130.92,8,-,0,1445.0,138383,8.0,633
Báscones de Ojeda,Palencia,Báscones de Ojeda,708.33,1,-,0,1352.0,128845,7.0,499
Bascuñana,Burgos,Bascuñana,341.12,2,-,0,1445.0,138383,8.0,633
Bascuñana de San Pedro,Cuenca,Bascuñana de San Pedro,0,0,-,0,1139.0,119313,8.0,608
Bassella,Lleida,Bassella,529.79,1,-,0,1159.0,114344,7.0,654
Bastida (La),Salamanca,La Bastida,0,0,-,0,1673.0,156058,9.0,801
Batea,Tarragona,Batea,-,-,-,0,1552.0,140182,9.0,736
Baterno,Badajoz,Baterno,0,0,-,0,1149.0,126096,7.0,530
Batres,Madrid,Batres,1363.21,27,-,0,3314.0,343514,16.0,1414
Bausen,Lleida,Bausen,1746.01,8,-,0,1159.0,114344,7.0,654
Bayárcal,Almería,Bayárcal,685.2,7,-,0,1168.0,109377,8.0,668
Bayarque,Almería,Bayarque,576.22,3,-,0,1168.0,109377,8.0,668
Bayubas de Abajo,Soria,Bayubas de Abajo,-,-,-,0,1288.0,129163,7.0,604
Bayubas de Arriba,Soria,Bayubas de Arriba,-,-,-,0,1288.0,129163,7.0,604
Baza,Granada,Baza,781.57,242,4.41,14,1691.0,181669,8.0,760
Baztan,Navarra,Baztan,987.97,47,8.0,2,1691.0,164441,10.0,981
Bea,Teruel,Bea,-,-,-,0,1068.0,103002,6.0,501
Beade,Ourense,Beade,747.11,15,-,0,1434.0,156580,6.0,564
Beamud,Cuenca,Beamud,317.1,2,-,0,1139.0,119313,8.0,608
Beariz,Ourense,Beariz,456.19,9,6.25,1,1434.0,156580,6.0,564
Beas,Huelva,Beas,1521.27,41,7.94,3,1299.0,122249,10.0,761
Beas de Granada,Granada,Beas de Granada,585.34,7,-,0,1691.0,181669,8.0,760
Beas de Guadix,Granada,Beas de Guadix,290.51,2,-,0,1691.0,181669,8.0,760
Beas de Segura,Jaén,Beas de Segura,493.8,57,3.71,11,989.0,105216,6.0,496
Beasain,Gipuzkoa,Beasain,2988.89,159,-,0,3234.0,289436,16.0,1275
Becedas,Ávila,Becedas,446.39,5,-,0,1022.0,99417,6.0,520
Becedillas,Ávila,Becedillas,337.04,6,-,0,1022.0,99417,6.0,520
Beceite,Teruel,Beceite,1250.0,25,-,0,1068.0,103002,6.0,501
Becerreá,Lugo,Becerreá,382.91,31,2.77,3,1159.0,119979,7.0,588
Becerril de Campos,Palencia,Becerril de Campos,494.91,19,3.0,1,1352.0,128845,7.0,499
Becerril de la Sierra,Madrid,Becerril de la Sierra,1738.4,50,11.67,4,3314.0,343514,16.0,1414
Becilla de Valderaduey,Valladolid,Becilla de Valderaduey,-,-,-,0,1497.0,151208,8.0,668
Bédar,Almería,Bédar,1680.91,49,-,0,1168.0,109377,8.0,668
Bedia,Bizkaia,Bedia,-,-,-,0,2853.0,269369,13.0,1124
Bedmar y Garcíez,Jaén,Bedmar y Garcíez,253.85,19,-,0,989.0,105216,6.0,496
Begíjar,Jaén,Begíjar,396.02,22,4.41,1,989.0,105216,6.0,496
Begonte,Lugo,Begonte,582.08,37,-,0,1159.0,119979,7.0,588
Begues,Barcelona,Begues,2166.08,138,17.78,5,2946.0,272259,16.0,1367
Begur,Girona,Begur,3711.86,511,49.65,17,2169.0,193575,11.0,941
Beintza-Labaien,Navarra,Beintza-Labaien,-,-,-,0,1691.0,164441,10.0,981
Beire,Navarra,Beire,2067.36,9,-,0,1691.0,164441,10.0,981
Beires,Almería,Beires,369.57,1,-,0,1168.0,109377,8.0,668
Beizama,Gipuzkoa,Beizama,-,-,-,0,3234.0,289436,16.0,1275
Béjar,Salamanca,Béjar,602.03,275,5.48,24,1673.0,156058,9.0,801
Bejís,Castellón,Bejís,595.67,23,4.21,1,1133.0,115966,8.0,653
Belalcázar,Córdoba,Belalcázar,736.88,44,1.88,2,1405.0,141657,7.0,645
Belascoáin,Navarra,Belascoáin,937.5,1,-,0,1691.0,164441,10.0,981
Belauntza,Gipuzkoa,Belauntza,-,-,-,0,3234.0,289436,16.0,1275
Belbimbre,Burgos,Belbimbre,0,0,-,0,1445.0,138383,8.0,633
Belchite,Zaragoza,Belchite,-,-,-,0,1674.0,154117,9.0,720
Beleña,Salamanca,Beleña,377.68,3,-,0,1673.0,156058,9.0,801
Bèlgida,Valencia,Bèlgida,-,-,2.78,1,1445.0,163450,11.0,1042
Belianes,Lleida,Belianes,534.48,4,-,0,1159.0,114344,7.0,654
Belinchón,Cuenca,Belinchón,405.43,11,-,0,1139.0,119313,8.0,608
Bell-lloc d'Urgell,Lleida,Bell-lloc d'Urgell,-,-,-,0,1159.0,114344,7.0,654
Bellaguarda,Lleida,Bellaguarda,200.46,2,-,0,1159.0,114344,7.0,654
Bellcaire d'Empordà,Girona,Bellcaire d'Empordà,-,-,-,0,2169.0,193575,11.0,941
Bellcaire d'Urgell,Lleida,Bellcaire d'Urgell,-,-,-,0,1159.0,114344,7.0,654
Bellmunt d'Urgell,Lleida,Bellmunt d'Urgell,-,-,-,0,1159.0,114344,7.0,654
Bellmunt del Priorat,Tarragona,Bellmunt del Priorat,-,-,4.5,1,1552.0,140182,9.0,736
Bello,Teruel,Bello,-,-,-,0,1068.0,103002,6.0,501
Bellprat,Barcelona,Bellprat,743.16,4,-,0,2946.0,272259,16.0,1367
Bellpuig,Lleida,Bellpuig,699.16,58,4.78,1,1159.0,114344,7.0,654
Bellreguard,Valencia,Bellreguard,-,-,10.68,11,1445.0,163450,11.0,1042
Bellús,Valencia,Bellús,-,-,-,0,1445.0,163450,11.0,1042
Bellvei,Tarragona,Bellvei,1417.02,93,5.32,2,1552.0,140182,9.0,736
Bellver de Cerdanya,Lleida,Bellver de Cerdanya,2331.79,50,11.24,24,1159.0,114344,7.0,654
Bellvís,Lleida,Bellvís,523.74,5,-,0,1159.0,114344,7.0,654
Belmez,Córdoba,Belmez,401.82,40,5.0,5,1405.0,141657,7.0,645
Bélmez de la Moraleda,Jaén,Bélmez de la Moraleda,601.77,7,-,0,989.0,105216,6.0,496
Belmonte,Cuenca,Belmonte,608.46,36,-,0,1139.0,119313,8.0,608
Belmonte de Campos,Palencia,Belmonte de Campos,155.43,3,-,0,1352.0,128845,7.0,499
Belmonte de Gracián,Zaragoza,Belmonte de Gracián,-,-,-,0,1674.0,154117,9.0,720
Belmonte de Miranda,Asturias,Belmonte de Miranda,609.93,30,4.61,2,1568.0,139373,9.0,672
Belmonte de San José,Teruel,Belmonte de San José,-,-,-,0,1068.0,103002,6.0,501
Belmonte de Tajo,Madrid,Belmonte de Tajo,833.98,25,4.23,4,3314.0,343514,16.0,1414
Belmontejo,Cuenca,Belmontejo,240.0,1,-,0,1139.0,119313,8.0,608
Belorado,Burgos,Belorado,502.52,73,6.11,3,1445.0,138383,8.0,633
Belver de Cinca,Huesca,Belver de Cinca,534.53,7,-,0,1513.0,123979,8.0,636
Belver de los Montes,Zamora,Belver de los Montes,-,-,-,0,1151.0,118790,5.0,497
Belvís de la Jara,Toledo,Belvís de la Jara,-,-,-,0,1023.0,103420,7.0,582
Belvís de Monroy,Cáceres,Belvís de Monroy,651.83,9,4.23,1,1132.0,119586,6.0,497
Bembibre,León,Bembibre,516.1,112,3.98,6,1237.0,130467,6.0,586
Benabarre,Huesca,Benabarre,498.15,16,3.33,1,1513.0,123979,8.0,636
Benacazón,Sevilla,Benacazón,1537.74,35,-,0,1611.0,162042,10.0,821
Benadalid,Málaga,Benadalid,806.04,3,-,0,2630.0,301594,11.0,1055
Benafarces,Valladolid,Benafarces,-,-,-,0,1497.0,151208,8.0,668
Benafer,Castellón,Benafer,721.62,9,-,0,1133.0,115966,8.0,653
Benafigos,Castellón,Benafigos,716.64,5,-,0,1133.0,115966,8.0,653
Benagéber,Valencia,Benagéber,1673.64,1,-,0,1445.0,163450,11.0,1042
Benaguasil,Valencia,Benaguasil,958.14,273,6.57,3,1445.0,163450,11.0,1042
Benahadux,Almería,Benahadux,916.06,63,-,0,1168.0,109377,8.0,668
Benahavís,Málaga,Benahavís,4158.38,1998,32.96,126,2630.0,301594,11.0,1055
Benalauría,Málaga,Benalauría,1410.96,11,-,0,2630.0,301594,11.0,1055
Benalmádena,Málaga,Benalmádena,2913.94,3270,-,244,2630.0,301594,11.0,1055
Benalúa,Granada,Benalúa,-,-,-,0,1691.0,181669,8.0,760
Benalúa de las Villas,Granada,Benalúa de las Villas,618.01,8,0.75,1,1691.0,181669,8.0,760
Benalup-Casas Viejas,Cádiz,Benalup-Casas Viejas,958.33,82,-,0,1593.0,158397,9.0,712
Benamargosa,Málaga,Benamargosa,1229.07,48,4.5,2,2630.0,301594,11.0,1055
Benamaurel,Granada,Benamaurel,671.52,20,-,0,1691.0,181669,8.0,760
Benamejí,Córdoba,Benamejí,592.73,16,2.33,1,1405.0,141657,7.0,645
Benamocarra,Málaga,Benamocarra,1142.91,49,14.14,3,2630.0,301594,11.0,1055
Benaocaz,Cádiz,Benaocaz,788.34,88,3.92,4,1593.0,158397,9.0,712
Benaoján,Málaga,Benaoján,824.25,25,6.25,1,2630.0,301594,11.0,1055
Benarrabá,Málaga,Benarrabá,784.69,2,-,0,2630.0,301594,11.0,1055
Benasau,Alicante,Benasau,638.94,4,-,0,1663.0,176931,9.0,845
Benasque,Huesca,Benasque,2597.02,53,8.25,4,1513.0,123979,8.0,636
Benassal,Castellón,Benassal,-,-,-,0,1133.0,115966,8.0,653
Benatae,Jaén,Benatae,607.56,12,-,0,989.0,105216,6.0,496
Benavent de Segrià,Lleida,Benavent de Segrià,561.35,25,-,0,1159.0,114344,7.0,654
Benavente,Zamora,Benavente,1074.71,387,4.87,9,1151.0,118790,5.0,497
Benavides,León,Benavides,576.86,42,4.84,3,1237.0,130467,6.0,586
Benavites,Valencia,Benavites,-,-,-,0,1445.0,163450,11.0,1042
Benegiles,Zamora,Benegiles,-,-,-,0,1151.0,118790,5.0,497
Beneixama,Alicante,Beneixama,947.95,16,-,0,1663.0,176931,9.0,845
Beneixida,Valencia,Beneixida,-,-,-,0,1445.0,163450,11.0,1042
Benejúzar,Alicante,Benejúzar,777.18,72,-,0,1663.0,176931,9.0,845
Benetússer,Valencia,Benetússer,893.2,177,6.79,7,1445.0,163450,11.0,1042
Benferri,Alicante,Benferri,845.88,47,-,0,1663.0,176931,9.0,845
Beniarbeig,Alicante,Beniarbeig,1741.46,82,-,0,1663.0,176931,9.0,845
Beniardá,Alicante,Beniardá,1002.47,6,-,0,1663.0,176931,9.0,845
Beniarjó,Valencia,Beniarjó,884.21,63,-,0,1445.0,163450,11.0,1042
Beniarrés,Alicante,Beniarrés,888.02,7,-,0,1663.0,176931,9.0,845
Beniatjar,Valencia,Beniatjar,-,-,-,0,1445.0,163450,11.0,1042
Benicarló,Castellón,Benicarló,1291.46,845,6.77,32,1133.0,115966,8.0,653
Benicasim/Benicàssim,Castellón,Benicasim/Benicàssim,-,-,-,0,1133.0,115966,8.0,653
Benicolet,Valencia,Benicolet,-,-,-,0,1445.0,163450,11.0,1042
Benicull de Xúquer,Valencia,Benicull de Xúquer,-,-,-,0,1445.0,163450,11.0,1042
Benidoleig,Alicante,Benidoleig,1015.86,45,5.45,1,1663.0,176931,9.0,845
Benidorm,Alicante,Benidorm,2563.91,3976,17.74,191,1663.0,176931,9.0,845
Beniel,Murcia,Beniel,683.16,116,4.38,1,1148.0,119550,9.0,792
Benifaió,Valencia,Benifaió,533.85,132,4.82,4,1445.0,163450,11.0,1042
Benifairó de la Valldigna,Valencia,Benifairó de la Valldigna,-,-,-,0,1445.0,163450,11.0,1042
Benifairó de les Valls,Valencia,Benifairó de les Valls,-,-,5.62,1,1445.0,163450,11.0,1042
Benifallet,Tarragona,Benifallet,91.67,40,-,0,1552.0,140182,9.0,736
Benifallim,Alicante,Benifallim,1002.26,6,-,0,1663.0,176931,9.0,845
Benifato,Alicante,Benifato,1473.24,6,-,0,1663.0,176931,9.0,845
Beniflá,Valencia,Beniflá,-,-,-,0,1445.0,163450,11.0,1042
Benigànim,Valencia,Benigànim,-,-,-,0,1445.0,163450,11.0,1042
Benigembla,Alicante,Benigembla,866.67,11,-,0,1663.0,176931,9.0,845
Benijófar,Alicante,Benijófar,2592.23,312,-,0,1663.0,176931,9.0,845
Benilloba,Alicante,Benilloba,527.39,15,-,0,1663.0,176931,9.0,845
Benillup,Alicante,Benillup,168.47,1,-,0,1663.0,176931,9.0,845
Benimantell,Alicante,Benimantell,5768.04,16,-,0,1663.0,176931,9.0,845
Benimarfull,Alicante,Benimarfull,692.14,9,-,0,1663.0,176931,9.0,845
Benimassot,Alicante,Benimassot,-,-,-,0,1663.0,176931,9.0,845
Benimeli,Alicante,Benimeli,1519.72,11,-,0,1663.0,176931,9.0,845
Benimodo,Valencia,Benimodo,1593.02,69,-,0,1445.0,163450,11.0,1042
Benimuslem,Valencia,Benimuslem,448.72,24,-,0,1445.0,163450,11.0,1042
Beniparrell,Valencia,Beniparrell,678.69,46,-,0,1445.0,163450,11.0,1042
Benirredrà,Valencia,Benirredrà,972.43,23,-,0,1445.0,163450,11.0,1042
Benissa,Alicante,Benissa,3540.65,845,11.12,17,1663.0,176931,9.0,845
Benissanet,Tarragona,Benissanet,-,-,-,0,1552.0,140182,9.0,736
Benissanó,Valencia,Benissanó,-,-,-,0,1445.0,163450,11.0,1042
Benissoda,Valencia,Benissoda,-,-,-,0,1445.0,163450,11.0,1042
Benissuera,Valencia,Benissuera,-,-,-,0,1445.0,163450,11.0,1042
Benitachell/Poble Nou de Benitatxell (El),Alicante,El Benitachell/Poble Nou de Benitatxell,-,-,-,0,1663.0,176931,9.0,845
Benitagla,Almería,Benitagla,0,0,-,0,1168.0,109377,8.0,668
Benizalón,Almería,Benizalón,268.88,3,-,0,1168.0,109377,8.0,668
Benlloc,Castellón,Benlloc,-,-,-,0,1133.0,115966,8.0,653
Benquerencia,Cáceres,Benquerencia,322.62,2,-,0,1132.0,119586,6.0,497
Benquerencia de la Serena,Badajoz,Benquerencia de la Serena,176.03,5,-,0,1149.0,126096,7.0,530
Bentarique,Almería,Bentarique,656.69,2,-,0,1168.0,109377,8.0,668
Benuza,León,Benuza,162.98,6,-,0,1237.0,130467,6.0,586
Bera,Navarra,Bera,533.33,6,-,0,1691.0,164441,10.0,981
Berango,Bizkaia,Berango,3037.11,68,-,0,2853.0,269369,13.0,1124
Berantevilla,Álava,Berantevilla,685.7,8,-,0,2564.0,242404,12.0,986
Beranuy,Huesca,Beranuy,-,-,-,0,1513.0,123979,8.0,636
Berastegi,Gipuzkoa,Berastegi,-,-,-,0,3234.0,289436,16.0,1275
Beratón,Soria,Beratón,-,-,-,0,1288.0,129163,7.0,604
Berbegal,Huesca,Berbegal,0,0,-,0,1513.0,123979,8.0,636
Berberana,Burgos,Berberana,441.11,5,-,0,1445.0,138383,8.0,633
Berbinzana,Navarra,Berbinzana,399.07,10,-,0,1691.0,164441,10.0,981
Berceo,La Rioja,Berceo,562.55,18,-,0,1457.0,148105,8.0,703
Bercero,Valladolid,Bercero,-,-,-,0,1497.0,151208,8.0,668
Berceruelo,Valladolid,Berceruelo,-,-,-,0,1497.0,151208,8.0,668
Bérchules,Granada,Bérchules,713.14,38,-,0,1691.0,181669,8.0,760
Bercial,Segovia,Bercial,-,-,-,0,1329.0,133270,9.0,790
Bercial de Zapardiel,Ávila,Bercial de Zapardiel,347.37,1,-,0,1022.0,99417,6.0,520
Bercianos del Páramo,León,Bercianos del Páramo,380.99,6,-,0,1237.0,130467,6.0,586
Bercianos del Real Camino,León,Bercianos del Real Camino,250.0,1,-,0,1237.0,130467,6.0,586
Bercimuel,Segovia,Bercimuel,-,-,-,0,1329.0,133270,9.0,790
Berdejo,Zaragoza,Berdejo,-,-,-,0,1674.0,154117,9.0,720
Berga,Barcelona,Berga,895.4,156,4.89,4,2946.0,272259,16.0,1367
Bergara,Gipuzkoa,Bergara,2277.78,92,-,0,3234.0,289436,16.0,1275
Bergasa,La Rioja,Bergasa,178.93,5,-,0,1457.0,148105,8.0,703
Bergasillas Bajera,La Rioja,Bergasillas Bajera,373.33,1,-,0,1457.0,148105,8.0,703
Berge,Teruel,Berge,-,-,-,0,1068.0,103002,6.0,501
Bergondo,A Coruña,Bergondo,1258.54,141,8.18,2,1583.0,156959,8.0,666
Beriáin,Navarra,Beriáin,1683.52,11,-,0,1691.0,164441,10.0,981
Berja,Almería,Berja,597.81,195,3.5,3,1168.0,109377,8.0,668
Berlanas (Las),Ávila,Las Berlanas,290.55,8,-,0,1022.0,99417,6.0,520
Berlanga,Badajoz,Berlanga,668.49,4,3.64,3,1149.0,126096,7.0,530
Berlanga de Duero,Soria,Berlanga de Duero,-,-,2.5,1,1288.0,129163,7.0,604
Berlanga del Bierzo,León,Berlanga del Bierzo,190.0,1,-,0,1237.0,130467,6.0,586
Berlangas de Roa,Burgos,Berlangas de Roa,514.97,3,-,0,1445.0,138383,8.0,633
Bermellar,Salamanca,Bermellar,521.25,4,28.24,1,1673.0,156058,9.0,801
Bermeo,Bizkaia,Bermeo,2445.58,157,-,0,2853.0,269369,13.0,1124
Bermillo de Sayago,Zamora,Bermillo de Sayago,111.11,18,-,0,1151.0,118790,5.0,497
Bernardos,Segovia,Bernardos,-,-,-,0,1329.0,133270,9.0,790
Bernedo,Álava,Bernedo,841.69,27,-,0,2564.0,242404,12.0,986
Berninches,Guadalajara,Berninches,509.43,1,-,0,1372.0,146012,8.0,691
Bernuy de Porreros,Segovia,Bernuy de Porreros,-,-,3.96,2,1329.0,133270,9.0,790
Bernuy-Zapardiel,Ávila,Bernuy-Zapardiel,0,0,-,0,1022.0,99417,6.0,520
Berriatua,Bizkaia,Berriatua,-,-,-,0,2853.0,269369,13.0,1124
Berrioplano/Berriobeiti,Navarra,Berrioplano/Berriobeiti,-,-,-,0,1691.0,164441,10.0,981
Berriozar,Navarra,Berriozar,1637.81,17,8.59,1,1691.0,164441,10.0,981
Berriz,Bizkaia,Berriz,1427.27,81,-,0,2853.0,269369,13.0,1124
