municipio,provincia,codigo_ine,municipio_nombre_humano,num_colegios
Alameda,Málaga,29001,Alameda,4
Alameda de Gardón (La),Salamanca,37005,La Alameda de Gardón,0
Alameda de la Sagra,Toledo,45002,Alameda de la Sagra,2
Alameda del Valle,Madrid,28003,Alameda del Valle,0
Alamedilla,Granada,18002,Alamedilla,0
Alamedilla (La),Salamanca,37006,La Alamedilla,0
Alamillo,Ciudad Real,13003,Alamillo,1
Alaminos,Guadalajara,19004,Alaminos,0
Álamo (El),Madrid,28004,El Álamo,6
Alamús (Els),Lleida,25004,Els Alamús,2
Alange,Badajoz,6004,Alange,1
Alanís,Sevilla,41002,Alanís,3
Alaquàs,Valencia,46005,Alaquàs,20
Alar del Rey,Palencia,34005,Alar del Rey,1
Alaraz,Salamanca,37007,Alaraz,0
Alarba,Zaragoza,50009,Alarba,0
Alarcón,Cuenca,16003,Alarcón,0
Alarilla,Guadalajara,19005,Alarilla,0
Alaró,Illes Balears,7001,Alaró,3
Alàs i Cerc,Lleida,25005,Alàs i Cerc,0
Alatoz,Albacete,2002,Alatoz,0
Alba,Teruel,44007,Alba,0
Alba de Cerrato,Palencia,34006,Alba de Cerrato,0
Alba de Tormes,Salamanca,37008,Alba de Tormes,7
Alba de Yeltes,Salamanca,37009,Alba de Yeltes,0
Albacete,Albacete,2003,Albacete,132
Albagés (L'),Lleida,25006,L' Albagés,0
Albaida,Valencia,46006,Albaida,0
Albaida del Aljarafe,Sevilla,41003,Albaida del Aljarafe,3
Albal,Valencia,46007,Albal,15
Albalá,Cáceres,10007,Albalá,0
Albaladejo,Ciudad Real,13004,Albaladejo,2
Albaladejo del Cuende,Cuenca,16004,Albaladejo del Cuende,0
Albalat de la Ribera,Valencia,46008,Albalat de la Ribera,4
Albalat dels Sorells,Valencia,46009,Albalat dels Sorells,0
Albalat dels Tarongers,Valencia,46010,Albalat dels Tarongers,0
Albalate de Cinca,Huesca,22007,Albalate de Cinca,0
Albalate de las Nogueras,Cuenca,16005,Albalate de las Nogueras,0
Albalate de Zorita,Guadalajara,19006,Albalate de Zorita,3
Albalate del Arzobispo,Teruel,44008,Albalate del Arzobispo,2
Albalatillo,Huesca,22008,Albalatillo,0
Albanchez,Almería,4004,Albanchez,0
Albanchez de Mágina,Jaén,23001,Albanchez de Mágina,2
Albanyà,Girona,17003,Albanyà,1
Albares,Guadalajara,19007,Albares,0
Albarracín,Teruel,44009,Albarracín,4
Albarreal de Tajo,Toledo,45003,Albarreal de Tajo,1
Albatana,Albacete,2004,Albatana,2
Albatàrrec,Lleida,25007,Albatàrrec,2
Albatera,Alicante,3005,Albatera,9
Albelda,Huesca,22009,Albelda,2
Albelda de Iregua,La Rioja,26005,Albelda de Iregua,2
Albendea,Cuenca,16006,Albendea,0
Albendiego,Guadalajara,19008,Albendiego,0
Albentosa,Teruel,44010,Albentosa,0
Alberca (La),Salamanca,37010,La Alberca,2
Alberca de Záncara (La),Cuenca,16007,La Alberca de Záncara,2
Alberguería de Argañán (La),Salamanca,37011,La Alberguería de Argañán,0
Alberic,Valencia,46011,Alberic,8
Alberite,La Rioja,26006,Alberite,2
Alberite de San Juan,Zaragoza,50010,Alberite de San Juan,0
Albero Alto,Huesca,22011,Albero Alto,0
Albero Bajo,Huesca,22012,Albero Bajo,0
Alberuela de Tubo,Huesca,22013,Alberuela de Tubo,0
Albesa,Lleida,25008,Albesa,2
Albeta,Zaragoza,50011,Albeta,0
Albi (L'),Lleida,25009,L' Albi,0
Albillos,Burgos,9009,Albillos,1
Albinyana,Tarragona,43002,Albinyana,2
Albiol (L'),Tarragona,43003,L' Albiol,0
Albiztur,Gipuzkoa,20004,Albiztur,2
Albocàsser,Castellón,12003,Albocàsser,4
Alboloduy,Almería,4005,Alboloduy,2
Albolote,Granada,18003,Albolote,13
Albondón,Granada,18004,Albondón,1
Albons,Girona,17004,Albons,1
Alborache,Valencia,46012,Alborache,4
Alboraia/Alboraya,Valencia,46013,Alboraia/Alboraya,17
Alborea,Albacete,2005,Alborea,2
Alborge,Zaragoza,50012,Alborge,0
Albornos,Ávila,5005,Albornos,0
Albox,Almería,4006,Albox,16
Albudeite,Murcia,30004,Albudeite,1
Albuera (La),Badajoz,6005,La Albuera,1
Albuixech,Valencia,46014,Albuixech,4
Albuñán,Granada,18005,Albuñán,0
Albuñol,Granada,18006,Albuñol,5
Albuñuelas,Granada,18007,Albuñuelas,3
Alburquerque,Badajoz,6006,Alburquerque,19
Alcabón,Toledo,45004,Alcabón,1
Alcadozo,Albacete,2006,Alcadozo,0
Alcaine,Teruel,44011,Alcaine,0
Alcalá de Ebro,Zaragoza,50013,Alcalá de Ebro,0
Alcalá de Guadaíra,Sevilla,41004,Alcalá de Guadaíra,58
Alcalá de Gurrea,Huesca,22014,Alcalá de Gurrea,0
Alcalá de Henares,Madrid,28005,Alcalá de Henares,105
Alcalá de la Selva,Teruel,44012,Alcalá de la Selva,1
Alcalá de la Vega,Cuenca,16008,Alcalá de la Vega,0
Alcalá de los Gazules,Cádiz,11001,Alcalá de los Gazules,7
Alcalá de Moncayo,Zaragoza,50014,Alcalá de Moncayo,0
Alcalà de Xivert,Castellón,12004,Alcalà de Xivert,5
Alcalá del Júcar,Albacete,2007,Alcalá del Júcar,2
Alcalá del Obispo,Huesca,22015,Alcalá del Obispo,0
Alcalá del Río,Sevilla,41005,Alcalá del Río,7
Alcalá del Valle,Cádiz,11002,Alcalá del Valle,5
Alcalá la Real,Jaén,23002,Alcalá la Real,18
Alcalalí,Alicante,3006,Alcalalí,0
Alcampell,Huesca,22016,Alcampell,1
Alcanadre,La Rioja,26007,Alcanadre,1
Alcanar,Tarragona,43004,Alcanar,5
Alcanó,Lleida,25010,Alcanó,1
Alcántara,Cáceres,10008,Alcántara,3
Alcantarilla,Murcia,30005,Alcantarilla,0
Alcàntera de Xúquer,Valencia,46016,Alcàntera de Xúquer,2
Alcantud,Cuenca,16009,Alcantud,0
Alcañices,Zamora,49003,Alcañices,3
Alcañiz,Teruel,44013,Alcañiz,15
Alcañizo,Toledo,45005,Alcañizo,0
Alcaracejos,Córdoba,14003,Alcaracejos,3
Alcaraz,Albacete,2008,Alcaraz,4
Alcarràs,Lleida,25011,Alcarràs,5
Alcàsser,Valencia,46015,Alcàsser,8
Alcaucín,Málaga,29002,Alcaucín,3
Alcaudete,Jaén,23003,Alcaudete,9
Alcaudete de la Jara,Toledo,45006,Alcaudete de la Jara,1
Alcázar de San Juan,Ciudad Real,13005,Alcázar de San Juan,30
Alcázar del Rey,Cuenca,16010,Alcázar del Rey,0
Alcazarén,Valladolid,47005,Alcazarén,0
Alcázares (Los),Murcia,30902,Los Alcázares,10
Alcoba,Ciudad Real,13006,Alcoba,1
Alcobendas,Madrid,28006,Alcobendas,89
Alcocer,Guadalajara,19009,Alcocer,0
Alcocer de Planes,Alicante,3007,Alcocer de Planes,0
Alcocero de Mola,Burgos,9010,Alcocero de Mola,0
Alcohujate,Cuenca,16011,Alcohujate,0
Alcolea,Almería,4007,Alcolea,8
Alcolea de Calatrava,Ciudad Real,13007,Alcolea de Calatrava,3
Alcolea de Cinca,Huesca,22017,Alcolea de Cinca,3
Alcolea de las Peñas,Guadalajara,19010,Alcolea de las Peñas,0
Alcolea de Tajo,Toledo,45007,Alcolea de Tajo,1
Alcolea del Pinar,Guadalajara,19011,Alcolea del Pinar,1
Alcolea del Río,Sevilla,41006,Alcolea del Río,4
Alcoleja,Alicante,3008,Alcoleja,0
Alcoletge,Lleida,25012,Alcoletge,3
Alcollarín,Cáceres,10009,Alcollarín,0
Alconaba,Soria,42006,Alconaba,0
Alconada,Salamanca,37012,Alconada,0
Alconada de Maderuelo,Segovia,40005,Alconada de Maderuelo,0
Alconchel,Badajoz,6007,Alconchel,2
Alconchel de Ariza,Zaragoza,50015,Alconchel de Ariza,0
Alconchel de la Estrella,Cuenca,16012,Alconchel de la Estrella,0
Alconera,Badajoz,6008,Alconera,1
Alcóntar,Almería,4008,Alcóntar,2
Alcora (L'),Castellón,12005,L' Alcora,1
Alcorcón,Madrid,28007,Alcorcón,99
Alcorisa,Teruel,44014,Alcorisa,6
Alcoroches,Guadalajara,19013,Alcoroches,0
Alcover,Tarragona,43005,Alcover,4
Alcoy/Alcoi,Alicante,3009,Alcoy/Alcoi,39
Alcubierre,Huesca,22018,Alcubierre,1
Alcubilla de Avellaneda,Soria,42007,Alcubilla de Avellaneda,0
Alcubilla de las Peñas,Soria,42008,Alcubilla de las Peñas,0
Alcubilla de Nogales,Zamora,49004,Alcubilla de Nogales,0
Alcubillas,Ciudad Real,13008,Alcubillas,1
Alcublas,Valencia,46018,Alcublas,2
Alcúdia,Illes Balears,7003,Alcúdia,7
Alcúdia (L'),Valencia,46019,L' Alcúdia,0
Alcúdia de Crespins (L'),Valencia,46020,L' Alcúdia de Crespins,0
Alcudia de Monteagud,Almería,4009,Alcudia de Monteagud,0
Alcudia de Veo,Castellón,12006,Alcudia de Veo,0
Alcuéscar,Cáceres,10010,Alcuéscar,3
Aldaia,Valencia,46021,Aldaia,21
Aldea (L'),Tarragona,43904,L' Aldea,0
Aldea de San Miguel,Valladolid,47006,Aldea de San Miguel,0
Aldea de San Nicolás (La),Las Palmas,35020,La Aldea de San Nicolás,8
Aldea del Cano,Cáceres,10012,Aldea del Cano,2
Aldea del Fresno,Madrid,28008,Aldea del Fresno,3
Aldea del Obispo,Salamanca,37015,Aldea del Obispo,0
Aldea del Obispo (La),Cáceres,10013,La Aldea del Obispo,0
Aldea del Rey,Ciudad Real,13009,Aldea del Rey,3
Aldea en Cabo,Toledo,45008,Aldea en Cabo,0
Aldea Real,Segovia,40012,Aldea Real,0
Aldeacentenera,Cáceres,10011,Aldeacentenera,1
Aldeacipreste,Salamanca,37013,Aldeacipreste,0
Aldeadávila de la Ribera,Salamanca,37014,Aldeadávila de la Ribera,1
Aldealafuente,Soria,42009,Aldealafuente,0
Aldealcorvo,Segovia,40006,Aldealcorvo,0
Aldealengua,Salamanca,37016,Aldealengua,0
Aldealengua de Pedraza,Segovia,40007,Aldealengua de Pedraza,0
Aldealengua de Santa María,Segovia,40008,Aldealengua de Santa María,0
Aldealices,Soria,42010,Aldealices,0
Aldealpozo,Soria,42011,Aldealpozo,0
Aldealseñor,Soria,42012,Aldealseñor,0
Aldeamayor de San Martín,Valladolid,47007,Aldeamayor de San Martín,2
Aldeanueva de Barbarroya,Toledo,45009,Aldeanueva de Barbarroya,0
Aldeanueva de Ebro,La Rioja,26008,Aldeanueva de Ebro,3
Aldeanueva de Figueroa,Salamanca,37017,Aldeanueva de Figueroa,0
Aldeanueva de Guadalajara,Guadalajara,19015,Aldeanueva de Guadalajara,0
Aldeanueva de la Serrezuela,Segovia,40009,Aldeanueva de la Serrezuela,0
Aldeanueva de la Sierra,Salamanca,37018,Aldeanueva de la Sierra,0
Aldeanueva de la Vera,Cáceres,10014,Aldeanueva de la Vera,1
Aldeanueva de San Bartolomé,Toledo,45010,Aldeanueva de San Bartolomé,0
Aldeanueva de Santa Cruz,Ávila,5007,Aldeanueva de Santa Cruz,0
Aldeanueva del Camino,Cáceres,10015,Aldeanueva del Camino,0
Aldeanueva del Codonal,Segovia,40010,Aldeanueva del Codonal,0
Aldeaquemada,Jaén,23004,Aldeaquemada,1
Aldearrodrigo,Salamanca,37019,Aldearrodrigo,0
Aldearrubia,Salamanca,37020,Aldearrubia,0
Aldeaseca,Ávila,5008,Aldeaseca,0
Aldeaseca de Alba,Salamanca,37021,Aldeaseca de Alba,0
Aldeaseca de la Frontera,Salamanca,37022,Aldeaseca de la Frontera,0
Aldeasoña,Segovia,40013,Aldeasoña,0
Aldeatejada,Salamanca,37023,Aldeatejada,2
Aldeavieja de Tormes,Salamanca,37024,Aldeavieja de Tormes,0
Aldehorno,Segovia,40014,Aldehorno,0
Aldehuela (La),Ávila,5010,La Aldehuela,0
Aldehuela de Jerte,Cáceres,10016,Aldehuela de Jerte,0
Aldehuela de la Bóveda,Salamanca,37025,Aldehuela de la Bóveda,0
Aldehuela de Liestos,Zaragoza,50016,Aldehuela de Liestos,0
Aldehuela de Periáñez,Soria,42013,Aldehuela de Periáñez,0
Aldehuela de Yeltes,Salamanca,37026,Aldehuela de Yeltes,0
Aldehuela del Codonal,Segovia,40015,Aldehuela del Codonal,0
Aldehuelas (Las),Soria,42014,Las Aldehuelas,0
Aldeire,Granada,18010,Aldeire,0
Aldeonte,Segovia,40016,Aldeonte,0
Aldover,Tarragona,43006,Aldover,1
Aledo,Murcia,30006,Aledo,1
Alegia,Gipuzkoa,20005,Alegia,3
Alegría-Dulantzi,Álava,1001,Alegría-Dulantzi,3
Aleixar (L'),Tarragona,43007,L' Aleixar,0
Alella,Barcelona,8003,Alella,10
Alentisque,Soria,42015,Alentisque,0
Alerre,Huesca,22019,Alerre,0
Alesanco,La Rioja,26009,Alesanco,0
Alesón,La Rioja,26010,Alesón,0
Alfacar,Granada,18011,Alfacar,5
Alfafar,Valencia,46022,Alfafar,15
Alfafara,Alicante,3010,Alfafara,1
Alfajarín,Zaragoza,50017,Alfajarín,2
Alfambra,Teruel,44016,Alfambra,0
Alfamén,Zaragoza,50018,Alfamén,2
Alfántega,Huesca,22020,Alfántega,0
Alfara de Carles,Tarragona,43008,Alfara de Carles,1
Alfara de la Baronia,Valencia,46024,Alfara de la Baronia,1
Alfara del Patriarca,Valencia,46025,Alfara del Patriarca,7
Alfaraz de Sayago,Zamora,49005,Alfaraz de Sayago,0
Alfarnate,Málaga,29003,Alfarnate,3
Alfarnatejo,Málaga,29004,Alfarnatejo,0
Alfaro,La Rioja,26011,Alfaro,7
Alfarp,Valencia,46026,Alfarp,2
Alfarràs,Lleida,25013,Alfarràs,3
Alfarrasí,Valencia,46027,Alfarrasí,3
Alfàs del Pi (L'),Alicante,3011,L' Alfàs del Pi,0
Alfauir,Valencia,46023,Alfauir,0
Alfés,Lleida,25014,Alfés,1
Alfondeguilla,Castellón,12007,Alfondeguilla,1
Alforja,Tarragona,43009,Alforja,2
Alforque,Zaragoza,50019,Alforque,0
Alfoz,Lugo,27002,Alfoz,0
Alfoz de Bricia,Burgos,9011,Alfoz de Bricia,0
Alfoz de Lloredo,Cantabria,39001,Alfoz de Lloredo,0
Alfoz de Quintanadueñas,Burgos,9907,Alfoz de Quintanadueñas,0
Alfoz de Santa Gadea,Burgos,9012,Alfoz de Santa Gadea,0
Algaba (La),Sevilla,41007,La Algaba,15
Algadefe,León,24002,Algadefe,0
Algaida,Illes Balears,7004,Algaida,3
Algámitas,Sevilla,41008,Algámitas,3
Algar,Cádiz,11003,Algar,3
Algar de Mesa,Guadalajara,19016,Algar de Mesa,0
Algar de Palancia,Valencia,46028,Algar de Palancia,1
Algarinejo,Granada,18012,Algarinejo,3
Algarra,Cuenca,16013,Algarra,0
Algarrobo,Málaga,29005,Algarrobo,7
Algatocín,Málaga,29006,Algatocín,3
Algeciras,Cádiz,11004,Algeciras,78
Algemesí,Valencia,46029,Algemesí,27
Algerri,Lleida,25015,Algerri,1
Algete,Madrid,28009,Algete,16
Algímia d'Alfara,Valencia,46030,Algímia d'Alfara,0
Algimia de Almonacid,Castellón,12008,Algimia de Almonacid,0
Alginet,Valencia,46031,Alginet,11
Algodonales,Cádiz,11005,Algodonales,14
Algodre,Zamora,49006,Algodre,0
Algora,Guadalajara,19017,Algora,0
Algorfa,Alicante,3012,Algorfa,3
Alguaire,Lleida,25016,Alguaire,3
Alguazas,Murcia,30007,Alguazas,5
Algueña,Alicante,3013,Algueña,2
Alhabia,Almería,4010,Alhabia,1
Alhama de Almería,Almería,4011,Alhama de Almería,5
Alhama de Aragón,Zaragoza,50020,Alhama de Aragón,2
Alhama de Granada,Granada,18013,Alhama de Granada,5
