municipio,provincia,municipio_nombre_humano,codigo_INE
Alaejos,Valladolid,Alaejos,47004
Alagón,Zaragoza,Alagón,50008
Alagón del Río,Cáceres,Alagón del Río,10903
Alaior,Illes Balears,Alaior,7002
Alájar,Huelva,Alájar,21001
Alajeró,Santa Cruz de Tenerife,Alajeró,38003
Alameda,Málaga,Alameda,29001
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,37005
Alameda de la Sagra,Toledo,Alameda de la Sagra,45002
Alameda del Valle,Madrid,Alameda del Valle,28003
Alamedilla,Granada,Alamedilla,18002
Alamedilla (La),Salamanca,La Alamedilla,37006
Alamillo,Ciudad Real,Alamillo,13003
Alaminos,Guadalajara,Alaminos,19004
Álamo (El),Madrid,El Álamo,28004
Alamús (Els),Lleida,Els Alamús,25004
Alange,Badajoz,Alange,6004
Alanís,Sevilla,Alanís,41002
Alaquàs,Valencia,Alaquàs,46005
Alar del Rey,Palencia,Alar del Rey,34005
Alaraz,Salamanca,Alaraz,37007
Alarba,Zaragoza,Alarba,50009
Alarcón,Cuenca,Alarcón,16003
Alarilla,Guadalajara,Alarilla,19005
Alaró,Illes Balears,Alaró,7001
Alàs i Cerc,Lleida,Alàs i Cerc,25005
Alatoz,Albacete,Alatoz,2002
Alba,Teruel,Alba,44007
Alba de Cerrato,Palencia,Alba de Cerrato,34006
Alba de Tormes,Salamanca,Alba de Tormes,37008
Alba de Yeltes,Salamanca,Alba de Yeltes,37009
Albacete,Albacete,Albacete,2003
Albagés (L'),Lleida,L' Albagés,25006
Albaida,Valencia,Albaida,46006
Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,41003
Albal,Valencia,Albal,46007
Albalá,Cáceres,Albalá,10007
Albaladejo,Ciudad Real,Albaladejo,13004
Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,16004
Albalat de la Ribera,Valencia,Albalat de la Ribera,46008
Albalat dels Sorells,Valencia,Albalat dels Sorells,46009
Albalat dels Tarongers,Valencia,Albalat dels Tarongers,46010
Albalate de Cinca,Huesca,Albalate de Cinca,22007
Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,16005
Albalate de Zorita,Guadalajara,Albalate de Zorita,19006
Albalate del Arzobispo,Teruel,Albalate del Arzobispo,44008
Albalatillo,Huesca,Albalatillo,22008
Albanchez,Almería,Albanchez,4004
Albanchez de Mágina,Jaén,Albanchez de Mágina,23001
Albanyà,Girona,Albanyà,17003
Albares,Guadalajara,Albares,19007
Albarracín,Teruel,Albarracín,44009
Albarreal de Tajo,Toledo,Albarreal de Tajo,45003
Albatana,Albacete,Albatana,2004
Albatàrrec,Lleida,Albatàrrec,25007
Albatera,Alicante,Albatera,3005
Albelda,Huesca,Albelda,22009
Albelda de Iregua,La Rioja,Albelda de Iregua,26005
Albendea,Cuenca,Albendea,16006
Albendiego,Guadalajara,Albendiego,19008
Albentosa,Teruel,Albentosa,44010
Alberca (La),Salamanca,La Alberca,37010
Alberca de Záncara (La),Cuenca,La Alberca de Záncara,16007
Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,37011
Alberic,Valencia,Alberic,46011
Alberite,La Rioja,Alberite,26006
Alberite de San Juan,Zaragoza,Alberite de San Juan,50010
Albero Alto,Huesca,Albero Alto,22011
Albero Bajo,Huesca,Albero Bajo,22012
Alberuela de Tubo,Huesca,Alberuela de Tubo,22013
Albesa,Lleida,Albesa,25008
Albeta,Zaragoza,Albeta,50011
Albi (L'),Lleida,L' Albi,25009
Albillos,Burgos,Albillos,9009
Albinyana,Tarragona,Albinyana,43002
Albiol (L'),Tarragona,L' Albiol,43003
Albiztur,Gipuzkoa,Albiztur,20004
Albocàsser,Castellón,Albocàsser,12003
Alboloduy,Almería,Alboloduy,4005
Albolote,Granada,Albolote,18003
Albondón,Granada,Albondón,18004
Albons,Girona,Albons,17004
Alborache,Valencia,Alborache,46012
Alboraia/Alboraya,Valencia,Alboraia/Alboraya,46013
Alborea,Albacete,Alborea,2005
Alborge,Zaragoza,Alborge,50012
Albornos,Ávila,Albornos,5005
Albox,Almería,Albox,4006
Albudeite,Murcia,Albudeite,30004
Albuera (La),Badajoz,La Albuera,6005
Albuixech,Valencia,Albuixech,46014
Albuñán,Granada,Albuñán,18005
Albuñol,Granada,Albuñol,18006
Albuñuelas,Granada,Albuñuelas,18007
Alburquerque,Badajoz,Alburquerque,6006
Alcabón,Toledo,Alcabón,45004
Alcadozo,Albacete,Alcadozo,2006
Alcaine,Teruel,Alcaine,44011
Alcalá de Ebro,Zaragoza,Alcalá de Ebro,50013
Alcalá de Guadaíra,Sevilla,Alcalá de Guadaíra,41004
Alcalá de Gurrea,Huesca,Alcalá de Gurrea,22014
Alcalá de Henares,Madrid,Alcalá de Henares,28005
Alcalá de la Selva,Teruel,Alcalá de la Selva,44012
Alcalá de la Vega,Cuenca,Alcalá de la Vega,16008
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,11001
Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,50014
Alcalà de Xivert,Castellón,Alcalà de Xivert,12004
Alcalá del Júcar,Albacete,Alcalá del Júcar,2007
Alcalá del Obispo,Huesca,Alcalá del Obispo,22015
Alcalá del Río,Sevilla,Alcalá del Río,41005
Alcalá del Valle,Cádiz,Alcalá del Valle,11002
Alcalá la Real,Jaén,Alcalá la Real,23002
Alcalalí,Alicante,Alcalalí,3006
Alcampell,Huesca,Alcampell,22016
