codigo_ine,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours,kms_capital_provincia,altitud,renta_bruta_media,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
30001,5,1,0,5,0,1,2,6116,235.62,25.96,2.41,23.26,12.49,63.65,11.27,0,3.0,0.02,26.17,135.7,17.76,37.93,26.77,62.42,9.58,0,3.0,0.0,11.66,314.9,34.41,233,19464,983.06,130,4.66,2,1148,119550,9,792,59.93,12.18,52.63,1164,40.36,13.0,98.59,98.59,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0
50001,1,0,0,0,0,2,1,89,63.84,1.39,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1,88.27,939,19366,0,0,0,0,1674,154117,9,720,59.3,8.5,54.26,1632,95.0,0.0,89.0,30.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48002,2,0,0,0,0,1,2,9436,16.2,582.47,-0.51,19.32,8.52,77.3,11.7,0,3.0,0.16,46.24,70.5,11.32,35.92,20.79,77.29,8.28,0,12.0,0.04,44.96,96.1,21.07,162,40847,1917.08,52,0,0,2853,269369,13,1124,56.71,9.28,51.45,1671,89.35,82.76,100.0,100.0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
30002,3,2,0,7,0,1,2,13066,115.04,113.58,2.41,23.26,12.49,63.65,11.27,0,3.0,0.02,26.17,135.7,17.76,37.93,26.77,62.42,9.58,0,3.0,0.0,11.66,314.9,41.73,198,29432,675.93,106,0,0,1148,119550,9,792,59.93,12.18,52.63,1164,82.67,21.33,99.78,99.11,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34001,1,0,0,0,0,2,2,45,11.39,3.95,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3,33.11,759,19171,0,0,0,0,1352,128845,7,499,55.84,10.52,49.97,442,95.0,0.0,100.0,100.0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31002,1,1,0,1,0,2,2,538,23.02,23.37,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,46.46,558,18439,0,0,0,0,1691,164441,10,981,58.7,8.76,53.56,1155,33.33,3.0,100.0,92.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
31003,1,0,0,0,0,2,2,128,21.36,5.99,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,63.73,1028,16542,0,0,0,0,1691,164441,10,981,58.7,8.76,53.56,1155,10.0,10.0,100.0,100.0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0
31004,1,0,0,0,0,2,2,29,10.89,2.66,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,61.35,998,15339,0,0,0,0,1691,164441,10,981,58.7,8.76,53.56,1155,100.0,11.0,100.0,100.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
15001,1,0,0,32,0,1,3,5494,83.9,65.49,1.15,18.2,9.8,81.19,12.71,0,12.0,0.16,46.29,57.5,11.34,32.72,19.48,78.74,9.94,0,12.0,0.02,37.93,131.8,30.2,110,23370,843.32,83,4.97,2,1583,156959,8,666,53.86,10.92,47.98,1466,91.88,7.86,99.98,99.98,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
42001,1,0,0,0,0,3,1,273,23.43,11.65,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6,28.97,1138,19216,0,0,0,0,1288,129163,7,604,60.4,7.32,55.98,393,84.0,0.0,100.0,100.0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
