municipio,provincia
Tierzo,Guadalajara
Granada de Río-Tinto (La),Huelva
Jaén,Jaén
Santa Marta de Tormes,Salamanca
Ventosa del Río Almar,Salamanca
Santa Cruz de Tenerife,Santa Cruz de Tenerife
Muñopedro,Segovia
Cella,Teruel
Barruelo del Valle,Valladolid
Luesia,Zaragoza
