codigo_ine,municipio,provincia,municipio_nombre_humano
47004,Alaejos,Valladolid,Alaejos
50008,Alagón,Zaragoza,Alagón
10903,Alagón del Río,Cáceres,Alagón del Río
07002,Alaior,Islas Baleares,Alaior
21001,Alájar,Huelva,Alájar
38003,Alajeró,Santa Cruz de Tenerife,Alajeró
29001,Alameda,Málaga,Alameda
37005,Alameda de Gardón (La),Salamanca,La Alameda de Gardón
45002,Alameda de la Sagra,Toledo,Alameda de la Sagra
28003,Alameda del Valle,Madrid,Alameda del Valle
18002,Alamedilla,Granada,Alamedilla
37006,Alamedilla (La),Salamanca,La Alamedilla
13003,Alamillo,Ciudad Real,Alamillo
19004,Alaminos,Guadalajara,Alaminos
28004,Álamo (El),Madrid,El Álamo
25004,Alamús (Els),Lleida,Els Alamús
06004,Alange,Badajoz,Alange
41002,Alanís,Sevilla,Alanís
46005,Alaquàs,Valencia,Alaquàs
34005,Alar del Rey,Palencia,Alar del Rey
37007,Alaraz,Salamanca,Alaraz
50009,Alarba,Zaragoza,Alarba
16003,Alarcón,Cuenca,Alarcón
19005,Alarilla,Guadalajara,Alarilla
07001,Alaró,Islas Baleares,Alaró
25005,Alàs i Cerc,Lleida,Alàs i Cerc
02002,Alatoz,Albacete,Alatoz
44007,Alba,Teruel,Alba
34006,Alba de Cerrato,Palencia,Alba de Cerrato
37008,Alba de Tormes,Salamanca,Alba de Tormes
37009,Alba de Yeltes,Salamanca,Alba de Yeltes
02003,Albacete,Albacete,Albacete
25006,Albagés (L'),Lleida,L' Albagés
46006,Albaida,Valencia,Albaida
41003,Albaida del Aljarafe,Sevilla,Albaida del Aljarafe
46007,Albal,Valencia,Albal
10007,Albalá,Cáceres,Albalá
13004,Albaladejo,Ciudad Real,Albaladejo
16004,Albaladejo del Cuende,Cuenca,Albaladejo del Cuende
46008,Albalat de la Ribera,Valencia,Albalat de la Ribera
46009,Albalat dels Sorells,Valencia,Albalat dels Sorells
46010,Albalat dels Tarongers,Valencia,Albalat dels Tarongers
22007,Albalate de Cinca,Huesca,Albalate de Cinca
16005,Albalate de las Nogueras,Cuenca,Albalate de las Nogueras
19006,Albalate de Zorita,Guadalajara,Albalate de Zorita
44008,Albalate del Arzobispo,Teruel,Albalate del Arzobispo
22008,Albalatillo,Huesca,Albalatillo
04004,Albanchez,Almería,Albanchez
