municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Aielo de Malferit,Valencia,Aielo de Malferit,46042,1,0
Aielo de Rugat,Valencia,Aielo de Rugat,46043,1,0
Aiguafreda,Barcelona,Aiguafreda,08014,1,2
Aiguamúrcia,Tarragona,Aiguamúrcia,43001,1,2
Aiguaviva,Girona,Aiguaviva,17002,1,1
Aigües,Alicante,Aigües,03004,1,3
Aín,Castellón,Aín,12002,1,2
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,22907,2,1
Ainzón,Zaragoza,Ainzón,50006,2,1
Aisa,Huesca,Aisa,22006,2,1
Aitona,Lleida,Aitona,25038,2,1
Aizarnazabal,Gipuzkoa,Aizarnazabal,20003,1,2
Ajalvir,Madrid,Ajalvir,28002,3,2
Ajamil de Cameros,La Rioja,Ajamil de Cameros,26004,2,2
Ajangiz,Bizkaia,Ajangiz,48911,1,2
Ajofrín,Toledo,Ajofrín,45001,0,2
Alacón,Teruel,Alacón,44006,2,1
Aladrén,Zaragoza,Aladrén,50007,2,1
Alaejos,Valladolid,Alaejos,47004,3,0
Alagón,Zaragoza,Alagón,50008,2,1
Alagón del Río,Cáceres,Alagón del Río,10903,0,3
Alaior,Illes Balears,Alaior,07002,1,2
Alájar,Huelva,Alájar,21001,1,0
Alajeró,Santa Cruz de Tenerife,Alajeró,38003,1,2
Alameda,Málaga,Alameda,29001,1,2
Alameda de Gardón (La),Salamanca,La Alameda de Gardón,37005,0,2
Alameda de la Sagra,Toledo,Alameda de la Sagra,45002,0,2
Alameda del Valle,Madrid,Alameda del Valle,28003,3,2
Alamedilla,Granada,Alamedilla,18002,1,1
Alamedilla (La),Salamanca,La Alamedilla,37006,0,2
Alamillo,Ciudad Real,Alamillo,13003,3,2
Alaminos,Guadalajara,Alaminos,19004,0,1
Álamo (El),Madrid,El Álamo,28004,3,2
Alamús (Els),Lleida,Els Alamús,25004,2,1
Alange,Badajoz,Alange,06004,3,0
Alanís,Sevilla,Alanís,41002,2,0
Alaquàs,Valencia,Alaquàs,46005,1,0
Alar del Rey,Palencia,Alar del Rey,34005,2,2
Alaraz,Salamanca,Alaraz,37007,0,2
Alarba,Zaragoza,Alarba,50009,2,1
Alarcón,Cuenca,Alarcón,16003,2,2
Alarilla,Guadalajara,Alarilla,19005,0,1
Alaró,Illes Balears,Alaró,07001,1,2
Alàs i Cerc,Lleida,Alàs i Cerc,25005,2,1
Alatoz,Albacete,Alatoz,02002,2,2
Alba,Teruel,Alba,44007,2,1
Alba de Cerrato,Palencia,Alba de Cerrato,34006,2,2
Alba de Tormes,Salamanca,Alba de Tormes,37008,0,2
Alba de Yeltes,Salamanca,Alba de Yeltes,37009,0,2
Albacete,Albacete,Albacete,02003,2,2
Albagés (L'),Lleida,L' Albagés,25006,2,1
Albaida,Valencia,Albaida,46006,1,0
Albaida del Aljarafe,Sevilla,Albaida del Aljarafe,41003,2,0
Albal,Valencia,Albal,46007,1,0
Albalá,Cáceres,Albalá,10007,0,3
Albaladejo,Ciudad Real,Albaladejo,13004,3,2
Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,16004,2,2
Albalat de la Ribera,Valencia,Albalat de la Ribera,46008,1,0
Albalat dels Sorells,Valencia,Albalat dels Sorells,46009,1,0
Albalat dels Tarongers,Valencia,Albalat dels Tarongers,46010,1,0
Albalate de Cinca,Huesca,Albalate de Cinca,22007,2,1
Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,16005,2,2
Albalate de Zorita,Guadalajara,Albalate de Zorita,19006,0,1
Albalate del Arzobispo,Teruel,Albalate del Arzobispo,44008,2,1
Albalatillo,Huesca,Albalatillo,22008,2,1
Albanchez,Almería,Albanchez,04004,1,2
Albanchez de Mágina,Jaén,Albanchez de Mágina,23001,2,2
Albanyà,Girona,Albanyà,17003,1,1
Albares,Guadalajara,Albares,19007,0,1
Albarracín,Teruel,Albarracín,44009,2,1
Albarreal de Tajo,Toledo,Albarreal de Tajo,45003,0,2
Albatana,Albacete,Albatana,02004,2,2
Albatàrrec,Lleida,Albatàrrec,25007,2,1
Albatera,Alicante,Albatera,03005,1,3
Albelda,Huesca,Albelda,22009,2,1
Albelda de Iregua,La Rioja,Albelda de Iregua,26005,2,2
Albendea,Cuenca,Albendea,16006,2,2
Albendiego,Guadalajara,Albendiego,19008,0,1
Albentosa,Teruel,Albentosa,44010,2,1
Alberca (La),Salamanca,La Alberca,37010,0,2
Alberca de Záncara (La),Cuenca,La Alberca de Záncara,16007,2,2
Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,37011,0,2
