municipio,provincia,municipio_nombre_humano,lat,lon
Montalvos,Albacete,Montalvos,39.16667,-2.01667
Montealegre del Castillo,Albacete,Montealegre del Castillo,38.788701,-1.326689
Motilleja,Albacete,Motilleja,39.179532,-1.791175
Munera,Albacete,Munera,39.040675,-2.481521
Navas de Jorquera,Albacete,Navas de Jorquera,39.28333,-1.71667
Nerpio,Albacete,Nerpio,38.1475,-2.30202
Ontur,Albacete,Ontur,38.614717,-1.496775
Ossa de Montiel,Albacete,Ossa de Montiel,38.964586,-2.745895
Paterna del Madera,Albacete,Paterna del Madera,38.59751,-2.34421
Peñas de San Pedro,Albacete,Peñas de San Pedro,38.725749,-2.000757
Peñascosa,Albacete,Peñascosa,38.67215,-2.40991
Pétrola,Albacete,Pétrola,38.82628,-1.55662
Povedilla,Albacete,Povedilla,38.70022,-2.60212
Pozo Cañada,Albacete,Pozo Cañada,38.800099,-1.731457
Pozohondo,Albacete,Pozohondo,38.719396,-1.910827
Pozo-Lorente,Albacete,Pozo-Lorente,39.076172,-1.506999
Pozuelo,Albacete,Pozuelo,38.80989,-2.10101
Recueja (La),Albacete,La Recueja,39.18333,-1.48333
Riópar,Albacete,Riópar,38.498214,-2.417356
Robledo,Albacete,Robledo,38.772166,-2.429938
Roda (La),Albacete,La Roda,39.205464,-2.159211
Salobre,Albacete,Salobre,38.59297,-2.55038
San Pedro,Albacete,San Pedro,38.826557,-2.186231
Socovos,Albacete,Socovos,38.333014,-1.985622
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,39.263047,-1.913329
Tobarra,Albacete,Tobarra,38.592141,-1.690738
Valdeganga,Albacete,Valdeganga,39.134507,-1.677173
Vianos,Albacete,Vianos,38.63316,-2.50045
Villa de Ves,Albacete,Villa de Ves,39.2,-1.23333
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,39.296005,-2.062247
Villamalea,Albacete,Villamalea,39.361525,-1.59769
Villapalacios,Albacete,Villapalacios,38.578937,-2.632598
Villarrobledo,Albacete,Villarrobledo,39.267868,-2.601427
Villatoya,Albacete,Villatoya,39.319141,-1.331182
Villavaliente,Albacete,Villavaliente,39.12646,-1.45712
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,38.45525,-2.51782
Viveros,Albacete,Viveros,38.771487,-2.57414
Yeste,Albacete,Yeste,38.367359,-2.319032
Agost,Alicante,Agost,38.435937,-0.638589
Agres,Alicante,Agres,38.78333,-0.51667
Aigües,Alicante,Aigües,38.501351,-0.364025
