municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Albeta,Zaragoza,50011,Albeta,-
Albi (L'),Lleida,25009,L' Albi,-
Albillos,Burgos,9009,Albillos,-
Albinyana,Tarragona,43002,Albinyana,23555
Albiol (L'),Tarragona,43003,L' Albiol,-
Albiztur,Gipuzkoa,20004,Albiztur,55708
Albocàsser,Castellón,12003,Albocàsser,19636
Alboloduy,Almería,4005,Alboloduy,-
Albolote,Granada,18003,Albolote,26685
Albondón,Granada,18004,Albondón,-
Albons,Girona,17004,Albons,-
Alborache,Valencia,46012,Alborache,23163
Alboraia/Alboraya,Valencia,46013,Alboraia/Alboraya,33179
Alborea,Albacete,2005,Alborea,-
Alborge,Zaragoza,50012,Alborge,-
Albornos,Ávila,5005,Albornos,-
Albox,Almería,4006,Albox,19282
Albudeite,Murcia,30004,Albudeite,16752
Albuera (La),Badajoz,6005,La Albuera,16703
Albuixech,Valencia,46014,Albuixech,25150
Albuñán,Granada,18005,Albuñán,-
Albuñol,Granada,18006,Albuñol,17466
Albuñuelas,Granada,18007,Albuñuelas,-
Alburquerque,Badajoz,6006,Alburquerque,16655
Alcabón,Toledo,45004,Alcabón,-
Alcadozo,Albacete,2006,Alcadozo,-
Alcaine,Teruel,44011,Alcaine,-
Alcalá de Ebro,Zaragoza,50013,Alcalá de Ebro,-
Alcalá de Guadaíra,Sevilla,41004,Alcalá de Guadaíra,25396
Alcalá de Gurrea,Huesca,22014,Alcalá de Gurrea,-
Alcalá de Henares,Madrid,28005,Alcalá de Henares,29086
Alcalá de la Selva,Teruel,44012,Alcalá de la Selva,-
Alcalá de la Vega,Cuenca,16008,Alcalá de la Vega,-
Alcalá de los Gazules,Cádiz,11001,Alcalá de los Gazules,18853
Alcalá de Moncayo,Zaragoza,50014,Alcalá de Moncayo,-
Alcalà de Xivert,Castellón,12004,Alcalà de Xivert,19815
Alcalá del Júcar,Albacete,2007,Alcalá del Júcar,15654
Alcalá del Obispo,Huesca,22015,Alcalá del Obispo,-
Alcalá del Río,Sevilla,41005,Alcalá del Río,21161
Alcalá del Valle,Cádiz,11002,Alcalá del Valle,15569
Alcalá la Real,Jaén,23002,Alcalá la Real,18691
Alcalalí,Alicante,3006,Alcalalí,18091
Alcampell,Huesca,22016,Alcampell,-
Alcanadre,La Rioja,26007,Alcanadre,-
Alcanar,Tarragona,43004,Alcanar,21400
Alcanó,Lleida,25010,Alcanó,-
Alcántara,Cáceres,10008,Alcántara,18565
Alcantarilla,Murcia,30005,Alcantarilla,23038
Alcàntera de Xúquer,Valencia,46016,Alcàntera de Xúquer,17885
Alcantud,Cuenca,16009,Alcantud,-
Alcañices,Zamora,49003,Alcañices,17673
Alcañiz,Teruel,44013,Alcañiz,24092
Alcañizo,Toledo,45005,Alcañizo,-
Alcaracejos,Córdoba,14003,Alcaracejos,18395
Alcaraz,Albacete,2008,Alcaraz,18908
Alcarràs,Lleida,25011,Alcarràs,22458
Alcàsser,Valencia,46015,Alcàsser,23256
Alcaucín,Málaga,29002,Alcaucín,16830
Alcaudete,Jaén,23003,Alcaudete,16829
Alcaudete de la Jara,Toledo,45006,Alcaudete de la Jara,16599
Alcázar de San Juan,Ciudad Real,13005,Alcázar de San Juan,25944
Alcázar del Rey,Cuenca,16010,Alcázar del Rey,-
Alcazarén,Valladolid,47005,Alcazarén,-
Alcázares (Los),Murcia,30902,Los Alcázares,21099
Alcoba,Ciudad Real,13006,Alcoba,-
Alcobendas,Madrid,28006,Alcobendas,64063
Alcocer,Guadalajara,19009,Alcocer,-
Alcocer de Planes,Alicante,3007,Alcocer de Planes,-
Alcocero de Mola,Burgos,9010,Alcocero de Mola,-
Alcohujate,Cuenca,16011,Alcohujate,-
Alcolea,Almería,4007,Alcolea,-
Alcolea de Calatrava,Ciudad Real,13007,Alcolea de Calatrava,19522
Alcolea de Cinca,Huesca,22017,Alcolea de Cinca,24945
Alcolea de las Peñas,Guadalajara,19010,Alcolea de las Peñas,-
Alcolea de Tajo,Toledo,45007,Alcolea de Tajo,-
Alcolea del Pinar,Guadalajara,19011,Alcolea del Pinar,-
Alcolea del Río,Sevilla,41006,Alcolea del Río,16506
Alcoleja,Alicante,3008,Alcoleja,-
Alcoletge,Lleida,25012,Alcoletge,25374
Alcollarín,Cáceres,10009,Alcollarín,-
Alconaba,Soria,42006,Alconaba,-
Alconada,Salamanca,37012,Alconada,-
Alconada de Maderuelo,Segovia,40005,Alconada de Maderuelo,-
Alconchel,Badajoz,6007,Alconchel,15455
Alconchel de Ariza,Zaragoza,50015,Alconchel de Ariza,-
Alconchel de la Estrella,Cuenca,16012,Alconchel de la Estrella,-
Alconera,Badajoz,6008,Alconera,-
Alcóntar,Almería,4008,Alcóntar,-
