municipio,provincia,municipio_nombre_humano,lat,lon,top_3_sitios,sitio_mas_frecuente
Casas de Juan Núñez,Albacete,Casas de Juan Núñez,39.101931,-1.558941,sport;leisure;building,sport
Casas de Lázaro,Albacete,Casas de Lázaro,38.77056,-2.24044,natural;sport;leisure,natural
Casas de Ves,Albacete,Casas de Ves,39.25847,-1.333317,leisure;natural;building,leisure
Casas-Ibáñez,Albacete,Casas-Ibáñez,39.286062,-1.472436,leisure;sport;service,leisure
Caudete,Albacete,Caudete,38.704119,-0.982596,leisure;sport;catering,leisure
Cenizate,Albacete,Cenizate,39.302534,-1.662663,leisure;sport;natural,leisure
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,38.920442,-1.724524,tourism;leisure;catering,tourism
Corral-Rubio,Albacete,Corral-Rubio,38.83462,-1.46034,leisure;sport;natural,leisure
Cotillas,Albacete,Cotillas,38.43115,-2.5055,natural;sport;leisure,natural
Elche de la Sierra,Albacete,Elche de la Sierra,38.450066,-2.048251,commercial;catering;service,commercial
Férez,Albacete,Férez,38.35,-2.0,leisure;sport;natural,leisure
Fuensanta,Albacete,Fuensanta,39.23333,-2.06667,tourism;sport;leisure,tourism
Fuente-Álamo,Albacete,Fuente-Álamo,38.692302,-1.431733,sport;leisure;catering,sport
Fuentealbilla,Albacete,Fuentealbilla,39.268081,-1.550586,leisure;commercial;service,leisure
Gineta (La),Albacete,La Gineta,39.113108,-1.995466,sport;leisure;service,sport
Golosalvo,Albacete,Golosalvo,39.23333,-1.63333,natural;sport;service,natural
Hellín,Albacete,Hellín,38.511341,-1.700442,leisure;tourism;commercial,leisure
Herrera (La),Albacete,La Herrera,38.61931,-1.78428,natural,natural
Higueruela,Albacete,Higueruela,38.962437,-1.442711,sport;building;catering,sport
Hoya-Gonzalo,Albacete,Hoya-Gonzalo,38.9579,-1.55679,sport;leisure;catering,sport
Jorquera,Albacete,Jorquera,39.16667,-1.51667,natural;tourism;sport,natural
Letur,Albacete,Letur,38.36626,-2.10206,sport;tourism;leisure,sport
Lezuza,Albacete,Lezuza,38.949114,-2.355022,commercial;service;catering,commercial
Liétor,Albacete,Liétor,38.542124,-1.954139,catering;leisure;sport,catering
Madrigueras,Albacete,Madrigueras,39.236245,-1.801448,leisure;commercial;service,leisure
Mahora,Albacete,Mahora,39.212436,-1.725506,leisure;catering;accommodation,leisure
Masegoso,Albacete,Masegoso,38.716894,-2.319049,natural;leisure;sport,natural
Minaya,Albacete,Minaya,39.269856,-2.321385,sport;leisure;building,sport
Molinicos,Albacete,Molinicos,38.46717,-2.23939,leisure;service;sport,leisure
Montalvos,Albacete,Montalvos,39.16667,-2.01667,natural;tourism,natural
Montealegre del Castillo,Albacete,Montealegre del Castillo,38.788701,-1.326689,sport;catering;leisure,sport
Motilleja,Albacete,Motilleja,39.179532,-1.791175,natural;leisure;sport,natural
Munera,Albacete,Munera,39.040675,-2.481521,leisure;sport;service,leisure
Navas de Jorquera,Albacete,Navas de Jorquera,39.28333,-1.71667,sport;leisure;service,sport
Nerpio,Albacete,Nerpio,38.1475,-2.30202,sport;natural;service,sport
Ontur,Albacete,Ontur,38.614717,-1.496775,sport;leisure;natural,sport
Ossa de Montiel,Albacete,Ossa de Montiel,38.964586,-2.745895,leisure;commercial;sport,leisure
Paterna del Madera,Albacete,Paterna del Madera,38.59751,-2.34421,leisure;natural;sport,leisure
Peñas de San Pedro,Albacete,Peñas de San Pedro,38.725749,-2.000757,sport;leisure;commercial,sport
Peñascosa,Albacete,Peñascosa,38.67215,-2.40991,sport;natural;leisure,sport
Pétrola,Albacete,Pétrola,38.82628,-1.55662,leisure;catering;natural,leisure
Povedilla,Albacete,Povedilla,38.70022,-2.60212,natural;sport;accommodation,natural
Pozo Cañada,Albacete,Pozo Cañada,38.800099,-1.731457,leisure;access_limited;catering,leisure
Pozohondo,Albacete,Pozohondo,38.719396,-1.910827,sport;leisure;natural,sport
Pozo-Lorente,Albacete,Pozo-Lorente,39.076172,-1.506999,sport;leisure;natural,sport
Pozuelo,Albacete,Pozuelo,38.80989,-2.10101,sport;service;leisure,sport
Recueja (La),Albacete,La Recueja,39.18333,-1.48333,natural;leisure,natural
Riópar,Albacete,Riópar,38.498214,-2.417356,sport;catering;leisure,sport
Robledo,Albacete,Robledo,38.772166,-2.429938,natural;sport;accommodation,natural
Roda (La),Albacete,La Roda,39.205464,-2.159211,service;commercial;catering,service
Salobre,Albacete,Salobre,38.59297,-2.55038,leisure;sport;natural,leisure
San Pedro,Albacete,San Pedro,38.826557,-2.186231,leisure;sport;natural,leisure
Socovos,Albacete,Socovos,38.333014,-1.985622,natural;leisure;sport,natural
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,39.263047,-1.913329,leisure;catering;sport,leisure
Tobarra,Albacete,Tobarra,38.592141,-1.690738,commercial;leisure;tourism,commercial
Valdeganga,Albacete,Valdeganga,39.134507,-1.677173,leisure;sport;catering,leisure
Vianos,Albacete,Vianos,38.63316,-2.50045,natural;leisure;sport,natural
Villa de Ves,Albacete,Villa de Ves,39.2,-1.23333,natural;tourism;leisure,natural
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,39.296005,-2.062247,sport;building;natural,sport
Villamalea,Albacete,Villamalea,39.361525,-1.59769,leisure;entertainment;commercial,leisure
Villapalacios,Albacete,Villapalacios,38.578937,-2.632598,natural;leisure;sport,natural
Villarrobledo,Albacete,Villarrobledo,39.267868,-2.601427,leisure;sport;commercial,leisure
Villatoya,Albacete,Villatoya,39.319141,-1.331182,sport;natural;leisure,sport
Villavaliente,Albacete,Villavaliente,39.12646,-1.45712,leisure;sport;natural,leisure
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,38.45525,-2.51782,leisure;natural;catering,leisure
Viveros,Albacete,Viveros,38.771487,-2.57414,sport;natural;leisure,sport
Yeste,Albacete,Yeste,38.367359,-2.319032,leisure;tourism;accommodation,leisure
Agost,Alicante,Agost,38.435937,-0.638589,sport;leisure;commercial,sport
Agres,Alicante,Agres,38.78333,-0.51667,sport;leisure;catering,sport
Aigües,Alicante,Aigües,38.501351,-0.364025,natural;sport;catering,natural
Albatera,Alicante,Albatera,38.180289,-0.872395,sport;leisure;commercial,sport
Alcalalí,Alicante,Alcalalí,38.754724,-0.043421,access_limited;natural,access_limited
Alcocer de Planes,Alicante,Alcocer de Planes,38.79501,-0.40244,sport;natural;activity,sport
Alcoleja,Alicante,Alcoleja,38.66992,-0.32382,natural;sport;building,natural
