municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon
Adobes,Guadalajara,Adobes,19003,40.67584,-1.67916
Ador,Valencia,Ador,46002,38.919177,-0.225647
Adra,Almería,Adra,4003,36.748564,-3.017817
Adrada (La),Ávila,La Adrada,5002,40.30084,-4.635961
Adrada de Haza,Burgos,Adrada de Haza,9003,41.59454,-3.82326
Adrada de Pirón,Segovia,Adrada de Pirón,40002,41.05257,-4.05107
Adradas,Soria,Adradas,42003,41.35098,-2.47373
Adrados,Segovia,Adrados,40003,41.36816,-4.11186
Aduna,Gipuzkoa,Aduna,20002,43.20375,-2.05033
Agaete,Las Palmas,Agaete,35001,28.102968,-15.706137
Agallas,Salamanca,Agallas,37002,40.44867,-6.44176
Àger,Lleida,Àger,25002,42.0,0.76667
Agolada,Pontevedra,Agolada,36020,42.79254,-8.0504
Agón,Zaragoza,Agón,50003,41.85574,-1.45233
Agoncillo,La Rioja,Agoncillo,26002,42.445522,-2.29202
Agost,Alicante,Agost,3002,38.435937,-0.638589
Agramunt,Lleida,Agramunt,25003,41.783427,1.10004
Ágreda,Soria,Ágreda,42004,41.854918,-1.923529
Agres,Alicante,Agres,3003,38.78333,-0.51667
Agrón,Granada,Agrón,18001,37.03023,-3.8287
Aguadulce,Sevilla,Aguadulce,41001,37.254418,-4.988886
Aguarón,Zaragoza,Aguarón,50004,41.33901,-1.27055
Aguas Cándidas,Burgos,Aguas Cándidas,9006,42.71652,-3.50258
Aguasal,Valladolid,Aguasal,47002,41.27495,-4.6529
Aguatón,Teruel,Aguatón,44003,40.67158,-1.23475
Aguaviva,Teruel,Aguaviva,44004,40.822506,-0.198964
Agudo,Ciudad Real,Agudo,13002,38.981826,-4.87094
Agüero,Huesca,Agüero,22004,42.35505,-0.79324
Aguilafuente,Segovia,Aguilafuente,40004,41.226206,-4.112444
Aguilar de Bureba,Burgos,Aguilar de Bureba,9007,42.591397,-3.325796
Aguilar de Campoo,Palencia,Aguilar de Campoo,34004,42.794993,-4.262107
Aguilar de Campos,Valladolid,Aguilar de Campos,47003,41.98375,-5.18118
Aguilar de Codés,Navarra,Aguilar de Codés,31008,42.61249,-2.38987
Aguilar de la Frontera,Córdoba,Aguilar de la Frontera,14002,37.513613,-4.656526
Aguilar de Segarra,Barcelona,Aguilar de Segarra,8002,41.74822,1.62919
Aguilar del Alfambra,Teruel,Aguilar del Alfambra,44005,40.59027,-0.79589
Aguilar del Río Alhama,La Rioja,Aguilar del Río Alhama,26003,41.96212,-1.9934
Águilas,Murcia,Águilas,30003,37.409108,-1.583878
Aguilón,Zaragoza,Aguilón,50005,41.29467,-1.04634
Agüimes,Las Palmas,Agüimes,35002,27.75958,-15.5969
Agullana,Girona,Agullana,17001,42.393574,2.846513
Agullent,Valencia,Agullent,46004,38.828068,-0.558055
Agulo,Santa Cruz de Tenerife,Agulo,38002,28.18778,-17.19678
Agurain/Salvatierra,Álava,Agurain/Salvatierra,1051,42.847308,-2.392287
Ahigal,Cáceres,Ahigal,10006,40.189347,-6.188442
Ahigal de los Aceiteros,Salamanca,Ahigal de los Aceiteros,37003,40.87231,-6.74702
Ahigal de Villarino,Salamanca,Ahigal de Villarino,37004,41.15819,-6.38037
Ahillones,Badajoz,Ahillones,6003,38.259328,-5.864075
Aia,Gipuzkoa,Aia,20016,42.96607,-2.15512
Aibar/Oibar,Navarra,Aibar/Oibar,31009,42.592394,-1.36053
Aielo de Malferit,Valencia,Aielo de Malferit,46042,38.878858,-0.589872
Aielo de Rugat,Valencia,Aielo de Rugat,46043,38.873542,-0.339631
Aiguafreda,Barcelona,Aiguafreda,8014,41.768409,2.25115
Aiguamúrcia,Tarragona,Aiguamúrcia,43001,41.369474,1.392718
Aiguaviva,Girona,Aiguaviva,17002,41.943502,2.781451
Aigües,Alicante,Aigües,3004,38.501351,-0.364025
Aín,Castellón,Aín,12002,39.892802,-0.348672
Aínsa-Sobrarbe,Huesca,Aínsa-Sobrarbe,22907,42.32688,0.07127
Ainzón,Zaragoza,Ainzón,50006,41.815329,-1.518626
Aisa,Huesca,Aisa,22006,42.787937,-0.528195
Aitona,Lleida,Aitona,25038,41.493249,0.45876
Aizarnazabal,Gipuzkoa,Aizarnazabal,20003,43.25591,-2.23607
Ajalvir,Madrid,Ajalvir,28002,40.532451,-3.482573
Ajamil de Cameros,La Rioja,Ajamil de Cameros,26004,42.16706,-2.48752
Ajangiz,Bizkaia,Ajangiz,48911,43.30297,-2.66586
Ajofrín,Toledo,Ajofrín,45001,39.712734,-3.982357
Alacón,Teruel,Alacón,44006,41.023494,-0.697782
Aladrén,Zaragoza,Aladrén,50007,41.24917,-1.15591
Alaejos,Valladolid,Alaejos,47004,41.308229,-5.214775
